date,order_channel,total_orders,total_customers,total_qty_kg,gross_sales,discount_amount,delivery_fee,tax_amount,net_sales,created_at,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
2024-01-10,Website,135,115,537.98,29954.47,653.58,712.87,1465.04,28588.02,2025-12-02 10:48:49,,,,
2024-01-10,Mobile App,59,43,504.0,17475.21,1636.43,597.37,791.94,15241.41,2025-12-02 10:48:49,,,,
2024-01-10,WhatsApp,153,101,595.02,28623.75,1448.9,562.29,1358.74,26612.56,2025-12-02 10:48:49,,,,
2024-01-11,Website,135,120,721.08,31667.25,2419.29,1249.0,1462.4,27998.96,2025-12-02 10:48:49,,,,
2024-01-11,Mobile App,107,88,547.58,28872.31,2545.72,1407.86,1316.33,24918.730000000003,2025-12-02 10:48:49,,,,
2024-01-11,WhatsApp,243,203,583.82,24674.08,813.55,915.79,1193.03,22944.74,2025-12-02 10:48:49,,,,
2024-01-12,Website,282,228,737.85,33470.14,3292.01,1417.37,1508.91,28760.76,2025-12-02 10:48:49,,,,
2024-01-12,Mobile App,134,95,433.13,19898.72,815.31,400.48,954.17,18682.93,2025-12-02 10:48:49,,,,
2024-01-12,WhatsApp,268,195,777.26,39848.17,810.54,1304.5,1951.88,37733.13,2025-12-02 10:48:49,,,,
2024-01-13,Website,230,184,681.02,36584.5,2190.54,569.09,1719.7,33824.87,2025-12-02 10:48:49,,,,
2024-01-13,Mobile App,102,63,454.1,23420.27,2238.69,1037.54,1059.08,20144.04,2025-12-02 10:48:49,,,,
2024-01-13,WhatsApp,282,218,212.38,11029.58,1025.38,473.76,500.21,9530.44,2025-12-02 10:48:49,,,,
2024-01-14,Website,89,71,490.59,19851.58,1497.81,679.66,917.69,17674.11,2025-12-02 10:48:49,,,,
2024-01-14,Mobile App,225,198,226.39,7640.2,267.54,1189.67,368.63,6182.99,2025-12-02 10:48:49,,,,
2024-01-14,WhatsApp,292,205,337.24,18083.03,1646.44,718.47,821.83,15718.119999999999,2025-12-02 10:48:49,,,,
2024-01-15,Website,90,80,517.82,19114.02,619.03,302.74,924.75,18192.25,2025-12-02 10:48:49,,,,
2024-01-15,Mobile App,104,75,136.65,7362.41,623.89,1207.5,336.93,5531.02,2025-12-02 10:48:49,,,,
2024-01-15,WhatsApp,268,201,303.02,11664.8,745.37,1424.95,545.97,9494.48,2025-12-02 10:48:49,,,,
2024-01-16,Website,136,117,691.92,41003.84,2276.3,494.25,1936.38,38233.28999999999,2025-12-02 10:48:49,,,,
2024-01-16,Mobile App,96,65,713.09,28399.44,1560.93,866.37,1341.93,25972.14,2025-12-02 10:48:49,,,,
2024-01-16,WhatsApp,201,177,524.47,16795.36,1012.21,410.21,789.16,15372.94,2025-12-02 10:48:49,,,,
2024-01-17,Website,186,141,591.18,26309.31,532.28,806.45,1288.85,24970.58,2025-12-02 10:48:49,,,,
2024-01-17,Mobile App,169,122,630.16,29174.54,2208.46,1254.62,1348.3,25711.46,2025-12-02 10:48:49,,,,
2024-01-17,WhatsApp,228,213,393.39,20484.85,1359.0,347.63,956.29,18778.219999999998,2025-12-02 10:48:49,,,,
2024-01-18,Website,192,164,536.72,23035.28,887.74,947.61,1107.38,21199.93,2025-12-02 10:48:49,,,,
2024-01-18,Mobile App,207,149,375.86,15326.25,379.43,1459.9,747.34,13486.92,2025-12-02 10:48:49,,,,
2024-01-18,WhatsApp,138,118,712.06,32044.88,1944.73,786.4,1505.01,29313.75,2025-12-02 10:48:49,,,,
2024-01-19,Website,266,228,777.65,43519.27,3465.19,323.26,2002.7,39730.82,2025-12-02 10:48:49,,,,
2024-01-19,Mobile App,184,117,159.94,7966.71,387.29,376.92,378.97,7202.5,2025-12-02 10:48:49,,,,
2024-01-19,WhatsApp,289,224,547.04,20720.02,879.15,1387.08,992.04,18453.79,2025-12-02 10:48:49,,,,
2024-01-20,Website,300,219,192.84,8167.0,375.0,376.76,389.6,7415.24,2025-12-02 10:48:49,,,,
2024-01-20,Mobile App,92,84,416.6,14105.15,366.73,1256.81,686.92,12481.61,2025-12-02 10:48:49,,,,
2024-01-20,WhatsApp,207,145,196.05,11333.44,412.67,1030.61,546.04,9890.16,2025-12-02 10:48:49,,,,
2024-01-21,Website,215,142,157.8,9341.16,638.68,1480.77,435.12,7221.71,2025-12-02 10:48:49,,,,
2024-01-21,Mobile App,267,212,222.41,12916.3,411.72,732.62,625.23,11771.96,2025-12-02 10:48:49,,,,
2024-01-21,WhatsApp,184,165,297.11,13526.92,501.2,343.94,651.29,12681.78,2025-12-02 10:48:49,,,,
2024-01-22,Website,214,130,544.5,29666.32,866.83,366.04,1439.97,28433.45,2025-12-02 10:48:49,,,,
2024-01-22,Mobile App,96,81,483.13,26620.29,1321.8,1217.71,1264.92,24080.78,2025-12-02 10:48:49,,,,
2024-01-22,WhatsApp,163,138,590.57,26665.55,2550.13,338.94,1205.77,23776.48,2025-12-02 10:48:49,,,,
2024-01-23,Website,132,94,649.06,26058.03,1392.5,1377.86,1233.28,23287.67,2025-12-02 10:48:49,,,,
2024-01-23,Mobile App,196,134,609.6,21916.99,1684.79,353.02,1011.61,19879.18,2025-12-02 10:48:49,,,,
2024-01-23,WhatsApp,184,141,785.82,37480.46,1090.41,476.91,1819.5,35913.14,2025-12-02 10:48:49,,,,
2024-01-24,Website,57,48,504.43,18008.46,538.84,433.81,873.48,17035.809999999998,2025-12-02 10:48:49,,,,
2024-01-24,Mobile App,268,222,536.58,31960.73,2027.67,1011.01,1496.65,28922.05,2025-12-02 10:48:49,,,,
2024-01-24,WhatsApp,281,194,758.88,34547.95,3274.92,1159.76,1563.65,30113.269999999997,2025-12-02 10:48:49,,,,
2024-01-25,Website,186,130,666.33,30375.36,1363.08,696.15,1450.61,28316.13,2025-12-02 10:48:49,,,,
2024-01-25,Mobile App,274,236,257.21,11359.06,867.13,1284.95,524.6,9206.98,2025-12-02 10:48:49,,,,
2024-01-25,WhatsApp,130,116,360.11,20233.78,1849.67,1449.85,919.21,16934.26,2025-12-02 10:48:49,,,,
2024-01-26,Website,75,55,517.64,18196.33,1105.51,1141.23,854.54,15949.590000000002,2025-12-02 10:48:49,,,,
2024-01-26,Mobile App,271,190,195.94,7675.44,632.8,703.79,352.13,6338.849999999999,2025-12-02 10:48:49,,,,
2024-01-26,WhatsApp,124,89,323.75,17516.16,1278.66,647.83,811.88,15589.67,2025-12-02 10:48:49,,,,
2024-01-27,Website,255,162,732.85,27998.74,1746.52,1257.18,1312.61,24995.04,2025-12-02 10:48:49,,,,
2024-01-27,Mobile App,67,57,137.69,4297.78,223.59,938.11,203.71,3136.08,2025-12-02 10:48:49,,,,
2024-01-27,WhatsApp,263,207,295.84,12945.4,744.68,592.58,610.04,11608.14,2025-12-02 10:48:49,,,,
2024-01-28,Website,284,234,297.75,14535.39,1243.11,1456.54,664.61,11835.74,2025-12-02 10:48:49,,,,
2024-01-28,Mobile App,70,46,307.79,11718.85,535.3,1410.06,559.18,9773.49,2025-12-02 10:48:49,,,,
2024-01-28,WhatsApp,181,128,146.94,7189.31,443.08,717.56,337.31,6028.67,2025-12-02 10:48:49,,,,
2024-01-29,Website,245,195,348.99,14642.66,626.59,757.52,700.8,13258.55,2025-12-02 10:48:49,,,,
2024-01-29,Mobile App,95,68,596.07,19773.49,1416.38,1378.61,917.86,16978.5,2025-12-02 10:48:49,,,,
2024-01-29,WhatsApp,174,143,503.39,25302.46,1998.7,978.93,1165.19,22324.829999999998,2025-12-02 10:48:49,,,,
2024-01-30,Website,110,76,427.05,17282.22,1556.58,897.33,786.28,14828.310000000001,2025-12-02 10:48:49,,,,
2024-01-30,Mobile App,149,116,267.82,14510.64,990.94,829.66,675.99,12690.039999999999,2025-12-02 10:48:49,,,,
2024-01-30,WhatsApp,76,61,662.15,21821.03,1007.05,363.74,1040.7,20450.239999999998,2025-12-02 10:48:49,,,,
2024-01-31,Website,156,94,119.69,4643.55,314.32,830.2,216.46,3499.03,2025-12-02 10:48:49,,,,
2024-01-31,Mobile App,154,102,690.65,31964.72,1377.64,354.49,1529.35,30232.59,2025-12-02 10:48:49,,,,
2024-01-31,WhatsApp,93,84,663.82,37761.82,2965.38,1284.55,1739.82,33511.89,2025-12-02 10:48:49,,,,
2024-02-01,Website,143,102,515.34,20363.93,1005.37,436.44,967.93,18922.12,2025-12-02 10:48:49,,,,
2024-02-01,Mobile App,101,65,424.73,20681.7,799.08,332.77,994.13,19549.850000000002,2025-12-02 10:48:49,,,,
2024-02-01,WhatsApp,52,31,760.4,44104.94,1486.15,1351.87,2130.94,41266.920000000006,2025-12-02 10:48:49,,,,
2024-02-02,Website,53,34,685.04,38476.04,2054.79,1304.96,1821.06,35116.29,2025-12-02 10:48:49,,,,
2024-02-02,Mobile App,68,57,587.88,23212.14,1491.91,1138.49,1086.01,20581.739999999998,2025-12-02 10:48:49,,,,
2024-02-02,WhatsApp,246,165,343.51,16047.59,1460.93,791.78,729.33,13794.880000000001,2025-12-02 10:48:49,,,,
2024-02-03,Website,295,215,538.57,30323.97,2292.85,1020.75,1401.56,27010.370000000003,2025-12-02 10:48:49,,,,
2024-02-03,Mobile App,107,96,548.75,26370.0,1365.37,605.6,1250.23,24399.03,2025-12-02 10:48:49,,,,
2024-02-03,WhatsApp,60,44,495.46,28882.46,1600.61,1431.34,1364.09,25850.51,2025-12-02 10:48:49,,,,
2024-02-04,Website,196,124,509.12,16437.49,879.79,1405.41,777.89,14152.29,2025-12-02 10:48:49,,,,
2024-02-04,Mobile App,252,165,271.3,9918.6,418.5,1277.26,475.01,8222.84,2025-12-02 10:48:49,,,,
2024-02-04,WhatsApp,67,62,267.02,10949.88,872.23,996.82,503.88,9080.829999999998,2025-12-02 10:48:49,,,,
2024-02-05,Website,298,247,553.48,26230.88,2512.49,1455.96,1185.92,22262.43,2025-12-02 10:48:49,,,,
2024-02-05,Mobile App,273,194,202.09,10143.5,552.46,606.69,479.55,8984.35,2025-12-02 10:48:49,,,,
2024-02-05,WhatsApp,271,169,175.13,8756.18,725.1,1056.35,401.55,6974.7300000000005,2025-12-02 10:48:49,,,,
2024-02-06,Website,74,51,714.59,28472.28,619.44,1374.92,1392.64,26477.92,2025-12-02 10:48:49,,,,
2024-02-06,Mobile App,284,269,350.25,13205.47,712.62,919.15,624.64,11573.699999999999,2025-12-02 10:48:49,,,,
2024-02-06,WhatsApp,78,52,721.91,26571.02,1685.34,339.51,1244.28,24546.170000000002,2025-12-02 10:48:49,,,,
2024-02-07,Website,73,62,692.04,25341.36,1694.5,898.77,1182.34,22748.09,2025-12-02 10:48:49,,,,
2024-02-07,Mobile App,259,166,509.78,21691.6,1312.65,553.77,1018.95,19825.18,2025-12-02 10:48:49,,,,
2024-02-07,WhatsApp,81,65,143.63,4595.64,437.65,846.39,207.9,3311.6000000000004,2025-12-02 10:48:49,,,,
2024-02-08,Website,118,111,171.09,9053.4,601.88,1142.09,422.58,7309.43,2025-12-02 10:48:49,,,,
2024-02-08,Mobile App,55,38,227.87,13023.95,477.36,792.34,627.33,11754.25,2025-12-02 10:48:49,,,,
2024-02-08,WhatsApp,162,130,560.79,31072.08,861.73,1077.02,1510.52,29133.33,2025-12-02 10:48:49,,,,
2024-02-09,Website,214,134,466.12,17720.88,920.26,647.5,840.03,16153.12,2025-12-02 10:48:49,,,,
2024-02-09,Mobile App,212,164,786.59,35006.19,2689.17,774.8,1615.85,31542.22,2025-12-02 10:48:49,,,,
2024-02-09,WhatsApp,215,186,277.45,11565.06,437.93,1347.12,556.36,9780.01,2025-12-02 10:48:49,,,,
2024-02-10,Website,241,169,791.56,46651.08,3693.05,1159.29,2147.9,41798.740000000005,2025-12-02 10:48:49,,,,
2024-02-10,Mobile App,134,107,338.34,12214.89,713.29,624.96,575.08,10876.64,2025-12-02 10:48:49,,,,
2024-02-10,WhatsApp,82,50,521.24,19210.0,1165.66,1211.81,902.22,16832.53,2025-12-02 10:48:49,,,,
2024-02-11,Website,154,111,511.73,29792.31,1861.52,396.27,1396.54,27534.52,2025-12-02 10:48:49,,,,
2024-02-11,Mobile App,279,177,463.71,16616.72,1136.96,1083.28,773.99,14396.480000000001,2025-12-02 10:48:49,,,,
2024-02-11,WhatsApp,73,60,758.35,40359.8,2501.92,1343.47,1892.89,36514.41,2025-12-02 10:48:49,,,,
2024-02-12,Website,53,36,651.12,36283.68,1648.62,1285.44,1731.75,33349.62,2025-12-02 10:48:49,,,,
2024-02-12,Mobile App,272,182,402.09,23112.86,801.93,739.02,1115.55,21571.91,2025-12-02 10:48:49,,,,
2024-02-12,WhatsApp,257,164,376.24,19154.74,1024.68,1445.82,906.5,16684.24,2025-12-02 10:48:49,,,,
2024-02-13,Website,130,96,707.36,41380.81,2121.04,828.66,1962.99,38431.11,2025-12-02 10:48:49,,,,
2024-02-13,Mobile App,291,194,551.93,32487.69,1991.62,608.46,1524.8,29887.61,2025-12-02 10:48:49,,,,
2024-02-13,WhatsApp,227,188,317.64,17978.24,1368.15,632.84,830.5,15977.250000000002,2025-12-02 10:48:49,,,,
2024-02-14,Website,223,151,729.53,29846.74,2477.24,573.76,1368.48,26795.74,2025-12-02 10:48:49,,,,
2024-02-14,Mobile App,88,59,517.72,27745.15,2710.36,1313.22,1251.74,23721.57,2025-12-02 10:48:49,,,,
2024-02-14,WhatsApp,160,98,118.44,3968.71,227.44,1056.65,187.06,2684.62,2025-12-02 10:48:49,,,,
2024-02-15,Website,251,180,198.03,8780.13,254.66,948.36,426.27,7577.109999999999,2025-12-02 10:48:49,,,,
2024-02-15,Mobile App,97,84,604.61,24742.92,951.35,707.28,1189.58,23084.289999999997,2025-12-02 10:48:49,,,,
2024-02-15,WhatsApp,75,49,294.53,16743.36,1515.73,837.63,761.38,14390.0,2025-12-02 10:48:49,,,,
2024-02-16,Website,240,167,487.7,24634.59,1641.83,1006.18,1149.64,21986.58,2025-12-02 10:48:49,,,,
2024-02-16,Mobile App,215,196,341.12,14733.0,549.15,1007.55,709.19,13176.3,2025-12-02 10:48:49,,,,
2024-02-16,WhatsApp,259,193,597.73,32807.09,2731.59,454.88,1503.77,29620.619999999995,2025-12-02 10:48:49,,,,
2024-02-17,Website,175,154,466.76,25873.96,916.67,540.28,1247.86,24417.01,2025-12-02 10:48:49,,,,
2024-02-17,Mobile App,149,89,320.0,14861.96,323.08,1120.15,726.94,13418.73,2025-12-02 10:48:49,,,,
2024-02-17,WhatsApp,235,177,741.26,22733.23,1154.66,715.66,1078.93,20862.91,2025-12-02 10:48:49,,,,
2024-02-18,Website,146,135,361.8,14750.87,1332.99,521.03,670.89,12896.85,2025-12-02 10:48:49,,,,
2024-02-18,Mobile App,207,162,738.43,41489.92,3826.49,601.3,1883.17,37062.13,2025-12-02 10:48:49,,,,
2024-02-18,WhatsApp,255,166,538.55,29756.87,1948.81,926.79,1390.4,26881.27,2025-12-02 10:48:49,,,,
2024-02-19,Website,60,39,395.9,19677.84,1695.04,1397.1,899.14,16585.7,2025-12-02 10:48:49,,,,
2024-02-19,Mobile App,57,38,604.01,32140.53,1131.13,1014.57,1550.47,29994.829999999998,2025-12-02 10:48:49,,,,
2024-02-19,WhatsApp,96,64,432.24,15773.46,577.04,586.33,759.82,14610.09,2025-12-02 10:48:49,,,,
2024-02-20,Website,238,224,677.61,25438.91,865.94,1209.11,1228.65,23363.86,2025-12-02 10:48:49,,,,
2024-02-20,Mobile App,135,90,184.63,10346.19,895.16,414.52,472.55,9036.51,2025-12-02 10:48:49,,,,
2024-02-20,WhatsApp,282,244,127.1,5793.22,554.34,884.88,261.94,4354.0,2025-12-02 10:48:49,,,,
2024-02-21,Website,58,44,716.04,39152.22,1402.29,1340.65,1887.5,36409.28,2025-12-02 10:48:49,,,,
2024-02-21,Mobile App,76,64,199.84,7322.26,671.88,1455.52,332.52,5194.860000000001,2025-12-02 10:48:49,,,,
2024-02-21,WhatsApp,233,188,186.09,6070.58,197.02,436.09,293.68,5437.47,2025-12-02 10:48:49,,,,
2024-02-22,Website,54,34,346.82,11737.01,762.22,386.23,548.74,10588.56,2025-12-02 10:48:49,,,,
2024-02-22,Mobile App,256,189,298.95,12107.76,1032.89,810.34,553.74,10264.53,2025-12-02 10:48:49,,,,
2024-02-22,WhatsApp,171,118,644.81,29985.98,1949.7,388.33,1401.81,27647.95,2025-12-02 10:48:49,,,,
2024-02-23,Website,282,196,770.53,26244.07,2422.35,848.56,1191.09,22973.16,2025-12-02 10:48:49,,,,
2024-02-23,Mobile App,64,38,243.98,12818.52,1260.6,514.75,577.9,11043.17,2025-12-02 10:48:49,,,,
2024-02-23,WhatsApp,202,163,245.0,8978.87,310.43,1438.01,433.42,7230.43,2025-12-02 10:48:49,,,,
2024-02-24,Website,110,91,444.94,24076.81,1717.48,1089.82,1117.97,21269.510000000002,2025-12-02 10:48:49,,,,
2024-02-24,Mobile App,195,148,367.98,12994.7,857.41,1138.91,606.86,10998.380000000001,2025-12-02 10:48:49,,,,
2024-02-24,WhatsApp,185,139,372.03,15303.74,1019.81,927.3,714.2,13356.63,2025-12-02 10:48:49,,,,
2024-02-25,Website,270,203,705.5,39286.39,2668.84,1331.64,1830.88,35285.909999999996,2025-12-02 10:48:49,,,,
2024-02-25,Mobile App,292,266,593.22,33178.79,3043.87,609.54,1506.75,29525.38,2025-12-02 10:48:49,,,,
2024-02-25,WhatsApp,100,74,573.62,21286.4,1173.0,698.52,1005.67,19414.88,2025-12-02 10:48:49,,,,
2024-02-26,Website,200,149,149.72,7336.68,532.38,648.17,340.22,6156.13,2025-12-02 10:48:49,,,,
2024-02-26,Mobile App,251,230,196.42,6662.1,269.29,1436.71,319.64,4956.1,2025-12-02 10:48:49,,,,
2024-02-26,WhatsApp,217,200,400.78,21660.51,1843.7,1208.81,990.84,18608.0,2025-12-02 10:48:49,,,,
2024-02-27,Website,62,42,642.57,24411.13,1999.81,1198.95,1120.57,21212.370000000003,2025-12-02 10:48:49,,,,
2024-02-27,Mobile App,227,191,650.42,26045.24,691.11,760.74,1267.71,24593.390000000003,2025-12-02 10:48:49,,,,
2024-02-27,WhatsApp,164,140,338.61,18246.06,1542.43,1006.65,835.18,15696.980000000001,2025-12-02 10:48:49,,,,
2024-02-28,Website,148,90,632.16,19431.46,531.38,1446.17,945.0,17453.91,2025-12-02 10:48:49,,,,
2024-02-28,Mobile App,111,100,179.11,8194.58,404.14,323.17,389.52,7467.27,2025-12-02 10:48:49,,,,
2024-02-28,WhatsApp,238,144,312.88,15779.68,1527.45,1078.22,712.61,13174.01,2025-12-02 10:48:49,,,,
2024-02-29,Website,267,172,792.25,30366.19,3017.41,1476.41,1367.44,25872.37,2025-12-02 10:48:49,,,,
2024-02-29,Mobile App,61,46,311.34,9511.85,287.58,777.85,461.21,8446.42,2025-12-02 10:48:49,,,,
2024-02-29,WhatsApp,52,40,454.98,26859.73,572.8,1189.29,1314.35,25097.64,2025-12-02 10:48:49,,,,
2024-03-01,Website,253,226,559.65,17107.41,1433.96,862.64,783.67,14810.81,2025-12-02 10:48:49,,,,
2024-03-01,Mobile App,237,223,504.91,24724.87,2287.22,1393.7,1121.88,21043.949999999997,2025-12-02 10:48:49,,,,
2024-03-01,WhatsApp,88,57,523.19,30449.31,2248.27,1300.11,1410.05,26900.93,2025-12-02 10:48:49,,,,
2024-03-02,Website,142,99,421.91,15337.98,962.02,400.89,718.8,13975.07,2025-12-02 10:48:49,,,,
2024-03-02,Mobile App,209,135,247.58,10928.78,1003.55,815.73,496.26,9109.5,2025-12-02 10:48:49,,,,
2024-03-02,WhatsApp,84,69,267.94,14173.77,975.24,995.51,659.93,12203.02,2025-12-02 10:48:49,,,,
2024-03-03,Website,103,74,542.33,29415.02,1421.25,335.02,1399.69,27658.75,2025-12-02 10:48:49,,,,
2024-03-03,Mobile App,164,132,316.14,13718.18,1039.12,465.95,633.95,12213.11,2025-12-02 10:48:49,,,,
2024-03-03,WhatsApp,260,183,116.63,3596.31,207.08,1045.34,169.46,2343.8900000000003,2025-12-02 10:48:49,,,,
2024-03-04,Website,175,126,617.29,23543.88,884.36,1059.33,1132.98,21600.190000000002,2025-12-02 10:48:49,,,,
2024-03-04,Mobile App,223,133,104.54,3720.98,323.92,1460.17,169.85,1936.8899999999999,2025-12-02 10:48:49,,,,
2024-03-04,WhatsApp,130,79,450.54,19045.97,1550.22,1181.46,874.79,16314.29,2025-12-02 10:48:49,,,,
2024-03-05,Website,290,209,180.39,9020.84,219.3,386.58,440.08,8414.960000000001,2025-12-02 10:48:49,,,,
2024-03-05,Mobile App,193,173,752.24,24160.26,1408.74,1160.77,1137.58,21590.75,2025-12-02 10:48:49,,,,
2024-03-05,WhatsApp,244,180,780.44,31936.19,881.45,1002.72,1552.74,30052.019999999997,2025-12-02 10:48:49,,,,
2024-03-06,Website,104,67,280.69,13606.25,1266.62,1456.42,616.98,10883.21,2025-12-02 10:48:49,,,,
2024-03-06,Mobile App,113,102,287.92,15622.73,368.53,714.94,762.71,14539.26,2025-12-02 10:48:49,,,,
2024-03-06,WhatsApp,235,216,708.82,25871.49,995.79,1419.18,1243.79,23456.52,2025-12-02 10:48:49,,,,
2024-03-07,Website,204,189,423.99,21423.34,773.83,806.48,1032.48,19843.03,2025-12-02 10:48:49,,,,
2024-03-07,Mobile App,134,84,116.64,5178.04,162.79,417.15,250.76,4598.1,2025-12-02 10:48:49,,,,
2024-03-07,WhatsApp,275,220,610.49,21306.08,1524.01,1131.94,989.1,18650.13,2025-12-02 10:48:49,,,,
2024-03-08,Website,175,112,634.97,35563.87,1082.75,1263.15,1724.06,33217.97,2025-12-02 10:48:49,,,,
2024-03-08,Mobile App,197,158,313.74,14653.16,1257.42,535.05,669.79,12860.69,2025-12-02 10:48:49,,,,
2024-03-08,WhatsApp,229,185,550.79,24730.68,2322.91,718.26,1120.39,21689.510000000002,2025-12-02 10:48:49,,,,
2024-03-09,Website,213,138,735.4,22439.15,1939.36,459.14,1024.99,20040.65,2025-12-02 10:48:49,,,,
2024-03-09,Mobile App,112,72,675.61,25213.12,1127.72,1248.75,1204.27,22836.649999999998,2025-12-02 10:48:49,,,,
2024-03-09,WhatsApp,118,101,185.46,10279.89,491.59,698.15,489.41,9090.15,2025-12-02 10:48:49,,,,
2024-03-10,Website,156,129,391.68,17983.79,687.62,1331.93,864.81,15964.240000000002,2025-12-02 10:48:49,,,,
2024-03-10,Mobile App,283,196,744.27,42784.14,1320.52,448.09,2073.18,41015.53,2025-12-02 10:48:49,,,,
2024-03-10,WhatsApp,82,51,374.05,17073.99,1466.43,576.91,780.38,15030.650000000001,2025-12-02 10:48:49,,,,
2024-03-11,Website,298,273,477.82,19512.43,451.78,560.34,953.03,18500.31,2025-12-02 10:48:49,,,,
2024-03-11,Mobile App,168,149,792.43,36820.66,2971.22,1146.4,1692.47,32703.040000000005,2025-12-02 10:48:49,,,,
2024-03-11,WhatsApp,122,74,542.99,26507.79,1624.39,1381.91,1244.17,23501.49,2025-12-02 10:48:49,,,,
2024-03-12,Website,219,196,496.97,28369.23,1818.23,705.7,1327.55,25845.3,2025-12-02 10:48:49,,,,
2024-03-12,Mobile App,77,62,125.61,6010.28,220.9,829.12,289.47,4960.26,2025-12-02 10:48:49,,,,
2024-03-12,WhatsApp,135,108,638.95,30831.43,2185.85,406.64,1432.28,28238.940000000002,2025-12-02 10:48:49,,,,
2024-03-13,Website,191,137,655.0,35314.53,3367.75,546.19,1597.34,31400.59,2025-12-02 10:48:49,,,,
2024-03-13,Mobile App,251,221,499.57,22923.72,1543.34,1322.53,1069.02,20057.850000000002,2025-12-02 10:48:49,,,,
2024-03-13,WhatsApp,208,182,176.61,7696.8,587.51,622.54,355.46,6486.75,2025-12-02 10:48:49,,,,
2024-03-14,Website,197,162,712.88,34494.0,1090.38,1474.81,1670.18,31928.81,2025-12-02 10:48:49,,,,
2024-03-14,Mobile App,128,114,188.65,9915.64,603.07,677.8,465.63,8634.77,2025-12-02 10:48:49,,,,
2024-03-14,WhatsApp,282,207,642.08,29606.46,1776.9,999.58,1391.48,26829.98,2025-12-02 10:48:49,,,,
2024-03-15,Website,296,208,499.9,21989.0,1164.91,1091.16,1041.2,19732.93,2025-12-02 10:48:49,,,,
