pos_txn_id,terminal_id,pos_user_id,txn_ts,txn_type,txn_total,tax_total,discount_total,payment_mode,external_txn_ref,shift_id,cashier_note,status,created_at,synced_flag
POS100031,TERM-001-2,PU1001,2025-11-15 21:28:56,SALE,100.8,4.800000000000001,0,CASH,EXT969321,SHIFT5,,COMPLETED,2025-11-15 21:28:56,True
POS100032,TERM-001-1,PU1002,2025-12-01 13:29:57,SALE,298.2,14.2,0,UPI,EXT565169,SHIFT1,,COMPLETED,2025-12-01 13:29:57,True
POS100033,TERM-001-4,PU1001,2025-11-27 14:03:22,SALE,882.0,42.0,0,CASH,EXT584144,SHIFT3,,COMPLETED,2025-11-27 14:03:22,True
POS100034,TERM-001-4,PU1002,2025-11-04 21:33:35,SALE,367.5,17.5,0,CARD,EXT312314,SHIFT1,,COMPLETED,2025-11-04 21:33:35,True
POS100035,TERM-001-4,PU1003,2025-11-03 22:42:00,SALE,856.8,40.8,0,CASH,EXT499976,SHIFT2,,COMPLETED,2025-11-03 22:42:00,True
POS100036,TERM-001-2,PU1003,2025-11-28 07:13:20,SALE,1014.3,48.3,0,CASH,EXT787952,SHIFT1,,COMPLETED,2025-11-28 07:13:20,True
POS100037,TERM-001-4,PU1001,2025-11-14 17:30:46,SALE,539.7,25.7,0,CASH,EXT273444,SHIFT2,,COMPLETED,2025-11-14 17:30:46,True
POS100038,TERM-001-4,PU1001,2025-11-23 21:30:46,SALE,1260.0,60.0,0,UPI,EXT183621,SHIFT2,,COMPLETED,2025-11-23 21:30:46,True
POS100039,TERM-001-4,PU1002,2025-11-17 16:37:00,SALE,157.5,7.5,0,UPI,EXT944467,SHIFT4,,COMPLETED,2025-11-17 16:37:00,True
POS100040,TERM-001-3,PU1003,2025-11-18 13:22:50,SALE,1873.2,89.2,0,UPI,EXT334090,SHIFT2,,COMPLETED,2025-11-18 13:22:50,True
POS100041,TERM-001-4,PU1002,2025-11-19 20:53:17,SALE,701.4,33.4,0,CASH,EXT949952,SHIFT1,,COMPLETED,2025-11-19 20:53:17,True
POS100042,TERM-001-4,PU1003,2025-11-24 01:56:49,SALE,522.9,24.9,0,CASH,EXT589590,SHIFT1,,COMPLETED,2025-11-24 01:56:49,True
POS100043,TERM-001-2,PU1003,2025-11-25 23:39:52,SALE,1134.0,54.0,0,UPI,EXT641696,SHIFT3,,COMPLETED,2025-11-25 23:39:52,True
POS100044,TERM-001-3,PU1001,2025-11-14 08:52:20,SALE,88.2,4.2,0,CARD,EXT226097,SHIFT3,,COMPLETED,2025-11-14 08:52:20,True
POS100045,TERM-001-3,PU1003,2025-11-16 11:34:10,SALE,537.6,25.6,0,CARD,EXT284496,SHIFT5,,COMPLETED,2025-11-16 11:34:10,True
POS100046,TERM-001-1,PU1001,2025-11-12 21:54:57,SALE,974.4,46.4,0,UPI,EXT448751,SHIFT1,,COMPLETED,2025-11-12 21:54:57,True
POS100047,TERM-001-1,PU1003,2025-11-09 15:57:07,SALE,827.4,39.4,0,UPI,EXT585358,SHIFT1,,COMPLETED,2025-11-09 15:57:07,True
POS100048,TERM-001-1,PU1003,2025-11-29 14:28:41,SALE,126.0,6.0,0,UPI,EXT642456,SHIFT1,,COMPLETED,2025-11-29 14:28:41,True
POS100049,TERM-001-2,PU1003,2025-11-11 03:49:41,SALE,476.7,22.7,0,UPI,EXT906415,SHIFT2,,COMPLETED,2025-11-11 03:49:41,True
