return_id,order_id,request_ts,reason_code,requested_items_json,status,approved_by,pickup_scheduled_ts,received_at_centre_ts,refund_amount,credit_note_id,created_at,resolution_notes
RET10031,EORD2018,2025-11-07 12:16:13,WRONG_ITEM,[],REQUESTED,ops_manager,2025-11-08 12:16:13,2025-11-07 12:16:13,1432.92,CN2058,2025-11-07 12:16:13,
RET10032,EORD2005,2025-11-04 12:36:40,DAMAGED,[],REJECTED,,2025-11-05 12:36:40,2025-11-05 12:36:40,1874.84,CN1132,2025-11-04 12:36:40,
RET10033,EORD2011,2025-11-08 06:40:44,NOT_AS_DESCRIBED,[],REQUESTED,,2025-11-09 06:40:44,2025-11-08 06:40:44,910.68,CN3304,2025-11-08 06:40:44,
RET10034,EORD2061,2025-11-03 08:38:43,NOT_AS_DESCRIBED,[],REJECTED,,2025-11-04 08:38:43,2025-11-05 08:38:43,1550.54,CN9214,2025-11-03 08:38:43,
RET10035,EORD2029,2025-11-15 19:39:00,NOT_AS_DESCRIBED,[],APPROVED,,2025-11-16 19:39:00,2025-11-16 19:39:00,1445.3,CN4295,2025-11-15 19:39:00,
RET10036,EORD2018,2025-11-15 12:50:21,QUALITY,[],APPROVED,,2025-11-16 12:50:21,2025-11-15 12:50:21,108.82,CN9104,2025-11-15 12:50:21,
RET10037,EORD2007,2025-11-12 21:53:43,WRONG_ITEM,[],COMPLETED,,2025-11-13 21:53:43,2025-11-14 21:53:43,1001.83,CN1055,2025-11-12 21:53:43,
RET10038,EORD2079,2025-11-12 23:34:05,WRONG_ITEM,[],COMPLETED,ops_manager,2025-11-13 23:34:05,2025-11-12 23:34:05,1933.75,CN1656,2025-11-12 23:34:05,
RET10039,EORD2001,2025-11-04 03:34:05,QUALITY,[],REQUESTED,quality_head,2025-11-05 03:34:05,2025-11-05 03:34:05,677.28,CN9751,2025-11-04 03:34:05,
RET10040,EORD2063,2025-11-20 01:22:56,QUALITY,[],COMPLETED,,2025-11-21 01:22:56,2025-11-22 01:22:56,801.43,CN2444,2025-11-20 01:22:56,
