shipment_id,order_id,carrier_id,tracking_no,shipment_date,expected_delivery_date,actual_delivery_date,shipment_status,pickup_centre_id,package_weight_kg,package_dimensions_json,shipping_charge,created_at,last_update
SHIP8020,EORDR5020,ThirdPartyLogistics,TR5090253,2025-12-01 06:20:00,2025-12-03 06:20:00,2025-12-04 09:20:00,OUT_FOR_DELIVERY,Surat Distribution Centre,21.47,{},128.69,2025-12-01 06:20:00,2025-12-01 08:20:00
SHIP8021,EORDR5021,InHouseFleet,TR3524698,2025-11-30 12:00:37,2025-12-03 12:00:37,2025-12-04 17:00:37,IN_TRANSIT,Surat Distribution Centre,22.46,{},83.99,2025-11-30 12:00:37,2025-12-02 04:00:37
SHIP8022,EORDR5022,InHouseFleet,TR1497636,2025-11-24 04:40:02,2025-11-27 04:40:02,2025-11-27 10:40:02,IN_TRANSIT,Ahmedabad Collection Centre,23.9,{},98.31,2025-11-24 04:40:02,2025-11-25 07:40:02
SHIP8023,EORDR5023,InHouseFleet,TR2900362,2025-11-25 08:06:10,2025-11-27 08:06:10,2025-11-28 07:06:10,OUT_FOR_DELIVERY,Ahmedabad Collection Centre,18.53,{},81.31,2025-11-25 08:06:10,2025-11-26 11:06:10
SHIP8024,EORDR5024,LocalCourier,TR9628499,2025-11-23 05:54:16,2025-11-25 05:54:16,,OUT_FOR_DELIVERY,Ahmedabad Collection Centre,28.95,{},142.96,2025-11-23 05:54:16,2025-11-23 11:54:16
SHIP8025,EORDR5025,LocalCourier,TR3557894,2025-11-23 20:54:41,2025-11-26 20:54:41,,IN_TRANSIT,Ahmedabad Collection Centre,14.5,{},69.93,2025-11-23 20:54:41,2025-11-24 01:54:41
SHIP8026,EORDR5026,LocalCourier,TR1069603,2025-11-30 21:59:39,2025-12-02 21:59:39,2025-12-04 19:59:39,IN_TRANSIT,Surat Distribution Centre,14.98,{},53.4,2025-11-30 21:59:39,2025-12-02 12:59:39
SHIP8027,EORDR5027,ThirdPartyLogistics,TR4238992,2025-11-25 15:23:28,2025-11-26 15:23:28,2025-11-28 09:23:28,DELIVERED,Surat Distribution Centre,8.8,{},49.91,2025-11-25 15:23:28,2025-11-25 18:23:28
SHIP8028,EORDR5028,InHouseFleet,TR4352533,2025-11-25 02:20:33,2025-11-26 02:20:33,,IN_TRANSIT,Surat Distribution Centre,7.26,{},101.59,2025-11-25 02:20:33,2025-11-25 11:20:33
SHIP8029,EORDR5029,InHouseFleet,TR3534191,2025-11-25 21:26:37,2025-11-26 21:26:37,2025-11-26 21:26:37,IN_TRANSIT,Surat Distribution Centre,18.69,{},25.98,2025-11-25 21:26:37,2025-11-26 00:26:37
SHIP8030,EORDR5030,ThirdPartyLogistics,TR7051787,2025-11-23 05:32:23,2025-11-25 05:32:23,2025-11-25 06:32:23,PICKED,Surat Distribution Centre,2.56,{},67.03,2025-11-23 05:32:23,2025-11-23 17:32:23
SHIP8031,EORDR5031,ThirdPartyLogistics,TR6747181,2025-12-01 05:54:33,2025-12-04 05:54:33,,OUT_FOR_DELIVERY,Surat Distribution Centre,26.63,{},114.54,2025-12-01 05:54:33,2025-12-01 13:54:33
SHIP8032,EORDR5032,ThirdPartyLogistics,TR7629570,2025-11-27 02:15:16,2025-11-30 02:15:16,,IN_TRANSIT,Surat Distribution Centre,13.84,{},59.87,2025-11-27 02:15:16,2025-11-29 01:15:16
SHIP8033,EORDR5033,ThirdPartyLogistics,TR7872402,2025-11-27 01:33:28,2025-11-29 01:33:28,,PICKED,Surat Distribution Centre,17.32,{},129.93,2025-11-27 01:33:28,2025-11-28 07:33:28
SHIP8034,EORDR5034,InHouseFleet,TR2051574,2025-11-25 05:54:39,2025-11-26 05:54:39,2025-11-27 16:54:39,OUT_FOR_DELIVERY,Ahmedabad Collection Centre,6.28,{},104.38,2025-11-25 05:54:39,2025-11-25 07:54:39
SHIP8035,EORDR5035,ThirdPartyLogistics,TR3485333,2025-11-28 23:42:16,2025-11-29 23:42:16,,DELIVERED,Ahmedabad Collection Centre,18.1,{},79.58,2025-11-28 23:42:16,2025-11-29 09:42:16
SHIP8036,EORDR5036,ThirdPartyLogistics,TR9220914,2025-11-24 08:00:56,2025-11-27 08:00:56,2025-11-27 19:00:56,PICKED,Ahmedabad Collection Centre,1.92,{},58.38,2025-11-24 08:00:56,2025-11-26 02:00:56
SHIP8037,EORDR5037,ThirdPartyLogistics,TR5758830,2025-11-27 11:31:52,2025-11-30 11:31:52,2025-12-01 20:31:52,PICKED,Ahmedabad Collection Centre,16.05,{},92.7,2025-11-27 11:31:52,2025-11-28 15:31:52
SHIP8038,EORDR5038,LocalCourier,TR6434352,2025-11-28 00:21:57,2025-11-30 00:21:57,,IN_TRANSIT,Ahmedabad Collection Centre,17.34,{},68.62,2025-11-28 00:21:57,2025-11-29 16:21:57
SHIP8039,EORDR5039,LocalCourier,TR4349217,2025-11-27 17:41:59,2025-11-29 17:41:59,,OUT_FOR_DELIVERY,Ahmedabad Collection Centre,16.61,{},35.77,2025-11-27 17:41:59,2025-11-29 08:41:59
SHIP8040,EORDR5040,InHouseFleet,TR4331144,2025-12-01 14:18:51,2025-12-04 14:18:51,2025-12-05 11:18:51,PICKED,Surat Distribution Centre,26.6,{},59.95,2025-12-01 14:18:51,2025-12-02 07:18:51
SHIP8041,EORDR5041,LocalCourier,TR1121049,2025-11-26 20:13:24,2025-11-28 20:13:24,,IN_TRANSIT,Surat Distribution Centre,15.53,{},40.18,2025-11-26 20:13:24,2025-11-27 19:13:24
SHIP8042,EORDR5042,InHouseFleet,TR3333074,2025-12-02 01:14:46,2025-12-03 01:14:46,2025-12-04 11:14:46,IN_TRANSIT,Ahmedabad Collection Centre,1.32,{},133.26,2025-12-02 01:14:46,2025-12-02 14:14:46
SHIP8043,EORDR5043,LocalCourier,TR8531847,2025-11-29 11:31:44,2025-11-30 11:31:44,,OUT_FOR_DELIVERY,Surat Distribution Centre,22.85,{},91.63,2025-11-29 11:31:44,2025-12-01 03:31:44
SHIP8044,EORDR5044,ThirdPartyLogistics,TR2479512,2025-11-27 17:42:46,2025-11-28 17:42:46,2025-11-29 16:42:46,PICKED,Ahmedabad Collection Centre,5.72,{},136.59,2025-11-27 17:42:46,2025-11-29 14:42:46
SHIP8045,EORDR5045,LocalCourier,TR9939880,2025-11-24 00:11:59,2025-11-25 00:11:59,,OUT_FOR_DELIVERY,Surat Distribution Centre,9.62,{},49.55,2025-11-24 00:11:59,2025-11-24 21:11:59
SHIP8046,EORDR5046,LocalCourier,TR3953447,2025-11-28 01:16:19,2025-11-30 01:16:19,2025-11-30 14:16:19,DELIVERED,Surat Distribution Centre,3.83,{},132.79,2025-11-28 01:16:19,2025-11-28 09:16:19
SHIP8047,EORDR5047,InHouseFleet,TR8465431,2025-11-27 18:10:22,2025-11-29 18:10:22,2025-11-29 21:10:22,DELIVERED,Surat Distribution Centre,20.02,{},69.5,2025-11-27 18:10:22,2025-11-28 22:10:22
SHIP8048,EORDR5048,InHouseFleet,TR7043863,2025-11-28 01:34:24,2025-11-30 01:34:24,,IN_TRANSIT,Ahmedabad Collection Centre,20.62,{},38.75,2025-11-28 01:34:24,2025-11-28 03:34:24
SHIP8049,EORDR5049,LocalCourier,TR2552444,2025-11-23 17:43:05,2025-11-26 17:43:05,2025-11-27 15:43:05,DELIVERED,Ahmedabad Collection Centre,27.52,{},126.89,2025-11-23 17:43:05,2025-11-24 17:43:05
SHIP8050,EORDR5050,InHouseFleet,TR6552723,2025-11-30 08:08:14,2025-12-03 08:08:14,2025-12-04 19:08:14,OUT_FOR_DELIVERY,Surat Distribution Centre,10.33,{},138.82,2025-11-30 08:08:14,2025-11-30 23:08:14
SHIP8051,EORDR5051,InHouseFleet,TR7820112,2025-11-29 08:21:11,2025-12-02 08:21:11,2025-12-04 04:21:11,OUT_FOR_DELIVERY,Surat Distribution Centre,2.39,{},142.02,2025-11-29 08:21:11,2025-11-29 21:21:11
SHIP8052,EORDR5052,ThirdPartyLogistics,TR3994200,2025-11-28 14:01:52,2025-12-01 14:01:52,2025-12-01 14:01:52,OUT_FOR_DELIVERY,Surat Distribution Centre,1.43,{},106.16,2025-11-28 14:01:52,2025-11-30 01:01:52
SHIP8053,EORDR5053,InHouseFleet,TR6358229,2025-11-30 21:48:13,2025-12-02 21:48:13,,PICKED,Surat Distribution Centre,20.01,{},147.97,2025-11-30 21:48:13,2025-12-01 12:48:13
SHIP8054,EORDR5054,InHouseFleet,TR9191258,2025-11-25 17:55:36,2025-11-26 17:55:36,,PICKED,Ahmedabad Collection Centre,26.08,{},71.17,2025-11-25 17:55:36,2025-11-25 19:55:36
SHIP8055,EORDR5055,ThirdPartyLogistics,TR5056766,2025-11-27 08:27:23,2025-11-30 08:27:23,2025-12-01 22:27:23,PICKED,Ahmedabad Collection Centre,24.56,{},84.38,2025-11-27 08:27:23,2025-11-27 18:27:23
SHIP8056,EORDR5056,LocalCourier,TR1945628,2025-11-22 17:31:58,2025-11-23 17:31:58,,IN_TRANSIT,Surat Distribution Centre,8.55,{},127.17,2025-11-22 17:31:58,2025-11-23 09:31:58
SHIP8057,EORDR5057,ThirdPartyLogistics,TR7918167,2025-11-26 16:28:45,2025-11-28 16:28:45,2025-11-30 02:28:45,OUT_FOR_DELIVERY,Surat Distribution Centre,17.39,{},44.47,2025-11-26 16:28:45,2025-11-28 01:28:45
SHIP8058,EORDR5058,ThirdPartyLogistics,TR2726226,2025-11-24 16:45:19,2025-11-27 16:45:19,2025-11-29 09:45:19,DELIVERED,Surat Distribution Centre,22.1,{},101.03,2025-11-24 16:45:19,2025-11-25 19:45:19
SHIP8059,EORDR5059,InHouseFleet,TR5023496,2025-11-30 22:23:59,2025-12-03 22:23:59,,OUT_FOR_DELIVERY,Surat Distribution Centre,25.01,{},26.98,2025-11-30 22:23:59,2025-12-02 07:23:59
SHIP8060,EORDR5060,LocalCourier,TR7415002,2025-11-26 01:31:38,2025-11-27 01:31:38,,DELIVERED,Surat Distribution Centre,6.3,{},141.07,2025-11-26 01:31:38,2025-11-27 02:31:38
SHIP8061,EORDR5061,LocalCourier,TR1988526,2025-11-27 04:34:36,2025-11-30 04:34:36,2025-11-30 16:34:36,DELIVERED,Ahmedabad Collection Centre,9.11,{},61.17,2025-11-27 04:34:36,2025-11-27 06:34:36
SHIP8062,EORDR5062,LocalCourier,TR9353649,2025-12-01 06:38:48,2025-12-02 06:38:48,2025-12-03 09:38:48,IN_TRANSIT,Ahmedabad Collection Centre,26.36,{},69.05,2025-12-01 06:38:48,2025-12-02 00:38:48
SHIP8063,EORDR5063,ThirdPartyLogistics,TR2402700,2025-11-26 10:18:39,2025-11-29 10:18:39,2025-12-01 04:18:39,DELIVERED,Surat Distribution Centre,22.63,{},114.72,2025-11-26 10:18:39,2025-11-27 11:18:39
SHIP8064,EORDR5064,InHouseFleet,TR7228870,2025-11-30 03:44:50,2025-12-02 03:44:50,2025-12-03 12:44:50,PICKED,Ahmedabad Collection Centre,7.67,{},24.33,2025-11-30 03:44:50,2025-12-01 08:44:50
SHIP8065,EORDR5065,InHouseFleet,TR2270962,2025-11-27 18:03:41,2025-11-28 18:03:41,,IN_TRANSIT,Ahmedabad Collection Centre,20.57,{},142.27,2025-11-27 18:03:41,2025-11-27 21:03:41
SHIP8066,EORDR5066,InHouseFleet,TR8222528,2025-11-25 21:13:33,2025-11-26 21:13:33,,OUT_FOR_DELIVERY,Surat Distribution Centre,17.88,{},86.78,2025-11-25 21:13:33,2025-11-27 15:13:33
SHIP8067,EORDR5067,ThirdPartyLogistics,TR6464472,2025-12-01 15:01:52,2025-12-02 15:01:52,,OUT_FOR_DELIVERY,Ahmedabad Collection Centre,18.28,{},29.26,2025-12-01 15:01:52,2025-12-02 17:01:52
SHIP8068,EORDR5068,LocalCourier,TR1382884,2025-12-01 12:46:55,2025-12-02 12:46:55,2025-12-03 07:46:55,OUT_FOR_DELIVERY,Surat Distribution Centre,2.79,{},39.92,2025-12-01 12:46:55,2025-12-02 10:46:55
SHIP8069,EORDR5069,ThirdPartyLogistics,TR8111842,2025-11-23 03:32:23,2025-11-25 03:32:23,,IN_TRANSIT,Ahmedabad Collection Centre,3.46,{},115.3,2025-11-23 03:32:23,2025-11-24 18:32:23
SHIP8070,EORDR5070,InHouseFleet,TR6132650,2025-11-29 20:33:50,2025-12-01 20:33:50,2025-12-01 23:33:50,PICKED,Surat Distribution Centre,8.17,{},48.19,2025-11-29 20:33:50,2025-11-30 00:33:50
SHIP8071,EORDR5071,LocalCourier,TR8980253,2025-11-27 00:45:54,2025-11-29 00:45:54,2025-11-29 01:45:54,PICKED,Ahmedabad Collection Centre,8.54,{},86.06,2025-11-27 00:45:54,2025-11-27 09:45:54
SHIP8072,EORDR5072,LocalCourier,TR2819839,2025-12-02 00:35:46,2025-12-05 00:35:46,,PICKED,Surat Distribution Centre,27.6,{},144.11,2025-12-02 00:35:46,2025-12-03 13:35:46
SHIP8073,EORDR5073,ThirdPartyLogistics,TR8120900,2025-11-28 22:34:05,2025-11-29 22:34:05,,IN_TRANSIT,Surat Distribution Centre,27.66,{},72.18,2025-11-28 22:34:05,2025-11-30 20:34:05
SHIP8074,EORDR5074,ThirdPartyLogistics,TR4383476,2025-11-25 05:26:51,2025-11-26 05:26:51,,PICKED,Surat Distribution Centre,4.16,{},148.66,2025-11-25 05:26:51,2025-11-26 05:26:51
SHIP8075,EORDR5075,LocalCourier,TR4842112,2025-11-25 13:23:54,2025-11-26 13:23:54,2025-11-27 23:23:54,PICKED,Surat Distribution Centre,3.91,{},92.69,2025-11-25 13:23:54,2025-11-26 06:23:54
SHIP8076,EORDR5076,InHouseFleet,TR7021269,2025-11-30 18:57:59,2025-12-02 18:57:59,2025-12-03 04:57:59,IN_TRANSIT,Surat Distribution Centre,10.41,{},76.27,2025-11-30 18:57:59,2025-12-01 13:57:59
SHIP8077,EORDR5077,ThirdPartyLogistics,TR7476419,2025-11-30 06:10:12,2025-12-03 06:10:12,,OUT_FOR_DELIVERY,Surat Distribution Centre,24.37,{},29.16,2025-11-30 06:10:12,2025-12-01 11:10:12
SHIP8078,EORDR5078,LocalCourier,TR5428427,2025-11-28 21:19:30,2025-11-29 21:19:30,2025-11-30 20:19:30,OUT_FOR_DELIVERY,Ahmedabad Collection Centre,7.12,{},100.16,2025-11-28 21:19:30,2025-11-30 09:19:30
SHIP8079,EORDR5079,ThirdPartyLogistics,TR8000260,2025-11-27 16:58:44,2025-11-28 16:58:44,2025-11-28 17:58:44,DELIVERED,Ahmedabad Collection Centre,29.69,{},55.28,2025-11-27 16:58:44,2025-11-29 10:58:44
SHIP8080,EORDR5080,LocalCourier,TR4456919,2025-12-01 21:21:47,2025-12-02 21:21:47,2025-12-03 23:21:47,PICKED,Surat Distribution Centre,9.32,{},86.74,2025-12-01 21:21:47,2025-12-03 05:21:47
SHIP8081,EORDR5081,InHouseFleet,TR5453703,2025-11-30 00:02:45,2025-12-03 00:02:45,,DELIVERED,Surat Distribution Centre,24.52,{},57.44,2025-11-30 00:02:45,2025-12-01 08:02:45
SHIP8082,EORDR5082,LocalCourier,TR8637828,2025-11-29 15:14:09,2025-12-02 15:14:09,,IN_TRANSIT,Ahmedabad Collection Centre,20.06,{},106.33,2025-11-29 15:14:09,2025-11-30 19:14:09
SHIP8083,EORDR5083,InHouseFleet,TR9397049,2025-11-28 12:35:08,2025-11-29 12:35:08,,OUT_FOR_DELIVERY,Ahmedabad Collection Centre,21.81,{},129.75,2025-11-28 12:35:08,2025-11-29 12:35:08
SHIP8084,EORDR5084,InHouseFleet,TR1959049,2025-11-28 08:26:34,2025-12-01 08:26:34,2025-12-01 10:26:34,IN_TRANSIT,Ahmedabad Collection Centre,22.67,{},110.28,2025-11-28 08:26:34,2025-11-29 03:26:34
SHIP8085,EORDR5085,InHouseFleet,TR2046769,2025-11-23 13:07:49,2025-11-25 13:07:49,2025-11-26 04:07:49,PICKED,Ahmedabad Collection Centre,16.09,{},22.55,2025-11-23 13:07:49,2025-11-24 15:07:49
SHIP8086,EORDR5086,LocalCourier,TR9081919,2025-11-27 14:11:48,2025-11-29 14:11:48,2025-12-01 10:11:48,PICKED,Surat Distribution Centre,4.62,{},75.18,2025-11-27 14:11:48,2025-11-28 10:11:48
SHIP8087,EORDR5087,ThirdPartyLogistics,TR9471026,2025-11-30 20:14:19,2025-12-01 20:14:19,2025-12-03 00:14:19,OUT_FOR_DELIVERY,Surat Distribution Centre,4.25,{},128.76,2025-11-30 20:14:19,2025-12-02 19:14:19
SHIP8088,EORDR5088,LocalCourier,TR8449516,2025-11-25 22:20:51,2025-11-28 22:20:51,2025-11-30 15:20:51,PICKED,Ahmedabad Collection Centre,11.36,{},139.45,2025-11-25 22:20:51,2025-11-26 07:20:51
SHIP8089,EORDR5089,ThirdPartyLogistics,TR2704923,2025-12-01 14:10:56,2025-12-03 14:10:56,,DELIVERED,Ahmedabad Collection Centre,27.43,{},77.95,2025-12-01 14:10:56,2025-12-01 19:10:56
SHIP8090,EORDR5090,InHouseFleet,TR1224282,2025-11-27 06:27:49,2025-11-28 06:27:49,2025-11-28 18:27:49,DELIVERED,Surat Distribution Centre,23.81,{},91.33,2025-11-27 06:27:49,2025-11-28 22:27:49
SHIP8091,EORDR5091,LocalCourier,TR9284567,2025-12-01 23:30:06,2025-12-04 23:30:06,2025-12-05 08:30:06,PICKED,Ahmedabad Collection Centre,24.5,{},33.88,2025-12-01 23:30:06,2025-12-02 12:30:06
SHIP8092,EORDR5092,InHouseFleet,TR1872852,2025-11-24 07:53:58,2025-11-27 07:53:58,2025-11-28 13:53:58,OUT_FOR_DELIVERY,Surat Distribution Centre,4.71,{},53.0,2025-11-24 07:53:58,2025-11-25 10:53:58
SHIP8093,EORDR5093,ThirdPartyLogistics,TR9588966,2025-11-29 20:42:28,2025-12-02 20:42:28,2025-12-03 05:42:28,IN_TRANSIT,Ahmedabad Collection Centre,0.62,{},35.12,2025-11-29 20:42:28,2025-12-01 01:42:28
SHIP8094,EORDR5094,LocalCourier,TR1669550,2025-11-23 22:26:41,2025-11-26 22:26:41,,DELIVERED,Surat Distribution Centre,17.9,{},106.31,2025-11-23 22:26:41,2025-11-24 18:26:41
SHIP8095,EORDR5095,LocalCourier,TR1752855,2025-11-29 06:20:15,2025-12-01 06:20:15,,PICKED,Ahmedabad Collection Centre,2.41,{},144.62,2025-11-29 06:20:15,2025-11-29 23:20:15
SHIP8096,EORDR5096,LocalCourier,TR9002574,2025-11-23 12:59:17,2025-11-26 12:59:17,2025-11-26 18:59:17,DELIVERED,Ahmedabad Collection Centre,9.09,{},108.32,2025-11-23 12:59:17,2025-11-24 21:59:17
SHIP8097,EORDR5097,LocalCourier,TR3846875,2025-12-01 16:07:01,2025-12-03 16:07:01,2025-12-04 10:07:01,DELIVERED,Ahmedabad Collection Centre,29.97,{},112.64,2025-12-01 16:07:01,2025-12-02 04:07:01
SHIP8098,EORDR5098,InHouseFleet,TR1806940,2025-11-28 10:42:12,2025-11-29 10:42:12,,IN_TRANSIT,Ahmedabad Collection Centre,2.19,{},38.96,2025-11-28 10:42:12,2025-11-29 01:42:12
SHIP8099,EORDR5099,LocalCourier,TR7908181,2025-11-28 05:41:19,2025-11-29 05:41:19,2025-11-30 03:41:19,IN_TRANSIT,Surat Distribution Centre,11.91,{},110.61,2025-11-28 05:41:19,2025-11-30 04:41:19
SHIP8100,EORDR5100,InHouseFleet,TR1991033,2025-12-01 12:47:45,2025-12-02 12:47:45,,OUT_FOR_DELIVERY,Surat Distribution Centre,23.07,{},48.77,2025-12-01 12:47:45,2025-12-03 07:47:45
