date,customer_type,total_orders,total_qty_kg,gross_sales,discount_amount,tax_amount,net_sales,created_at,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
2024-01-09,Wholesaler,26,320.45,5904.29,255.62,282.43,5648.67,2025-12-02 10:46:16,,,,
2024-01-09,Retail Chain,19,1060.18,18048.52,1270.9,838.88,16777.62,2025-12-02 10:46:16,,,,
2024-01-09,Caterer,16,713.16,15164.72,436.79,736.4,14727.929999999998,2025-12-02 10:46:16,,,,
2024-01-10,HORECA,19,745.84,13561.97,960.61,630.07,12601.359999999999,2025-12-02 10:46:16,,,,
2024-01-10,Wholesaler,28,455.56,10851.97,307.33,527.23,10544.64,2025-12-02 10:46:16,,,,
2024-01-10,Retail Chain,14,951.35,16611.31,1030.49,779.04,15580.820000000002,2025-12-02 10:46:16,,,,
2024-01-10,Caterer,15,939.93,18223.0,1275.61,847.37,16947.39,2025-12-02 10:46:16,,,,
2024-01-11,HORECA,13,752.74,12830.18,167.2,633.15,12662.98,2025-12-02 10:46:16,,,,
2024-01-11,Wholesaler,19,1174.77,24886.97,2130.22,1137.84,22756.75,2025-12-02 10:46:16,,,,
2024-01-11,Retail Chain,5,611.82,11943.17,414.09,576.45,11529.08,2025-12-02 10:46:16,,,,
2024-01-11,Caterer,24,1154.41,22942.7,1892.21,1052.52,21050.49,2025-12-02 10:46:16,,,,
2024-01-12,HORECA,25,261.58,5734.12,194.61,276.98,5539.51,2025-12-02 10:46:16,,,,
2024-01-12,Wholesaler,25,321.18,5094.3,337.35,237.85,4756.95,2025-12-02 10:46:16,,,,
2024-01-12,Retail Chain,19,538.96,12018.99,278.99,587.0,11740.0,2025-12-02 10:46:16,,,,
2024-01-12,Caterer,27,1175.18,18904.61,199.93,935.23,18704.68,2025-12-02 10:46:16,,,,
2024-01-13,HORECA,16,416.78,9570.8,178.48,469.62,9392.32,2025-12-02 10:46:16,,,,
2024-01-13,Wholesaler,12,933.53,20082.51,511.73,978.54,19570.78,2025-12-02 10:46:16,,,,
2024-01-13,Retail Chain,23,982.25,21995.27,599.85,1069.77,21395.420000000002,2025-12-02 10:46:16,,,,
2024-01-13,Caterer,9,237.82,4017.45,226.95,189.53,3790.5,2025-12-02 10:46:16,,,,
2024-01-14,HORECA,27,994.44,21712.68,1937.31,988.77,19775.37,2025-12-02 10:46:16,,,,
2024-01-14,Wholesaler,8,792.67,19299.43,771.36,926.4,18528.07,2025-12-02 10:46:16,,,,
2024-01-14,Retail Chain,21,1103.81,22924.9,1221.7,1085.16,21703.2,2025-12-02 10:46:16,,,,
2024-01-14,Caterer,9,309.68,7705.8,388.0,365.89,7317.8,2025-12-02 10:46:16,,,,
2024-01-15,HORECA,23,912.7,22757.03,1461.54,1064.77,21295.489999999998,2025-12-02 10:46:16,,,,
2024-01-15,Wholesaler,13,602.91,9851.02,151.34,484.98,9699.68,2025-12-02 10:46:16,,,,
2024-01-15,Retail Chain,14,884.57,13815.34,257.89,677.87,13557.45,2025-12-02 10:46:16,,,,
2024-01-15,Caterer,14,435.19,9675.31,434.98,462.02,9240.33,2025-12-02 10:46:16,,,,
2024-01-16,HORECA,22,579.01,13298.49,1183.65,605.74,12114.84,2025-12-02 10:46:16,,,,
2024-01-16,Wholesaler,27,955.11,23263.6,928.88,1116.74,22334.719999999998,2025-12-02 10:46:16,,,,
2024-01-16,Retail Chain,6,440.15,8315.73,263.92,402.59,8051.8099999999995,2025-12-02 10:46:16,,,,
2024-01-16,Caterer,12,400.39,6611.15,163.84,322.37,6447.3099999999995,2025-12-02 10:46:16,,,,
2024-01-17,HORECA,19,686.92,11634.44,402.99,561.57,11231.45,2025-12-02 10:46:16,,,,
2024-01-17,Wholesaler,5,956.12,16166.66,1292.96,743.69,14873.7,2025-12-02 10:46:16,,,,
2024-01-17,Retail Chain,12,511.71,9026.72,704.51,416.11,8322.21,2025-12-02 10:46:16,,,,
2024-01-17,Caterer,17,328.47,6873.76,478.41,319.77,6395.35,2025-12-02 10:46:16,,,,
2024-01-18,HORECA,25,1148.65,24313.86,1938.9,1118.75,22374.96,2025-12-02 10:46:16,,,,
2024-01-18,Wholesaler,19,817.09,20261.06,1752.29,925.44,18508.77,2025-12-02 10:46:16,,,,
2024-01-18,Retail Chain,6,653.3,11771.29,304.64,573.33,11466.650000000001,2025-12-02 10:46:16,,,,
2024-01-18,Caterer,5,571.31,13451.32,188.63,663.13,13262.69,2025-12-02 10:46:16,,,,
2024-01-19,HORECA,17,243.47,3790.09,38.78,187.57,3751.31,2025-12-02 10:46:16,,,,
2024-01-19,Wholesaler,9,688.88,13029.95,252.55,638.87,12777.400000000001,2025-12-02 10:46:16,,,,
2024-01-19,Retail Chain,28,386.34,8451.87,689.41,388.12,7762.460000000001,2025-12-02 10:46:16,,,,
2024-01-19,Caterer,28,638.47,11932.69,1001.44,546.56,10931.25,2025-12-02 10:46:16,,,,
2024-01-20,HORECA,11,884.33,15781.25,722.16,752.95,15059.09,2025-12-02 10:46:16,,,,
2024-01-20,Wholesaler,29,364.28,7881.79,289.66,379.61,7592.13,2025-12-02 10:46:16,,,,
2024-01-20,Retail Chain,12,620.48,14636.78,207.96,721.44,14428.820000000002,2025-12-02 10:46:16,,,,
2024-01-20,Caterer,21,307.34,6786.07,527.25,312.94,6258.82,2025-12-02 10:46:16,,,,
2024-01-21,HORECA,20,486.02,10331.14,682.83,482.42,9648.31,2025-12-02 10:46:16,,,,
2024-01-21,Wholesaler,9,564.95,11185.79,890.09,514.79,10295.7,2025-12-02 10:46:16,,,,
2024-01-21,Retail Chain,29,642.7,10051.61,192.13,492.97,9859.480000000001,2025-12-02 10:46:16,,,,
2024-01-21,Caterer,29,681.58,17022.44,264.05,837.92,16758.39,2025-12-02 10:46:16,,,,
2024-01-22,HORECA,26,653.79,15131.69,1282.04,692.48,13849.650000000001,2025-12-02 10:46:16,,,,
2024-01-22,Wholesaler,10,962.11,19768.91,613.47,957.77,19155.44,2025-12-02 10:46:16,,,,
2024-01-22,Retail Chain,29,1052.96,23314.97,1303.09,1100.59,22011.88,2025-12-02 10:46:16,,,,
2024-01-22,Caterer,18,939.87,21268.5,1957.66,965.54,19310.84,2025-12-02 10:46:16,,,,
2024-01-23,HORECA,6,574.83,13421.42,258.87,658.13,13162.55,2025-12-02 10:46:16,,,,
2024-01-23,Wholesaler,10,455.36,10090.86,581.43,475.47,9509.43,2025-12-02 10:46:16,,,,
2024-01-23,Retail Chain,22,922.02,18708.85,1166.85,877.1,17542.0,2025-12-02 10:46:16,,,,
2024-01-23,Caterer,26,1179.92,24216.1,1835.95,1119.01,22380.149999999998,2025-12-02 10:46:16,,,,
2024-01-24,HORECA,7,392.96,6095.23,163.93,296.56,5931.299999999999,2025-12-02 10:46:16,,,,
2024-01-24,Wholesaler,20,319.36,5261.27,289.3,248.6,4971.97,2025-12-02 10:46:16,,,,
2024-01-24,Retail Chain,14,383.92,6471.58,355.39,305.81,6116.19,2025-12-02 10:46:16,,,,
2024-01-24,Caterer,20,992.68,16590.84,1369.26,761.08,15221.58,2025-12-02 10:46:16,,,,
2024-01-25,HORECA,7,769.46,12920.49,134.55,639.3,12785.94,2025-12-02 10:46:16,,,,
2024-01-25,Wholesaler,15,237.46,4195.8,395.02,190.04,3800.78,2025-12-02 10:46:16,,,,
2024-01-25,Retail Chain,25,359.32,7976.82,733.23,362.18,7243.59,2025-12-02 10:46:16,,,,
2024-01-25,Caterer,12,838.13,14234.78,330.46,695.22,13904.320000000002,2025-12-02 10:46:16,,,,
2024-01-26,HORECA,23,534.43,13039.0,1132.12,595.34,11906.880000000001,2025-12-02 10:46:16,,,,
2024-01-26,Wholesaler,17,519.2,10764.87,392.9,518.6,10371.970000000001,2025-12-02 10:46:16,,,,
2024-01-26,Retail Chain,14,716.36,13770.22,1117.54,632.63,12652.68,2025-12-02 10:46:16,,,,
2024-01-26,Caterer,26,1116.49,24717.29,271.86,1222.27,24445.43,2025-12-02 10:46:16,,,,
2024-01-27,HORECA,8,727.77,16912.05,1356.6,777.77,15555.449999999999,2025-12-02 10:46:16,,,,
2024-01-27,Wholesaler,10,450.85,8771.26,818.15,397.66,7953.110000000001,2025-12-02 10:46:16,,,,
2024-01-27,Retail Chain,11,325.33,5141.54,468.17,233.67,4673.37,2025-12-02 10:46:16,,,,
2024-01-27,Caterer,30,1072.74,25496.95,281.63,1260.77,25215.32,2025-12-02 10:46:16,,,,
2024-01-28,HORECA,10,818.14,16374.16,1265.23,755.45,15108.93,2025-12-02 10:46:16,,,,
2024-01-28,Wholesaler,6,1122.4,23742.83,1551.12,1109.59,22191.710000000003,2025-12-02 10:46:16,,,,
2024-01-28,Retail Chain,26,377.04,8629.68,518.2,405.57,8111.4800000000005,2025-12-02 10:46:16,,,,
2024-01-28,Caterer,26,1022.54,23339.21,595.73,1137.17,22743.48,2025-12-02 10:46:16,,,,
2024-01-29,HORECA,6,585.97,14643.77,810.83,691.65,13832.94,2025-12-02 10:46:16,,,,
2024-01-29,Wholesaler,30,1068.92,25198.08,1831.95,1168.31,23366.13,2025-12-02 10:46:16,,,,
2024-01-29,Retail Chain,20,899.38,15570.76,663.94,745.34,14906.82,2025-12-02 10:46:16,,,,
2024-01-29,Caterer,5,695.96,15717.68,1056.18,733.08,14661.5,2025-12-02 10:46:16,,,,
2024-01-30,HORECA,12,509.4,9887.64,160.42,486.36,9727.22,2025-12-02 10:46:16,,,,
2024-01-30,Wholesaler,26,638.47,14055.01,189.68,693.27,13865.33,2025-12-02 10:46:16,,,,
2024-01-30,Retail Chain,25,547.79,8432.63,139.18,414.67,8293.449999999999,2025-12-02 10:46:16,,,,
2024-01-30,Caterer,16,771.29,19032.35,290.18,937.11,18742.17,2025-12-02 10:46:16,,,,
2024-01-31,HORECA,30,1018.31,19120.42,575.09,927.27,18545.329999999998,2025-12-02 10:46:16,,,,
2024-01-31,Wholesaler,30,417.56,9784.69,276.26,475.42,9508.43,2025-12-02 10:46:16,,,,
2024-01-31,Retail Chain,9,716.55,12791.55,1029.49,588.1,11762.06,2025-12-02 10:46:16,,,,
2024-01-31,Caterer,23,302.61,6689.07,281.62,320.37,6407.45,2025-12-02 10:46:16,,,,
2024-02-01,HORECA,24,227.84,3835.84,181.52,182.72,3654.32,2025-12-02 10:46:16,,,,
2024-02-01,Wholesaler,15,795.64,14902.72,601.17,715.08,14301.55,2025-12-02 10:46:16,,,,
2024-02-01,Retail Chain,9,615.96,12372.27,994.35,568.9,11377.92,2025-12-02 10:46:16,,,,
2024-02-01,Caterer,12,634.4,9905.58,374.13,476.57,9531.45,2025-12-02 10:46:16,,,,
2024-02-02,HORECA,11,435.23,7968.01,202.18,388.29,7765.83,2025-12-02 10:46:16,,,,
2024-02-02,Wholesaler,26,1076.09,17016.21,995.1,801.06,16021.109999999999,2025-12-02 10:46:16,,,,
2024-02-02,Retail Chain,9,546.58,12206.16,387.04,590.96,11819.119999999999,2025-12-02 10:46:16,,,,
2024-02-02,Caterer,6,728.61,13023.03,810.0,610.65,12213.03,2025-12-02 10:46:16,,,,
2024-02-03,HORECA,7,660.04,14908.03,686.91,711.06,14221.12,2025-12-02 10:46:16,,,,
2024-02-03,Wholesaler,17,587.31,14384.97,1084.56,665.02,13300.41,2025-12-02 10:46:16,,,,
2024-02-03,Retail Chain,7,775.25,13638.26,808.07,641.51,12830.19,2025-12-02 10:46:16,,,,
2024-02-03,Caterer,29,926.4,17775.23,424.52,867.54,17350.71,2025-12-02 10:46:16,,,,
2024-02-04,HORECA,12,688.63,11087.99,630.53,522.87,10457.46,2025-12-02 10:46:16,,,,
2024-02-04,Wholesaler,10,1111.87,23267.34,629.08,1131.91,22638.26,2025-12-02 10:46:16,,,,
2024-02-04,Retail Chain,17,1015.45,24974.3,1291.06,1184.16,23683.239999999998,2025-12-02 10:46:16,,,,
2024-02-04,Caterer,10,1061.81,19494.08,1914.73,878.97,17579.350000000002,2025-12-02 10:46:16,,,,
2024-02-05,HORECA,10,285.94,4859.7,329.14,226.53,4530.5599999999995,2025-12-02 10:46:16,,,,
2024-02-05,Wholesaler,28,910.98,16199.48,1378.25,741.06,14821.23,2025-12-02 10:46:16,,,,
2024-02-05,Retail Chain,28,903.72,16714.17,1080.58,781.68,15633.589999999998,2025-12-02 10:46:16,,,,
2024-02-05,Caterer,25,255.76,3919.06,98.9,191.01,3820.16,2025-12-02 10:46:16,,,,
2024-02-06,HORECA,26,730.37,17061.13,238.89,841.11,16822.24,2025-12-02 10:46:16,,,,
2024-02-06,Wholesaler,22,404.41,6851.66,120.86,336.54,6730.8,2025-12-02 10:46:16,,,,
2024-02-06,Retail Chain,17,350.8,5880.22,505.38,268.74,5374.84,2025-12-02 10:46:16,,,,
2024-02-06,Caterer,21,812.98,18729.55,1641.04,854.43,17088.51,2025-12-02 10:46:16,,,,
2024-02-07,HORECA,29,298.02,4554.7,106.69,222.4,4448.01,2025-12-02 10:46:16,,,,
2024-02-07,Wholesaler,25,659.96,14313.0,1240.84,653.61,13072.16,2025-12-02 10:46:16,,,,
2024-02-07,Retail Chain,26,946.94,19186.16,1141.54,902.23,18044.62,2025-12-02 10:46:16,,,,
2024-02-07,Caterer,27,323.01,5186.03,262.31,246.19,4923.719999999999,2025-12-02 10:46:16,,,,
2024-02-08,HORECA,11,902.97,14049.13,1299.54,637.48,12749.59,2025-12-02 10:46:16,,,,
2024-02-08,Wholesaler,28,839.16,18587.04,402.62,909.22,18184.420000000002,2025-12-02 10:46:16,,,,
2024-02-08,Retail Chain,11,533.62,10579.34,222.65,517.83,10356.69,2025-12-02 10:46:16,,,,
2024-02-08,Caterer,25,413.01,9305.9,301.24,450.23,9004.66,2025-12-02 10:46:16,,,,
2024-02-09,HORECA,22,647.43,15821.42,1575.38,712.3,14246.04,2025-12-02 10:46:16,,,,
2024-02-09,Wholesaler,27,1051.35,23837.78,758.1,1153.98,23079.68,2025-12-02 10:46:16,,,,
2024-02-09,Retail Chain,14,378.13,7963.66,398.39,378.26,7565.2699999999995,2025-12-02 10:46:16,,,,
2024-02-09,Caterer,10,1136.58,23874.33,1955.56,1095.94,21918.77,2025-12-02 10:46:16,,,,
2024-02-10,HORECA,6,320.73,5030.19,447.1,229.15,4583.089999999999,2025-12-02 10:46:16,,,,
2024-02-10,Wholesaler,25,916.17,19418.17,886.26,926.6,18531.91,2025-12-02 10:46:16,,,,
2024-02-10,Retail Chain,14,834.56,17750.26,1407.84,817.12,16342.419999999998,2025-12-02 10:46:16,,,,
2024-02-10,Caterer,27,328.82,6762.15,369.83,319.62,6392.32,2025-12-02 10:46:16,,,,
2024-02-11,HORECA,25,472.29,10896.64,871.16,501.27,10025.48,2025-12-02 10:46:16,,,,
2024-02-11,Wholesaler,15,960.63,21306.11,1772.29,976.69,19533.82,2025-12-02 10:46:16,,,,
2024-02-11,Retail Chain,23,805.67,19721.49,766.87,947.73,18954.620000000003,2025-12-02 10:46:16,,,,
2024-02-11,Caterer,9,382.33,7436.01,707.27,336.44,6728.74,2025-12-02 10:46:16,,,,
2024-02-12,HORECA,13,862.17,17650.05,1472.51,808.88,16177.539999999999,2025-12-02 10:46:16,,,,
2024-02-12,Wholesaler,11,1001.44,15401.25,772.03,731.46,14629.22,2025-12-02 10:46:16,,,,
2024-02-12,Retail Chain,15,755.73,15444.03,310.25,756.69,15133.78,2025-12-02 10:46:16,,,,
2024-02-12,Caterer,19,1170.42,21707.41,711.73,1049.78,20995.68,2025-12-02 10:46:16,,,,
2024-02-13,HORECA,12,613.65,10471.98,750.91,486.05,9721.07,2025-12-02 10:46:16,,,,
2024-02-13,Wholesaler,5,1147.97,19289.45,595.38,934.7,18694.07,2025-12-02 10:46:16,,,,
2024-02-13,Retail Chain,18,955.29,19352.26,1552.84,889.97,17799.42,2025-12-02 10:46:16,,,,
2024-02-13,Caterer,21,693.02,17316.31,1671.19,782.26,15645.12,2025-12-02 10:46:16,,,,
2024-02-14,HORECA,30,534.92,9292.38,532.11,438.01,8760.269999999999,2025-12-02 10:46:16,,,,
2024-02-14,Wholesaler,5,1147.8,25265.9,2356.74,1145.46,22909.160000000003,2025-12-02 10:46:16,,,,
2024-02-14,Retail Chain,18,719.3,11572.03,1134.95,521.85,10437.08,2025-12-02 10:46:16,,,,
2024-02-14,Caterer,10,661.94,14772.25,332.57,721.98,14439.68,2025-12-02 10:46:16,,,,
2024-02-15,HORECA,30,737.29,17010.8,1216.8,789.7,15794.0,2025-12-02 10:46:16,,,,
2024-02-15,Wholesaler,29,485.64,9884.22,587.8,464.82,9296.42,2025-12-02 10:46:16,,,,
2024-02-15,Retail Chain,30,488.48,7980.12,476.11,375.2,7504.01,2025-12-02 10:46:16,,,,
2024-02-15,Caterer,28,204.0,4865.71,83.39,239.12,4782.32,2025-12-02 10:46:16,,,,
2024-02-16,HORECA,5,562.27,12765.3,1031.42,586.69,11733.88,2025-12-02 10:46:16,,,,
2024-02-16,Wholesaler,20,267.48,5323.71,275.69,252.4,5048.02,2025-12-02 10:46:16,,,,
2024-02-16,Retail Chain,25,611.85,10375.73,932.17,472.18,9443.56,2025-12-02 10:46:16,,,,
2024-02-16,Caterer,22,778.53,14856.25,900.22,697.8,13956.03,2025-12-02 10:46:16,,,,
2024-02-17,HORECA,27,817.73,15054.6,1440.97,680.68,13613.630000000001,2025-12-02 10:46:16,,,,
2024-02-17,Wholesaler,10,610.44,12133.39,245.52,594.39,11887.869999999999,2025-12-02 10:46:16,,,,
2024-02-17,Retail Chain,16,1065.98,21410.32,1772.66,981.88,19637.66,2025-12-02 10:46:16,,,,
2024-02-17,Caterer,8,226.26,4372.31,168.85,210.17,4203.46,2025-12-02 10:46:16,,,,
2024-02-18,HORECA,16,898.2,18903.95,1020.68,894.16,17883.27,2025-12-02 10:46:16,,,,
2024-02-18,Wholesaler,10,981.68,16023.8,1485.32,726.92,14538.48,2025-12-02 10:46:16,,,,
2024-02-18,Retail Chain,23,963.54,17409.72,1135.7,813.7,16274.02,2025-12-02 10:46:16,,,,
2024-02-18,Caterer,22,759.01,16336.25,1622.8,735.67,14713.45,2025-12-02 10:46:16,,,,
2024-02-19,HORECA,22,618.82,13997.83,1371.91,631.3,12625.92,2025-12-02 10:46:16,,,,
2024-02-19,Wholesaler,14,1085.69,25457.23,1500.73,1197.83,23956.5,2025-12-02 10:46:16,,,,
2024-02-19,Retail Chain,20,261.17,4895.77,321.03,228.74,4574.740000000001,2025-12-02 10:46:16,,,,
2024-02-19,Caterer,12,950.09,23409.06,771.6,1131.87,22637.460000000003,2025-12-02 10:46:16,,,,
2024-02-20,HORECA,13,520.77,9764.08,575.22,459.44,9188.86,2025-12-02 10:46:16,,,,
2024-02-20,Wholesaler,19,1023.13,20635.43,1195.08,972.02,19440.35,2025-12-02 10:46:16,,,,
2024-02-20,Retail Chain,17,883.17,14603.67,520.07,704.18,14083.6,2025-12-02 10:46:16,,,,
2024-02-20,Caterer,10,781.43,16754.85,915.21,791.98,15839.64,2025-12-02 10:46:16,,,,
2024-02-21,HORECA,20,708.33,15960.89,1044.56,745.82,14916.33,2025-12-02 10:46:16,,,,
2024-02-21,Wholesaler,28,731.2,11545.81,846.09,534.99,10699.72,2025-12-02 10:46:16,,,,
2024-02-21,Retail Chain,5,272.2,4345.82,231.41,205.72,4114.41,2025-12-02 10:46:16,,,,
2024-02-21,Caterer,15,982.59,15316.09,1176.83,706.96,14139.26,2025-12-02 10:46:16,,,,
2024-02-22,HORECA,12,258.04,5499.65,533.11,248.33,4966.54,2025-12-02 10:46:16,,,,
2024-02-22,Wholesaler,13,1077.51,18899.27,1662.51,861.84,17236.760000000002,2025-12-02 10:46:16,,,,
2024-02-22,Retail Chain,7,1119.45,17180.88,1056.72,806.21,16124.160000000002,2025-12-02 10:46:16,,,,
2024-02-22,Caterer,29,246.49,4057.44,273.17,189.21,3784.27,2025-12-02 10:46:16,,,,
2024-02-23,HORECA,7,1037.92,20536.25,1483.01,952.66,19053.24,2025-12-02 10:46:16,,,,
2024-02-23,Wholesaler,9,823.2,12730.1,363.39,618.34,12366.710000000001,2025-12-02 10:46:16,,,,
2024-02-23,Retail Chain,24,370.15,8152.93,477.43,383.78,7675.5,2025-12-02 10:46:16,,,,
2024-02-23,Caterer,14,701.95,17470.24,1491.68,798.93,15978.560000000001,2025-12-02 10:46:16,,,,
2024-02-24,HORECA,30,496.55,10611.51,273.06,516.92,10338.45,2025-12-02 10:46:16,,,,
2024-02-24,Wholesaler,18,421.5,8417.57,545.43,393.61,7872.139999999999,2025-12-02 10:46:16,,,,
2024-02-24,Retail Chain,9,678.82,16145.19,624.42,776.04,15520.77,2025-12-02 10:46:16,,,,
2024-02-24,Caterer,29,498.42,11651.15,792.07,542.95,10859.08,2025-12-02 10:46:16,,,,
2024-02-25,HORECA,13,545.25,11611.0,655.57,547.77,10955.43,2025-12-02 10:46:16,,,,
2024-02-25,Wholesaler,21,802.13,19673.93,1138.53,926.77,18535.4,2025-12-02 10:46:16,,,,
2024-02-25,Retail Chain,11,617.12,11788.46,192.59,579.79,11595.869999999999,2025-12-02 10:46:16,,,,
2024-02-25,Caterer,7,209.42,3912.02,320.05,179.6,3591.97,2025-12-02 10:46:16,,,,
2024-02-26,HORECA,25,645.72,12286.84,370.13,595.84,11916.710000000001,2025-12-02 10:46:16,,,,
2024-02-26,Wholesaler,13,226.87,3919.02,254.37,183.23,3664.65,2025-12-02 10:46:16,,,,
2024-02-26,Retail Chain,15,401.56,9934.86,924.93,450.5,9009.93,2025-12-02 10:46:16,,,,
2024-02-26,Caterer,30,692.54,17066.07,1054.87,800.56,16011.2,2025-12-02 10:46:16,,,,
2024-02-27,HORECA,25,422.37,8840.92,143.19,434.89,8697.73,2025-12-02 10:46:16,,,,
2024-02-27,Wholesaler,14,701.18,13866.51,1128.95,636.88,12737.56,2025-12-02 10:46:16,,,,
2024-02-27,Retail Chain,11,858.11,14246.28,307.82,696.92,13938.460000000001,2025-12-02 10:46:16,,,,
2024-02-27,Caterer,16,1197.98,23982.02,946.63,1151.77,23035.39,2025-12-02 10:46:16,,,,
2024-02-28,HORECA,8,296.41,5518.06,344.85,258.66,5173.21,2025-12-02 10:46:16,,,,
2024-02-28,Wholesaler,9,419.78,9329.69,440.46,444.46,8889.230000000001,2025-12-02 10:46:16,,,,
2024-02-28,Retail Chain,5,886.93,18982.02,1796.68,859.27,17185.34,2025-12-02 10:46:16,,,,
2024-02-28,Caterer,5,1055.37,25974.49,2012.87,1198.08,23961.620000000003,2025-12-02 10:46:16,,,,
2024-02-29,HORECA,30,721.11,17791.72,1159.29,831.62,16632.43,2025-12-02 10:46:16,,,,
2024-02-29,Wholesaler,19,403.32,9417.37,870.95,427.32,8546.42,2025-12-02 10:46:16,,,,
2024-02-29,Retail Chain,19,945.68,15116.24,929.6,709.33,14186.64,2025-12-02 10:46:16,,,,
2024-02-29,Caterer,19,897.62,20111.28,853.81,962.87,19257.469999999998,2025-12-02 10:46:16,,,,
2024-03-01,HORECA,6,386.88,7059.5,354.08,335.27,6705.42,2025-12-02 10:46:16,,,,
2024-03-01,Wholesaler,13,1007.84,23187.94,1947.01,1062.05,21240.93,2025-12-02 10:46:16,,,,
2024-03-01,Retail Chain,8,891.61,13782.24,1032.08,637.51,12750.16,2025-12-02 10:46:16,,,,
2024-03-01,Caterer,7,943.21,21439.11,1870.95,978.41,19568.16,2025-12-02 10:46:16,,,,
2024-03-02,HORECA,26,961.57,23374.52,370.92,1150.18,23003.600000000002,2025-12-02 10:46:16,,,,
2024-03-02,Wholesaler,7,1175.1,27382.85,1134.36,1312.42,26248.489999999998,2025-12-02 10:46:16,,,,
2024-03-02,Retail Chain,12,615.28,13865.69,270.46,679.76,13595.230000000001,2025-12-02 10:46:16,,,,
2024-03-02,Caterer,22,913.34,16837.59,797.68,802.0,16039.91,2025-12-02 10:46:16,,,,
2024-03-03,HORECA,7,441.1,10358.93,839.66,475.96,9519.27,2025-12-02 10:46:16,,,,
