vendor_id,vendor_name,phone,email,address,city,gst_no,business_type,created_at
POSV1027,Bobal Group,+91 9818728153,bobalgroup@vendor.in,"62, Bhakta Ganj, Chittoor-126056",Anand,246167076094451,Equipment Repair,2025-12-02 11:03:52
POSV1028,"Sarna, Brar and Ratta",+91 9697612331,"sarna,brarandratta@vendor.in","20, D’Alia Zila, Ajmer-487630",Vadodara,246533869924742,Store Supplies,2025-12-02 11:03:52
POSV1029,Sarraf PLC,+91 9169210322,sarrafplc@vendor.in,"03/19, Sankaran Marg, Nellore 913582",Bharuch,245848860396265,Equipment Repair,2025-12-02 11:03:52
POSV1030,"Kala, Dash and Kothari",+91 9804319359,"kala,dashandkothari@vendor.in","H.No. 91, Lad, Deoghar-339172",Ahmedabad,248491781656006,Store Supplies,2025-12-02 11:03:52
POSV1031,Singh and Sons,+91 9737191407,singhandsons@vendor.in,"75/413, Keer Circle, Serampore-440547",Surat,245410526529116,Hardware,2025-12-02 11:03:52
POSV1032,Goda-Char,+91 8458360876,goda-char@vendor.in,"07/02, Manne Road, Alwar-071787",Nadiad,243210692529795,Hardware,2025-12-02 11:03:52
POSV1033,"Mandal, Kade and Kota",+91 8399932418,"mandal,kadeandkota@vendor.in","H.No. 454, Krish Path, Kolhapur-537373",Surat,242358569833223,Cleaning Services,2025-12-02 11:03:52
POSV1034,Zacharia Group,+91 8434847987,zachariagroup@vendor.in,"H.No. 49, Sengupta Chowk, Ujjain-695143",Ahmedabad,246110521395484,Cleaning Services,2025-12-02 11:03:52
POSV1035,Raju-Bumb,+91 7634143946,raju-bumb@vendor.in,"H.No. 85, Venkatesh Ganj, Faridabad 970895",Vadodara,242893829028771,Packaging,2025-12-02 11:03:52
POSV1036,Kulkarni Ltd,+91 9106170830,kulkarniltd@vendor.in,"H.No. 374, Mani Circle, Panchkula 637692",Gandhinagar,246432289545796,Store Supplies,2025-12-02 11:03:52
POSV1037,Issac-Banerjee,+91 9271356288,issac-banerjee@vendor.in,"04/47, Dhar, Khammam-515949",Ahmedabad,241665905983773,Cleaning Services,2025-12-02 11:03:52
POSV1038,Jayaraman Inc,+91 8088659948,jayaramaninc@vendor.in,"H.No. 610, Bahri Path, Khora -719537",Gandhinagar,245274015158103,Cleaning Services,2025-12-02 11:03:52
POSV1039,Mall Inc,+91 8704958652,mallinc@vendor.in,"98/84, Mani Chowk, Bharatpur 115451",Anand,247834424163059,Equipment Repair,2025-12-02 11:03:52
POSV1040,Doctor-Chhabra,+91 8069608665,doctor-chhabra@vendor.in,"70, Rajagopalan Nagar, Nizamabad-886828",Bharuch,245271808165262,Hardware,2025-12-02 11:03:52
