order_id,external_order_code,customer_id,order_ts,requested_delivery_ts,order_channel,order_status,currency,gross_amount,tax_amount,discount_amount,net_amount,pickup_centre_id,fulfillment_priority,created_at
B2BORD4026,EXT100025,CUST1026,2025-10-16 09:49:53,2025-10-17 09:49:53,Phone,DISPATCHED,INR,39016.36,0,1409.8,37606.56,CTR_VDR_001,HIGH,2025-10-16 09:49:53
B2BORD4027,EXT100026,CUST1027,2025-10-05 11:08:57,2025-10-06 11:08:57,WhatsApp,CANCELLED,INR,46817.62,0,1590.81,45226.810000000005,CTR_RJT_001,HIGH,2025-10-05 11:08:57
B2BORD4028,EXT100027,CUST1028,2025-11-19 03:42:44,2025-11-19 03:42:44,Email,DELIVERED,INR,41282.12,0,1909.22,39372.9,CTR_SUR_001,HIGH,2025-11-19 03:42:44
B2BORD4029,EXT100028,CUST1029,2025-11-25 23:49:14,2025-11-25 23:49:14,WhatsApp,PLACED,INR,18625.45,0,884.75,17740.7,CTR_RJT_001,URGENT,2025-11-25 23:49:14
B2BORD4030,EXT100029,CUST1030,2025-10-19 20:08:56,2025-10-20 20:08:56,Phone,CONFIRMED,INR,41741.68,0,542.27,41199.41,CTR_RJT_001,NORMAL,2025-10-19 20:08:56
B2BORD4031,EXT100030,CUST1031,2025-10-11 06:45:25,2025-10-11 06:45:25,Phone,CONFIRMED,INR,4436.74,0,1810.37,2626.37,CTR_SUR_001,URGENT,2025-10-11 06:45:25
B2BORD4032,EXT100031,CUST1032,2025-09-11 19:15:47,2025-09-11 19:15:47,Sales Rep,PLACED,INR,21838.47,0,1434.72,20403.75,CTR_AHD_001,URGENT,2025-09-11 19:15:47
B2BORD4033,EXT100032,CUST1033,2025-10-20 23:04:06,2025-10-20 23:04:06,Sales Rep,CANCELLED,INR,48939.71,0,315.88,48623.83,CTR_VDR_001,HIGH,2025-10-20 23:04:06
B2BORD4034,EXT100033,CUST1034,2025-10-12 17:35:53,2025-10-14 17:35:53,Phone,DISPATCHED,INR,17416.05,0,1291.8,16124.25,CTR_AHD_001,URGENT,2025-10-12 17:35:53
B2BORD4035,EXT100034,CUST1035,2025-10-09 17:43:05,2025-10-11 17:43:05,Phone,CANCELLED,INR,37456.95,0,1700.67,35756.28,CTR_AHD_001,NORMAL,2025-10-09 17:43:05
B2BORD4036,EXT100035,CUST1036,2025-11-08 09:02:50,2025-11-09 09:02:50,Phone,PLACED,INR,49864.25,0,793.99,49070.26,CTR_VDR_001,NORMAL,2025-11-08 09:02:50
B2BORD4037,EXT100036,CUST1037,2025-10-20 10:29:38,2025-10-22 10:29:38,WhatsApp,PLACED,INR,2444.82,0,1135.92,1308.9,CTR_AHD_001,HIGH,2025-10-20 10:29:38
B2BORD4038,EXT100037,CUST1038,2025-09-19 02:23:36,2025-09-20 02:23:36,Email,CANCELLED,INR,27167.29,0,1778.52,25388.77,CTR_SUR_001,URGENT,2025-09-19 02:23:36
B2BORD4039,EXT100038,CUST1039,2025-09-18 21:55:14,2025-09-19 21:55:14,WhatsApp,CONFIRMED,INR,40823.07,0,661.37,40161.7,CTR_VDR_001,URGENT,2025-09-18 21:55:14
B2BORD4040,EXT100039,CUST1040,2025-11-07 10:20:04,2025-11-08 10:20:04,Phone,PLACED,INR,37357.66,0,1581.54,35776.12,CTR_SUR_001,NORMAL,2025-11-07 10:20:04
B2BORD4041,EXT100040,CUST1041,2025-09-28 11:23:17,2025-09-30 11:23:17,Email,DELIVERED,INR,26733.47,0,173.48,26559.99,CTR_AHD_001,NORMAL,2025-09-28 11:23:17
B2BORD4042,EXT100041,CUST1042,2025-11-26 03:55:10,2025-11-26 03:55:10,Email,DISPATCHED,INR,46919.62,0,13.66,46905.96,CTR_VDR_001,NORMAL,2025-11-26 03:55:10
B2BORD4043,EXT100042,CUST1043,2025-12-01 02:33:34,2025-12-02 02:33:34,WhatsApp,DISPATCHED,INR,16493.4,0,1445.77,15047.630000000001,CTR_AHD_001,HIGH,2025-12-01 02:33:34
B2BORD4044,EXT100043,CUST1044,2025-10-08 17:39:20,2025-10-10 17:39:20,WhatsApp,CONFIRMED,INR,4981.97,0,236.45,4745.52,CTR_RJT_001,NORMAL,2025-10-08 17:39:20
B2BORD4045,EXT100044,CUST1045,2025-11-24 00:14:31,2025-11-25 00:14:31,WhatsApp,PLACED,INR,32658.14,0,1881.27,30776.87,CTR_RJT_001,URGENT,2025-11-24 00:14:31
B2BORD4046,EXT100045,CUST1046,2025-10-23 22:56:24,2025-10-23 22:56:24,Phone,CONFIRMED,INR,24952.73,0,909.96,24042.77,CTR_RJT_001,HIGH,2025-10-23 22:56:24
B2BORD4047,EXT100046,CUST1047,2025-11-29 14:11:28,2025-12-01 14:11:28,Email,CANCELLED,INR,40495.76,0,1651.21,38844.55,CTR_SUR_001,URGENT,2025-11-29 14:11:28
B2BORD4048,EXT100047,CUST1048,2025-11-21 20:03:33,2025-11-23 20:03:33,Sales Rep,CANCELLED,INR,23443.9,0,1407.53,22036.370000000003,CTR_AHD_001,URGENT,2025-11-21 20:03:33
B2BORD4049,EXT100048,CUST1049,2025-10-23 22:08:40,2025-10-23 22:08:40,Sales Rep,CANCELLED,INR,45338.63,0,404.31,44934.32,CTR_SUR_001,NORMAL,2025-10-23 22:08:40
B2BORD4050,EXT100049,CUST1050,2025-11-26 03:24:59,2025-11-27 03:24:59,Email,PLACED,INR,34654.17,0,1433.84,33220.33,CTR_VDR_001,NORMAL,2025-11-26 03:24:59
B2BORD4051,EXT100050,CUST1030,2025-10-19 20:08:56,2025-10-20 20:08:56,Phone,CONFIRMED,INR,41741.68,0,542.27,41199.41,CTR_RJT_001,NORMAL,2025-10-19 20:08:56
B2BORD4052,EXT100051,CUST1031,2025-10-11 06:45:25,2025-10-11 06:45:25,Phone,CONFIRMED,INR,4436.74,0,1810.37,2626.37,CTR_SUR_001,URGENT,2025-10-11 06:45:25
B2BORD4053,EXT100052,CUST1032,2025-09-11 19:15:47,2025-09-11 19:15:47,Sales Rep,PLACED,INR,21838.47,0,1434.72,20403.75,CTR_AHD_001,URGENT,2025-09-11 19:15:47
B2BORD4054,EXT100053,CUST1033,2025-10-20 23:04:06,2025-10-20 23:04:06,Sales Rep,CANCELLED,INR,48939.71,0,315.88,48623.83,CTR_VDR_001,HIGH,2025-10-20 23:04:06
B2BORD4055,EXT100054,CUST1034,2025-10-12 17:35:53,2025-10-14 17:35:53,Phone,DISPATCHED,INR,17416.05,0,1291.8,16124.25,CTR_AHD_001,URGENT,2025-10-12 17:35:53
B2BORD4056,EXT100055,CUST1035,2025-10-09 17:43:05,2025-10-11 17:43:05,Phone,CANCELLED,INR,37456.95,0,1700.67,35756.28,CTR_AHD_001,NORMAL,2025-10-09 17:43:05
B2BORD4057,EXT100056,CUST1036,2025-11-08 09:02:50,2025-11-09 09:02:50,Phone,PLACED,INR,49864.25,0,793.99,49070.26,CTR_VDR_001,NORMAL,2025-11-08 09:02:50
B2BORD4058,EXT100057,CUST1037,2025-10-20 10:29:38,2025-10-22 10:29:38,WhatsApp,PLACED,INR,2444.82,0,1135.92,1308.9,CTR_AHD_001,HIGH,2025-10-20 10:29:38
B2BORD4059,EXT100058,CUST1038,2025-09-19 02:23:36,2025-09-20 02:23:36,Email,CANCELLED,INR,27167.29,0,1778.52,25388.77,CTR_SUR_001,URGENT,2025-09-19 02:23:36
B2BORD4060,EXT100059,CUST1039,2025-09-18 21:55:14,2025-09-19 21:55:14,WhatsApp,CONFIRMED,INR,40823.07,0,661.37,40161.7,CTR_VDR_001,URGENT,2025-09-18 21:55:14
B2BORD4061,EXT100060,CUST1040,2025-11-07 10:20:04,2025-11-08 10:20:04,Phone,PLACED,INR,37357.66,0,1581.54,35776.12,CTR_SUR_001,NORMAL,2025-11-07 10:20:04
B2BORD4062,EXT100061,CUST1041,2025-09-28 11:23:17,2025-09-30 11:23:17,Email,DELIVERED,INR,26733.47,0,173.48,26559.99,CTR_AHD_001,NORMAL,2025-09-28 11:23:17
B2BORD4063,EXT100062,CUST1042,2025-11-26 03:55:10,2025-11-26 03:55:10,Email,DISPATCHED,INR,46919.62,0,13.66,46905.96,CTR_VDR_001,NORMAL,2025-11-26 03:55:10
B2BORD4064,EXT100063,CUST1043,2025-12-01 02:33:34,2025-12-02 02:33:34,WhatsApp,DISPATCHED,INR,16493.4,0,1445.77,15047.630000000001,CTR_AHD_001,HIGH,2025-12-01 02:33:34
B2BORD4065,EXT100064,CUST1044,2025-10-08 17:39:20,2025-10-10 17:39:20,WhatsApp,CONFIRMED,INR,4981.97,0,236.45,4745.52,CTR_RJT_001,NORMAL,2025-10-08 17:39:20
B2BORD4066,EXT100065,CUST1045,2025-11-24 00:14:31,2025-11-25 00:14:31,WhatsApp,PLACED,INR,32658.14,0,1881.27,30776.87,CTR_RJT_001,URGENT,2025-11-24 00:14:31
B2BORD4067,EXT100066,CUST1046,2025-10-23 22:56:24,2025-10-23 22:56:24,Phone,CONFIRMED,INR,24952.73,0,909.96,24042.77,CTR_RJT_001,HIGH,2025-10-23 22:56:24
B2BORD4068,EXT100067,CUST1047,2025-11-29 14:11:28,2025-12-01 14:11:28,Email,CANCELLED,INR,40495.76,0,1651.21,38844.55,CTR_SUR_001,URGENT,2025-11-29 14:11:28
B2BORD4069,EXT100068,CUST1048,2025-11-21 20:03:33,2025-11-23 20:03:33,Sales Rep,CANCELLED,INR,23443.9,0,1407.53,22036.370000000003,CTR_AHD_001,URGENT,2025-11-21 20:03:33
B2BORD4070,EXT100069,CUST1049,2025-10-23 22:08:40,2025-10-23 22:08:40,Sales Rep,CANCELLED,INR,45338.63,0,404.31,44934.32,CTR_SUR_001,NORMAL,2025-10-23 22:08:40
B2BORD4071,EXT100070,CUST1050,2025-11-26 03:24:59,2025-11-27 03:24:59,Email,PLACED,INR,34654.17,0,1433.84,33220.33,CTR_VDR_001,NORMAL,2025-11-26 03:24:59
