adjustment_id,pos_sku,store_id,adjustment_ts,qty_change,reason,adjusted_by,approval_by,inventory_before,inventory_after,created_at
PAD3027,APP009_001,STORE_VDR_001,2025-11-29 20:08:21,-8,Shrinkage,PU1002,PU1002,371,363,2025-12-02 04:44:58
PAD3028,GUR010_001,STORE_RJT_001,2025-11-07 05:37:55,-1,Shrinkage,PU1002,PU1002,144,143,2025-11-08 07:26:31
PAD3029,GUR010_001,STORE_VDR_001,2025-11-26 01:03:48,3,Damage,PU1003,PU1001,370,373,2025-11-11 16:37:23
PAD3030,POT002_001,STORE_VDR_001,2025-11-29 23:00:53,5,Shrinkage,PU1002,PU1001,344,349,2025-11-04 12:48:16
PAD3031,ONI003_001,STORE_VDR_001,2025-11-21 10:28:14,8,Stock Count Correction,PU1002,PU1003,400,408,2025-11-22 17:24:03
PAD3032,ONI003_001,STORE_RJT_001,2025-11-18 03:16:41,-6,Shrinkage,PU1002,PU1002,170,164,2025-11-05 05:28:26
PAD3033,LIM008_001,STORE_RJT_001,2025-11-21 22:57:54,-7,Shrinkage,PU1002,PU1003,427,420,2025-11-27 09:27:43
PAD3034,TOM001_001,STORE_RJT_001,2025-11-28 04:03:07,8,Stock Count Correction,PU1003,PU1002,178,186,2025-11-26 19:12:11
PAD3035,LIM008_001,STORE_SUR_001,2025-11-20 02:53:47,-1,Shrinkage,PU1001,PU1003,71,70,2025-11-24 19:53:18
PAD3036,GUR010_001,STORE_AHD_001,2025-11-23 06:05:37,-2,Damage,PU1002,PU1003,414,412,2025-11-04 06:41:14
PAD3037,POT002_001,STORE_RJT_001,2025-11-11 06:33:05,-8,Shrinkage,PU1001,PU1003,132,124,2025-11-24 23:08:47
PAD3038,GUR010_001,STORE_SUR_001,2025-11-11 22:54:52,3,Stock Count Correction,PU1001,PU1002,250,253,2025-11-08 06:40:38
PAD3039,BTR006_001,STORE_RJT_001,2025-11-23 00:23:41,-7,Shrinkage,PU1002,PU1001,219,212,2025-11-03 08:44:42
PAD3040,POT002_001,STORE_VDR_001,2025-11-13 23:34:51,-3,Stock Count Correction,PU1003,PU1001,109,106,2025-11-19 07:27:42
PAD3041,COW005_001,STORE_AHD_001,2025-11-04 23:32:55,-1,Shrinkage,PU1002,PU1002,260,259,2025-11-09 20:40:16
PAD3042,LIM008_001,STORE_AHD_001,2025-11-17 05:20:54,7,Stock Count Correction,PU1002,PU1002,82,89,2025-11-18 22:00:27
PAD3043,TOM001_001,STORE_AHD_001,2025-11-03 03:45:00,2,Damage,PU1003,PU1001,169,171,2025-11-21 12:30:50
PAD3044,POT002_001,STORE_VDR_001,2025-11-12 01:41:55,-9,Stock Count Correction,PU1002,PU1003,397,388,2025-11-08 13:06:51
PAD3045,BRN007_001,STORE_SUR_001,2025-11-24 21:01:02,-10,Damage,PU1001,PU1001,476,466,2025-11-05 08:24:00
PAD3046,APP009_001,STORE_VDR_001,2025-11-19 08:43:37,0,Shrinkage,PU1001,PU1002,108,108,2025-11-09 21:32:56
PAD3047,POT002_001,STORE_AHD_001,2025-11-15 18:24:34,-8,Stock Count Correction,PU1003,PU1003,32,24,2025-11-06 16:06:31
PAD3048,TOM001_001,STORE_RJT_001,2025-11-23 03:35:46,10,Shrinkage,PU1003,PU1003,94,104,2025-12-01 22:25:13
PAD3049,APP009_001,STORE_SUR_001,2025-11-14 21:10:48,7,Stock Count Correction,PU1003,PU1002,206,213,2025-11-17 15:21:31
