order_line_id,order_id,sku,item_description,qty_units,qty_kg,unit_price,line_total,allocation_id,promised_by,warehouse_allocated_id,batch_id,created_at,remarks
B2BOL5012,B2BORD4012,BTR006,Bitter Gourd (1kg),90,90.0,94.51,8505.9,ALLOC9037,2025-11-30 07:56:46,CTR_SUR_001,CON3048,2025-10-08 18:56:59,Standard pack
B2BOL5013,B2BORD4013,COW005,Cucumber - Slicing (1kg),151,151.0,188.26,28427.26,ALLOC9038,2025-11-27 11:20:57,CTR_VDR_001,CON3019,2025-11-02 04:33:42,Standard pack
B2BOL5014,B2BORD4014,BTR006,Bitter Gourd (1kg),68,68.0,88.37,6009.16,ALLOC9016,2025-11-28 14:45:24,CTR_VDR_001,CON3036,2025-11-09 13:40:44,Prewashed
B2BOL5015,B2BORD4015,BTR006,Bitter Gourd (1kg),75,75.0,157.4,11805.0,ALLOC9032,2025-11-29 20:58:09,CTR_VDR_001,CON3030,2025-11-06 08:59:35,Standard pack
B2BOL5016,B2BORD4015,BTR006,Bitter Gourd (1kg),53,53.0,45.19,2395.07,ALLOC9035,2025-12-02 07:57:30,CTR_VDR_001,CON3012,2025-09-04 22:05:44,Prewashed
B2BOL5017,B2BORD4015,TOM001,Tomato - Local (1kg),144,144.0,26.09,3756.96,ALLOC9005,2025-11-29 02:17:28,CTR_AHD_001,CON3049,2025-10-19 01:21:00,Standard pack
B2BOL5016,B2BORD4016,ONI003,Onion - Red Nashik (1kg),171,171.0,61.66,10543.86,ALLOC9046,2025-11-27 10:12:51,CTR_SUR_001,CON3001,2025-11-02 11:16:11,Standard pack
B2BOL5017,B2BORD4016,APP009,Apple - Kinnaur (1kg),126,126.0,87.18,10984.68,ALLOC9040,2025-11-28 08:00:37,CTR_VDR_001,CON3043,2025-10-27 19:00:27,Bulk crate
B2BOL5017,B2BORD4017,TOM001,Tomato - Local (1kg),146,146.0,119.3,17417.8,ALLOC9001,2025-11-27 14:34:21,CTR_AHD_001,CON3034,2025-09-26 04:38:57,Prewashed
B2BOL5018,B2BORD4018,APP009,Apple - Kinnaur (1kg),83,83.0,23.09,1916.47,ALLOC9045,2025-11-28 17:43:41,CTR_VDR_001,CON3012,2025-10-17 08:01:25,Standard pack
B2BOL5019,B2BORD4018,POT002,Potato - Jyoti (1kg),144,144.0,46.8,6739.2,ALLOC9013,2025-12-02 06:08:23,CTR_RJT_001,CON3023,2025-09-11 20:05:41,Bulk crate
B2BOL5019,B2BORD4019,POT002,Potato - Jyoti (1kg),105,105.0,192.67,20230.35,ALLOC9030,2025-11-28 23:57:14,CTR_SUR_001,CON3045,2025-09-17 04:17:37,Standard pack
B2BOL5020,B2BORD4019,COW005,Cucumber - Slicing (1kg),185,185.0,169.05,31274.25,ALLOC9006,2025-12-01 12:44:06,CTR_AHD_001,CON3006,2025-09-14 05:06:12,Bulk crate
B2BOL5020,B2BORD4020,BRN007,Brinjal - Long (1kg),151,151.0,105.68,15957.68,ALLOC9041,2025-11-28 16:49:33,CTR_AHD_001,CON3045,2025-11-20 11:56:44,Standard pack
B2BOL5021,B2BORD4020,POT002,Potato - Jyoti (1kg),137,137.0,172.16,23585.92,ALLOC9042,2025-11-30 06:09:35,CTR_RJT_001,CON3037,2025-10-01 10:03:45,Standard pack
B2BOL5021,B2BORD4021,TOM001,Tomato - Local (1kg),68,68.0,58.06,3948.08,ALLOC9045,2025-11-30 02:51:15,CTR_VDR_001,CON3018,2025-11-22 09:28:52,Standard pack
B2BOL5022,B2BORD4021,POT002,Potato - Jyoti (1kg),185,185.0,186.61,34522.85,ALLOC9035,2025-11-28 11:05:29,CTR_AHD_001,CON3012,2025-10-21 19:43:04,Bulk crate
B2BOL5023,B2BORD4021,TOM001,Tomato - Local (1kg),63,63.0,125.67,7917.21,ALLOC9049,2025-11-30 20:12:32,CTR_VDR_001,CON3005,2025-09-25 11:53:19,Bulk crate
B2BOL5022,B2BORD4022,GUR010,Ginger - Fresh (250g),71,71.0,122.01,8662.71,ALLOC9025,2025-11-30 21:40:18,CTR_RJT_001,CON3025,2025-09-20 10:08:53,Prewashed
B2BOL5023,B2BORD4023,POT002,Potato - Jyoti (1kg),138,138.0,154.18,21276.84,ALLOC9023,2025-12-01 05:15:21,CTR_AHD_001,CON3007,2025-09-17 08:38:46,Bulk crate
B2BOL5024,B2BORD4024,POT002,Potato - Jyoti (1kg),97,97.0,128.93,12506.21,ALLOC9040,2025-12-01 13:10:31,CTR_VDR_001,CON3050,2025-10-12 23:15:00,Bulk crate
B2BOL5025,B2BORD4025,COW005,Cucumber - Slicing (1kg),125,125.0,108.31,13538.75,ALLOC9023,2025-12-01 18:47:24,CTR_VDR_001,CON3028,2025-11-10 16:22:58,Standard pack
B2BOL5026,B2BORD4026,GUR010,Ginger - Fresh (250g),179,179.0,88.41,15825.39,ALLOC9050,2025-11-30 10:40:44,CTR_RJT_001,CON3016,2025-11-02 18:58:55,Prewashed
B2BOL5027,B2BORD4026,POT002,Potato - Jyoti (1kg),31,31.0,68.23,2115.13,ALLOC9025,2025-11-29 01:54:49,CTR_SUR_001,CON3048,2025-11-27 06:01:44,Bulk crate
B2BOL5028,B2BORD4026,BTR006,Bitter Gourd (1kg),102,102.0,39.18,3996.36,ALLOC9001,2025-11-30 20:28:36,CTR_RJT_001,CON3029,2025-10-05 05:02:33,Bulk crate
B2BOL5027,B2BORD4027,POT002,Potato - Jyoti (1kg),43,43.0,35.71,1535.53,ALLOC9028,2025-11-28 23:14:59,CTR_VDR_001,CON3036,2025-09-18 17:05:15,Prewashed
B2BOL5028,B2BORD4027,APP009,Apple - Kinnaur (1kg),114,114.0,38.59,4399.26,ALLOC9006,2025-11-30 10:00:55,CTR_RJT_001,CON3036,2025-11-22 07:38:17,Standard pack
B2BOL5028,B2BORD4028,GUR010,Ginger - Fresh (250g),93,93.0,175.47,16318.71,ALLOC9001,2025-11-29 22:03:00,CTR_RJT_001,CON3027,2025-11-14 09:01:49,Bulk crate
B2BOL5029,B2BORD4028,POT002,Potato - Jyoti (1kg),195,195.0,182.2,35529.0,ALLOC9016,2025-11-28 03:43:29,CTR_SUR_001,CON3044,2025-11-01 16:31:00,Bulk crate
B2BOL5030,B2BORD4028,ONI003,Onion - Red Nashik (1kg),45,45.0,68.41,3078.45,ALLOC9018,2025-11-28 21:15:41,CTR_VDR_001,CON3010,2025-11-13 03:55:14,Standard pack
B2BOL5029,B2BORD4029,BRN007,Brinjal - Long (1kg),80,80.0,95.8,7664.0,ALLOC9031,2025-12-01 19:32:04,CTR_AHD_001,CON3024,2025-11-16 06:17:46,Bulk crate
B2BOL5030,B2BORD4030,LIM008,Lemon - Khatta (500g),162,81.0,131.0,21222.0,ALLOC9030,2025-11-28 21:17:10,CTR_AHD_001,CON3009,2025-10-11 18:18:37,Bulk crate
B2BOL5031,B2BORD4031,BRN007,Brinjal - Long (1kg),95,95.0,171.49,16291.55,ALLOC9025,2025-12-01 19:50:03,CTR_RJT_001,CON3029,2025-10-29 03:08:55,Bulk crate
B2BOL5032,B2BORD4032,GUR010,Ginger - Fresh (250g),44,44.0,74.08,3259.52,ALLOC9039,2025-11-30 11:45:54,CTR_SUR_001,CON3031,2025-09-24 04:39:24,Bulk crate
B2BOL5033,B2BORD4032,ONI003,Onion - Red Nashik (1kg),111,111.0,194.37,21575.07,ALLOC9019,2025-11-28 05:57:35,CTR_VDR_001,CON3037,2025-11-15 09:40:36,Standard pack
B2BOL5033,B2BORD4033,BRN007,Brinjal - Long (1kg),81,81.0,166.97,13524.57,ALLOC9026,2025-11-29 06:26:10,CTR_RJT_001,CON3008,2025-09-06 06:46:13,Prewashed
B2BOL5034,B2BORD4033,CAR004,Carrot - Orange (1kg),161,161.0,199.51,32121.11,ALLOC9012,2025-12-01 12:16:24,CTR_AHD_001,CON3047,2025-10-19 03:39:23,Bulk crate
B2BOL5034,B2BORD4034,CAR004,Carrot - Orange (1kg),122,122.0,163.58,19956.76,ALLOC9045,2025-11-28 10:42:02,CTR_AHD_001,CON3027,2025-11-19 21:20:02,Prewashed
B2BOL5035,B2BORD4034,LIM008,Lemon - Khatta (500g),45,22.5,134.0,6030.0,ALLOC9016,2025-11-30 12:23:29,CTR_RJT_001,CON3043,2025-09-11 16:32:43,Standard pack
B2BOL5036,B2BORD4034,BRN007,Brinjal - Long (1kg),106,106.0,33.31,3530.86,ALLOC9039,2025-12-02 03:15:51,CTR_VDR_001,CON3038,2025-11-02 07:14:04,Bulk crate
B2BOL5035,B2BORD4035,APP009,Apple - Kinnaur (1kg),187,187.0,95.29,17819.23,ALLOC9003,2025-11-29 11:42:55,CTR_RJT_001,CON3045,2025-11-01 18:47:13,Prewashed
B2BOL5036,B2BORD4035,GUR010,Ginger - Fresh (250g),173,173.0,184.59,31934.07,ALLOC9007,2025-11-30 10:32:20,CTR_SUR_001,CON3043,2025-09-13 13:37:15,Prewashed
B2BOL5037,B2BORD4035,BTR006,Bitter Gourd (1kg),52,52.0,136.46,7095.92,ALLOC9003,2025-12-01 05:13:18,CTR_VDR_001,CON3049,2025-11-30 17:47:00,Bulk crate
B2BOL5036,B2BORD4036,POT002,Potato - Jyoti (1kg),12,12.0,37.75,453.0,ALLOC9015,2025-12-01 10:31:48,CTR_SUR_001,CON3029,2025-10-13 19:46:29,Bulk crate
B2BOL5037,B2BORD4036,BRN007,Brinjal - Long (1kg),128,128.0,159.02,20354.56,ALLOC9038,2025-11-27 20:20:50,CTR_SUR_001,CON3023,2025-11-06 22:27:40,Standard pack
B2BOL5037,B2BORD4037,POT002,Potato - Jyoti (1kg),85,85.0,94.88,8064.8,ALLOC9006,2025-11-30 10:22:11,CTR_AHD_001,CON3047,2025-09-05 20:41:43,Standard pack
B2BOL5038,B2BORD4037,BTR006,Bitter Gourd (1kg),89,89.0,81.75,7275.75,ALLOC9014,2025-11-30 23:14:09,CTR_VDR_001,CON3023,2025-11-20 00:10:50,Bulk crate
B2BOL5038,B2BORD4038,LIM008,Lemon - Khatta (500g),194,97.0,145.42,28211.48,ALLOC9021,2025-11-30 11:05:46,CTR_AHD_001,CON3020,2025-11-21 21:27:38,Standard pack
B2BOL5039,B2BORD4039,POT002,Potato - Jyoti (1kg),15,15.0,172.85,2592.75,ALLOC9042,2025-12-01 22:46:34,CTR_AHD_001,CON3044,2025-09-06 09:10:39,Standard pack
B2BOL5040,B2BORD4039,CAR004,Carrot - Orange (1kg),142,142.0,51.4,7298.8,ALLOC9011,2025-12-01 00:43:56,CTR_RJT_001,CON3036,2025-10-25 06:17:45,Bulk crate
B2BOL5041,B2BORD4039,LIM008,Lemon - Khatta (500g),69,34.5,163.6,11288.4,ALLOC9041,2025-11-30 19:07:35,CTR_SUR_001,CON3012,2025-11-12 16:01:43,Prewashed
B2BOL5040,B2BORD4040,BRN007,Brinjal - Long (1kg),111,111.0,25.25,2802.75,ALLOC9040,2025-11-27 18:28:03,CTR_SUR_001,CON3029,2025-09-28 21:41:12,Prewashed
B2BOL5041,B2BORD4040,BRN007,Brinjal - Long (1kg),109,109.0,20.8,2267.2,ALLOC9014,2025-11-27 12:12:26,CTR_SUR_001,CON3018,2025-11-03 01:40:04,Prewashed
B2BOL5042,B2BORD4040,POT002,Potato - Jyoti (1kg),157,157.0,38.32,6016.24,ALLOC9035,2025-11-28 15:39:05,CTR_SUR_001,CON3024,2025-09-25 19:56:22,Bulk crate
B2BOL5041,B2BORD4041,LIM008,Lemon - Khatta (500g),39,19.5,67.22,2621.58,ALLOC9032,2025-11-29 18:45:57,CTR_RJT_001,CON3039,2025-11-12 14:30:13,Bulk crate
B2BOL5042,B2BORD4042,BRN007,Brinjal - Long (1kg),160,160.0,40.56,6489.6,ALLOC9023,2025-11-28 11:09:25,CTR_VDR_001,CON3040,2025-10-15 21:02:32,Standard pack
B2BOL5043,B2BORD4042,COW005,Cucumber - Slicing (1kg),167,167.0,126.23,21080.41,ALLOC9044,2025-11-28 06:43:45,CTR_SUR_001,CON3021,2025-09-29 11:28:08,Standard pack
B2BOL5044,B2BORD4042,CAR004,Carrot - Orange (1kg),88,88.0,41.05,3612.4,ALLOC9024,2025-12-02 02:38:32,CTR_SUR_001,CON3033,2025-10-02 17:23:53,Bulk crate
B2BOL5043,B2BORD4043,GUR010,Ginger - Fresh (250g),45,45.0,123.47,5556.15,ALLOC9028,2025-11-29 09:20:22,CTR_SUR_001,CON3032,2025-11-22 21:14:11,Prewashed
B2BOL5044,B2BORD4043,APP009,Apple - Kinnaur (1kg),187,187.0,185.45,34679.15,ALLOC9012,2025-11-28 03:52:46,CTR_SUR_001,CON3032,2025-09-21 10:02:32,Bulk crate
B2BOL5044,B2BORD4044,ONI003,Onion - Red Nashik (1kg),90,90.0,171.56,15440.4,ALLOC9040,2025-11-30 07:51:14,CTR_AHD_001,CON3023,2025-10-08 06:49:35,Standard pack
B2BOL5045,B2BORD4045,ONI003,Onion - Red Nashik (1kg),59,59.0,166.74,9837.66,ALLOC9036,2025-12-01 01:05:44,CTR_VDR_001,CON3027,2025-09-28 12:52:28,Prewashed
B2BOL5046,B2BORD4045,LIM008,Lemon - Khatta (500g),116,58.0,147.83,17148.28,ALLOC9029,2025-11-28 05:11:57,CTR_VDR_001,CON3011,2025-10-11 05:28:00,Standard pack
B2BOL5046,B2BORD4046,TOM001,Tomato - Local (1kg),66,66.0,72.58,4790.28,ALLOC9018,2025-11-30 08:31:37,CTR_SUR_001,CON3035,2025-09-25 23:18:22,Bulk crate
B2BOL5047,B2BORD4046,ONI003,Onion - Red Nashik (1kg),127,127.0,121.82,15471.14,ALLOC9050,2025-12-02 05:29:22,CTR_VDR_001,CON3036,2025-09-16 09:16:26,Prewashed
B2BOL5048,B2BORD4046,POT002,Potato - Jyoti (1kg),156,156.0,40.56,6327.36,ALLOC9050,2025-12-01 13:47:48,CTR_RJT_001,CON3035,2025-11-10 17:12:26,Standard pack
B2BOL5047,B2BORD4047,LIM008,Lemon - Khatta (500g),149,74.5,59.34,8841.66,ALLOC9028,2025-12-01 16:54:32,CTR_AHD_001,CON3048,2025-11-10 22:37:19,Prewashed
B2BOL5048,B2BORD4047,CAR004,Carrot - Orange (1kg),86,86.0,177.47,15262.42,ALLOC9003,2025-11-30 07:55:20,CTR_VDR_001,CON3017,2025-09-20 19:31:37,Bulk crate
B2BOL5049,B2BORD4047,POT002,Potato - Jyoti (1kg),122,122.0,175.75,21441.5,ALLOC9008,2025-11-28 12:22:35,CTR_SUR_001,CON3014,2025-11-29 08:23:53,Prewashed
B2BOL5048,B2BORD4048,BTR006,Bitter Gourd (1kg),191,191.0,129.85,24801.35,ALLOC9028,2025-11-28 06:53:28,CTR_SUR_001,CON3040,2025-09-13 06:50:40,Standard pack
B2BOL5049,B2BORD4048,CAR004,Carrot - Orange (1kg),62,62.0,164.98,10228.76,ALLOC9037,2025-12-02 05:57:22,CTR_RJT_001,CON3035,2025-10-04 00:15:16,Bulk crate
B2BOL5050,B2BORD4048,GUR010,Ginger - Fresh (250g),147,147.0,50.31,7395.57,ALLOC9046,2025-11-29 12:06:22,CTR_RJT_001,CON3019,2025-09-26 12:13:22,Prewashed
B2BOL5049,B2BORD4049,APP009,Apple - Kinnaur (1kg),183,183.0,166.73,30511.59,ALLOC9009,2025-11-28 06:38:38,CTR_VDR_001,CON3004,2025-10-04 11:14:04,Bulk crate
B2BOL5050,B2BORD4049,ONI003,Onion - Red Nashik (1kg),189,189.0,175.89,33243.21,ALLOC9016,2025-11-27 16:41:20,CTR_SUR_001,CON3046,2025-11-17 20:15:23,Bulk crate
B2BOL5050,B2BORD4050,BRN007,Brinjal - Long (1kg),135,135.0,45.59,6154.65,ALLOC9041,2025-11-27 23:24:36,CTR_RJT_001,CON3041,2025-10-11 11:37:32,Bulk crate
