pos_line_id,pos_txn_id,sku,qty,unit_price,line_total,discount_amt,tax_amt,variant_info,expiry_date,batch_id,created_at
2053,POS100020,TOM001,10,32,320,0,16.0,,,BATCH2983,2025-11-10 02:56:20
2054,POS100020,BTR006,8,70,560,0,28.0,,,BATCH8213,2025-11-10 02:56:20
2055,POS100021,TOM001,9,32,288,0,14.4,,,BATCH3108,2025-11-24 21:08:35
2056,POS100021,ONI003,9,28,252,0,12.6,,,BATCH4226,2025-11-24 21:08:35
2057,POS100021,COW005,4,24,96,0,4.8,,,BATCH5181,2025-11-24 21:08:35
2058,POS100022,ONI003,1,28,28,0,1.4,,,BATCH1586,2025-11-08 10:25:41
2059,POS100023,GUR010,9,60,540,0,27.0,,,BATCH3363,2025-11-06 09:43:53
2060,POS100023,APP009,2,180,360,0,18.0,,,BATCH6839,2025-11-06 09:43:53
2061,POS100024,BRN007,6,30,180,0,9.0,,,BATCH4471,2025-11-12 19:15:21
2062,POS100024,COW005,4,24,96,0,4.8,,,BATCH9872,2025-11-12 19:15:21
2063,POS100025,GUR010,3,60,180,0,9.0,,,BATCH3162,2025-11-06 07:37:07
2064,POS100025,LIM008,1,20,20,0,1.0,,,BATCH8280,2025-11-06 07:37:07
2065,POS100025,ONI003,5,28,140,0,7.0,,,BATCH3233,2025-11-06 07:37:07
2066,POS100025,ONI003,9,28,252,0,12.6,,,BATCH5142,2025-11-06 07:37:07
2067,POS100026,GUR010,4,60,240,0,12.0,,,BATCH7172,2025-11-26 16:40:20
2068,POS100026,POT002,2,22,44,0,2.2,,,BATCH9835,2025-11-26 16:40:20
2069,POS100026,ONI003,8,28,224,0,11.2,,,BATCH9221,2025-11-26 16:40:20
2070,POS100026,ONI003,2,28,56,0,2.8,,,BATCH2786,2025-11-26 16:40:20
2071,POS100027,LIM008,5,20,100,0,5.0,,,BATCH5679,2025-11-04 20:02:27
2072,POS100028,LIM008,3,20,60,0,3.0,,,BATCH5562,2025-11-05 07:18:35
2073,POS100029,CAR004,6,48,288,0,14.4,,,BATCH7398,2025-11-09 08:19:00
2074,POS100029,COW005,1,24,24,0,1.2,,,BATCH5778,2025-11-09 08:19:00
2075,POS100029,BTR006,7,70,490,0,24.5,,,BATCH8387,2025-11-09 08:19:00
2076,POS100030,BRN007,3,30,90,0,4.5,,,BATCH9310,2025-11-06 09:24:26
2077,POS100031,TOM001,2,32,64,0,3.2,,,BATCH3113,2025-11-15 21:28:56
2078,POS100031,TOM001,1,32,32,0,1.6,,,BATCH5283,2025-11-15 21:28:56
2079,POS100032,BRN007,2,30,60,0,3.0,,,BATCH1410,2025-12-01 13:29:57
2080,POS100032,TOM001,7,32,224,0,11.2,,,BATCH2634,2025-12-01 13:29:57
2081,POS100033,BRN007,8,30,240,0,12.0,,,BATCH3354,2025-11-27 14:03:22
2082,POS100033,GUR010,7,60,420,0,21.0,,,BATCH5071,2025-11-27 14:03:22
2083,POS100033,LIM008,3,20,60,0,3.0,,,BATCH8087,2025-11-27 14:03:22
2084,POS100033,BRN007,4,30,120,0,6.0,,,BATCH7392,2025-11-27 14:03:22
2085,POS100034,BTR006,5,70,350,0,17.5,,,BATCH2243,2025-11-04 21:33:35
2086,POS100035,GUR010,8,60,480,0,24.0,,,BATCH3986,2025-11-03 22:42:00
2087,POS100035,CAR004,5,48,240,0,12.0,,,BATCH8005,2025-11-03 22:42:00
2088,POS100035,TOM001,3,32,96,0,4.8,,,BATCH2993,2025-11-03 22:42:00
2089,POS100036,TOM001,4,32,128,0,6.4,,,BATCH8321,2025-11-28 07:13:20
2090,POS100036,LIM008,9,20,180,0,9.0,,,BATCH6426,2025-11-28 07:13:20
2091,POS100036,BTR006,7,70,490,0,24.5,,,BATCH7884,2025-11-28 07:13:20
2092,POS100036,COW005,7,24,168,0,8.4,,,BATCH1883,2025-11-28 07:13:20
2093,POS100037,TOM001,8,32,256,0,12.8,,,BATCH9933,2025-11-14 17:30:46
2094,POS100037,POT002,9,22,198,0,9.9,,,BATCH8323,2025-11-14 17:30:46
2095,POS100037,LIM008,3,20,60,0,3.0,,,BATCH1685,2025-11-14 17:30:46
2096,POS100038,LIM008,6,20,120,0,6.0,,,BATCH6627,2025-11-23 21:30:46
2097,POS100038,LIM008,9,20,180,0,9.0,,,BATCH9959,2025-11-23 21:30:46
2098,POS100038,APP009,5,180,900,0,45.0,,,BATCH6294,2025-11-23 21:30:46
2099,POS100039,BRN007,5,30,150,0,7.5,,,BATCH9910,2025-11-17 16:37:00
2100,POS100040,ONI003,6,28,168,0,8.4,,,BATCH2222,2025-11-18 13:22:50
2101,POS100040,POT002,8,22,176,0,8.8,,,BATCH8105,2025-11-18 13:22:50
2102,POS100040,APP009,8,180,1440,0,72.0,,,BATCH4342,2025-11-18 13:22:50
2103,POS100041,LIM008,9,20,180,0,9.0,,,BATCH2592,2025-11-19 20:53:17
2104,POS100041,TOM001,6,32,192,0,9.6,,,BATCH8172,2025-11-19 20:53:17
2105,POS100041,TOM001,4,32,128,0,6.4,,,BATCH1617,2025-11-19 20:53:17
2106,POS100041,ONI003,6,28,168,0,8.4,,,BATCH1003,2025-11-19 20:53:17
2107,POS100042,CAR004,6,48,288,0,14.4,,,BATCH6203,2025-11-24 01:56:49
2108,POS100042,BRN007,7,30,210,0,10.5,,,BATCH5011,2025-11-24 01:56:49
2109,POS100043,APP009,3,180,540,0,27.0,,,BATCH1671,2025-11-25 23:39:52
2110,POS100043,APP009,3,180,540,0,27.0,,,BATCH3225,2025-11-25 23:39:52
2111,POS100044,ONI003,3,28,84,0,4.2,,,BATCH3008,2025-11-14 08:52:20
2112,POS100045,CAR004,7,48,336,0,16.8,,,BATCH2408,2025-11-16 11:34:10
2113,POS100045,LIM008,4,20,80,0,4.0,,,BATCH8283,2025-11-16 11:34:10
2114,POS100045,CAR004,2,48,96,0,4.8,,,BATCH3615,2025-11-16 11:34:10
2115,POS100046,ONI003,6,28,168,0,8.4,,,BATCH4643,2025-11-12 21:54:57
2116,POS100046,GUR010,10,60,600,0,30.0,,,BATCH8832,2025-11-12 21:54:57
2117,POS100046,TOM001,5,32,160,0,8.0,,,BATCH5556,2025-11-12 21:54:57
2118,POS100047,BTR006,4,70,280,0,14.0,,,BATCH1363,2025-11-09 15:57:07
2119,POS100047,POT002,10,22,220,0,11.0,,,BATCH3820,2025-11-09 15:57:07
2120,POS100047,CAR004,6,48,288,0,14.4,,,BATCH5790,2025-11-09 15:57:07
2121,POS100048,BRN007,4,30,120,0,6.0,,,BATCH7975,2025-11-29 14:28:41
2122,POS100049,ONI003,3,28,84,0,4.2,,,BATCH7888,2025-11-11 03:49:41
2123,POS100049,BTR006,4,70,280,0,14.0,,,BATCH8679,2025-11-11 03:49:41
2124,POS100049,BRN007,3,30,90,0,4.5,,,BATCH7865,2025-11-11 03:49:41
