ticket_id,customer_id,subject,description,status,priority,created_at,updated_at,order_id,assigned_to
TICK001042,CUST1079,Delivery Delay,Refund not processed.,IN_PROGRESS,HIGH,2025-11-23 07:21:20,2025-11-20 04:04:49,EORD2022,ops_manager
TICK001043,CUST1001,Refund Query,Delivery was delayed.,OPEN,LOW,2025-11-28 04:03:52,2025-11-17 08:08:15,EORD2044,support_agent_2
TICK001044,CUST1023,Quality Complaint,Quality not satisfactory.,OPEN,HIGH,2025-08-13 19:47:34,2025-11-19 04:17:52,EORD2043,support_agent_2
TICK001045,CUST1066,Refund Query,Delivery was delayed.,OPEN,HIGH,2025-08-30 04:34:06,2025-11-07 12:34:30,EORD2027,ops_manager
TICK001046,CUST1003,Delivery Delay,Refund not processed.,IN_PROGRESS,HIGH,2025-11-22 06:09:45,2025-11-27 23:10:40,EORD2019,support_agent_1
TICK001047,CUST1059,Refund Query,Item received damaged.,OPEN,LOW,2025-11-23 20:09:54,2025-12-02 09:20:38,EORD2007,support_agent_1
TICK001048,CUST1020,Order Issue,Item received damaged.,CLOSED,HIGH,2025-08-08 00:00:35,2025-11-11 12:09:22,EORD2044,support_agent_1
TICK001049,CUST1079,Order Issue,Refund not processed.,CLOSED,MEDIUM,2025-08-04 14:03:22,2025-11-26 13:00:19,EORD2092,support_agent_2
TICK001050,CUST1017,Delivery Delay,Refund not processed.,RESOLVED,MEDIUM,2025-11-02 16:42:27,2025-11-26 15:00:46,EORD2017,support_agent_2
TICK001051,CUST1081,Refund Query,Refund not processed.,RESOLVED,MEDIUM,2025-09-11 01:59:12,2025-11-04 21:25:06,EORD2002,support_agent_1
TICK001052,CUST1065,Refund Query,Refund not processed.,IN_PROGRESS,LOW,2025-11-15 22:32:08,2025-11-26 19:54:03,EORD2019,ops_manager
TICK001053,CUST1051,Refund Query,Delivery was delayed.,OPEN,LOW,2025-08-21 23:15:42,2025-11-18 10:03:18,EORD2082,ops_manager
TICK001054,CUST1056,Delivery Delay,Refund not processed.,CLOSED,LOW,2025-09-18 00:59:26,2025-11-03 09:11:41,EORD2018,ops_manager
TICK001055,CUST1069,Delivery Delay,Item received damaged.,RESOLVED,LOW,2025-09-05 00:34:42,2025-11-30 13:32:53,EORD2089,ops_manager
TICK001056,CUST1002,Order Issue,Item received damaged.,RESOLVED,MEDIUM,2025-09-16 05:05:26,2025-11-12 10:49:35,EORD2001,support_agent_1
TICK001057,CUST1082,Quality Complaint,Refund not processed.,CLOSED,HIGH,2025-09-12 19:12:27,2025-11-21 05:14:13,EORD2092,support_agent_2
TICK001058,CUST1024,Delivery Delay,Delivery was delayed.,RESOLVED,LOW,2025-11-02 16:39:49,2025-11-24 04:48:55,EORD2043,support_agent_2
TICK001059,CUST1094,Delivery Delay,Quality not satisfactory.,OPEN,LOW,2025-08-16 04:22:08,2025-11-19 04:37:55,EORD2023,ops_manager
TICK001060,CUST1012,Refund Query,Item received damaged.,RESOLVED,LOW,2025-08-31 19:25:56,2025-11-29 19:26:01,EORD2063,ops_manager
TICK001061,CUST1061,Delivery Delay,Delivery was delayed.,IN_PROGRESS,HIGH,2025-11-08 04:18:38,2025-11-30 11:38:22,EORD2079,support_agent_1
TICK001062,CUST1082,Order Issue,Quality not satisfactory.,RESOLVED,HIGH,2025-08-30 23:01:30,2025-11-19 13:40:06,EORD2064,ops_manager
TICK001063,CUST1095,Refund Query,Delivery was delayed.,RESOLVED,LOW,2025-09-18 20:45:22,2025-11-28 15:55:14,EORD2096,ops_manager
TICK001064,CUST1039,Quality Complaint,Delivery was delayed.,OPEN,MEDIUM,2025-10-03 03:19:54,2025-11-07 07:43:37,EORD2093,ops_manager
TICK001065,CUST1077,Quality Complaint,Delivery was delayed.,OPEN,MEDIUM,2025-09-01 09:58:12,2025-11-24 04:52:59,EORD2032,support_agent_1
TICK001066,CUST1007,Order Issue,Item received damaged.,IN_PROGRESS,MEDIUM,2025-11-26 13:54:01,2025-11-07 11:01:29,EORD2024,support_agent_1
TICK001067,CUST1046,Delivery Delay,Refund not processed.,RESOLVED,LOW,2025-09-16 23:28:44,2025-11-09 09:01:50,EORD2003,support_agent_1
TICK001068,CUST1059,Refund Query,Quality not satisfactory.,CLOSED,LOW,2025-10-15 23:45:57,2025-11-13 02:38:06,EORD2029,ops_manager
TICK001069,CUST1007,Quality Complaint,Delivery was delayed.,RESOLVED,MEDIUM,2025-09-21 16:23:24,2025-11-09 04:54:12,EORD2079,support_agent_2
TICK001070,CUST1089,Delivery Delay,Quality not satisfactory.,CLOSED,HIGH,2025-10-12 19:55:31,2025-11-27 15:49:26,EORD2078,support_agent_1
TICK001071,CUST1019,Order Issue,Delivery was delayed.,RESOLVED,LOW,2025-11-21 06:30:08,2025-11-27 03:14:43,EORD2067,ops_manager
TICK001072,CUST1072,Delivery Delay,Quality not satisfactory.,RESOLVED,HIGH,2025-09-23 21:49:17,2025-11-03 06:09:06,EORD2062,ops_manager
TICK001073,CUST1022,Order Issue,Refund not processed.,CLOSED,LOW,2025-10-02 09:51:19,2025-11-06 05:55:19,EORD2052,support_agent_1
TICK001074,CUST1096,Delivery Delay,Quality not satisfactory.,OPEN,HIGH,2025-10-25 10:36:12,2025-11-10 19:14:04,EORD2093,support_agent_1
TICK001075,CUST1050,Refund Query,Quality not satisfactory.,IN_PROGRESS,LOW,2025-11-06 19:51:50,2025-11-15 18:36:55,EORD2099,ops_manager
TICK001076,CUST1074,Delivery Delay,Refund not processed.,OPEN,LOW,2025-09-07 20:19:28,2025-11-09 01:40:36,EORD2064,support_agent_1
TICK001077,CUST1072,Quality Complaint,Quality not satisfactory.,RESOLVED,LOW,2025-08-23 06:49:28,2025-11-08 15:50:19,EORD2055,support_agent_2
TICK001078,CUST1001,Quality Complaint,Delivery was delayed.,RESOLVED,LOW,2025-08-26 04:14:07,2025-11-06 16:47:48,EORD2019,support_agent_2
TICK001079,CUST1047,Delivery Delay,Quality not satisfactory.,IN_PROGRESS,LOW,2025-10-06 17:25:21,2025-11-17 00:41:31,EORD2035,ops_manager
TICK001080,CUST1073,Delivery Delay,Item received damaged.,OPEN,HIGH,2025-09-26 03:27:11,2025-11-17 11:07:34,EORD2064,support_agent_2
TICK001081,CUST1024,Order Issue,Delivery was delayed.,IN_PROGRESS,LOW,2025-11-12 06:35:14,2025-11-19 10:17:42,EORD2073,support_agent_2
TICK001082,CUST1083,Order Issue,Item received damaged.,CLOSED,LOW,2025-08-07 09:35:10,2025-11-09 11:40:45,EORD2057,support_agent_2
TICK001083,CUST1007,Refund Query,Refund not processed.,RESOLVED,HIGH,2025-10-01 09:46:41,2025-11-22 04:50:12,EORD2040,support_agent_2
TICK001084,CUST1015,Refund Query,Refund not processed.,CLOSED,LOW,2025-08-18 14:58:19,2025-11-03 07:13:21,EORD2039,support_agent_2
TICK001085,CUST1084,Delivery Delay,Delivery was delayed.,OPEN,LOW,2025-08-18 02:41:00,2025-11-21 06:58:31,EORD2068,ops_manager
TICK001086,CUST1047,Delivery Delay,Refund not processed.,IN_PROGRESS,LOW,2025-11-16 02:45:40,2025-11-06 22:58:09,EORD2021,support_agent_1
TICK001087,CUST1077,Delivery Delay,Refund not processed.,RESOLVED,MEDIUM,2025-08-05 02:22:00,2025-11-26 10:20:22,EORD2001,ops_manager
TICK001088,CUST1009,Quality Complaint,Item received damaged.,CLOSED,LOW,2025-08-24 06:36:30,2025-11-14 09:27:00,EORD2067,support_agent_2
TICK001089,CUST1042,Refund Query,Item received damaged.,RESOLVED,LOW,2025-11-06 00:18:34,2025-11-25 22:30:33,EORD2094,support_agent_2
TICK001090,CUST1027,Order Issue,Refund not processed.,RESOLVED,HIGH,2025-11-25 03:32:06,2025-11-26 04:28:35,EORD2027,support_agent_1
TICK001091,CUST1005,Refund Query,Refund not processed.,CLOSED,LOW,2025-09-18 08:39:24,2025-11-03 03:07:50,EORD2071,support_agent_2
TICK001092,CUST1016,Quality Complaint,Item received damaged.,OPEN,HIGH,2025-10-08 10:26:54,2025-11-07 00:58:41,EORD2030,support_agent_2
TICK001093,CUST1052,Refund Query,Item received damaged.,OPEN,LOW,2025-10-02 08:26:54,2025-11-21 12:40:01,EORD2091,ops_manager
TICK001094,CUST1081,Delivery Delay,Delivery was delayed.,IN_PROGRESS,HIGH,2025-08-06 10:24:49,2025-11-24 02:31:49,EORD2068,ops_manager
TICK001095,CUST1045,Refund Query,Item received damaged.,CLOSED,HIGH,2025-09-10 08:45:47,2025-11-26 08:46:36,EORD2019,ops_manager
TICK001096,CUST1089,Order Issue,Item received damaged.,CLOSED,LOW,2025-09-06 19:11:32,2025-11-05 04:20:12,EORD2003,ops_manager
TICK001097,CUST1088,Quality Complaint,Item received damaged.,RESOLVED,LOW,2025-10-03 03:41:13,2025-11-04 08:11:16,EORD2039,support_agent_2
TICK001098,CUST1057,Delivery Delay,Refund not processed.,IN_PROGRESS,LOW,2025-09-20 15:54:47,2025-11-11 01:18:50,EORD2015,ops_manager
TICK001099,CUST1012,Refund Query,Delivery was delayed.,CLOSED,MEDIUM,2025-10-01 08:20:29,2025-11-02 20:26:13,EORD2025,support_agent_2
TICK001100,CUST1052,Order Issue,Refund not processed.,IN_PROGRESS,MEDIUM,2025-09-28 12:25:34,2025-11-17 03:23:16,EORD2053,ops_manager
