invoice_id,order_id,invoice_number,invoice_date,due_date,customer_id,taxable_value,igst,cgst,sgst,total_tax,invoice_amount,status,created_at
INV13020,B2BORD4020,INV-200019,2025-11-06 22:07:54,2025-11-13 22:07:54,CUST1020,18662.8,0,466.57,466.57,933.14,19595.94,PAID,2025-11-06 22:07:54
INV13021,B2BORD4021,INV-200020,2025-11-04 22:45:58,2025-12-04 22:45:58,CUST1021,45429.71,0,1135.74,1135.74,2271.49,47701.2,PAID,2025-11-04 22:45:58
INV13022,B2BORD4022,INV-200021,2025-10-19 12:28:50,2025-10-26 12:28:50,CUST1022,34163.99,0,854.1,854.1,1708.2,35872.19,ISSUED,2025-10-19 12:28:50
INV13023,B2BORD4023,INV-200022,2025-10-17 06:10:08,2025-11-01 06:10:08,CUST1023,20204.62,0,505.12,505.12,1010.23,21214.85,ISSUED,2025-10-17 06:10:08
INV13024,B2BORD4024,INV-200023,2025-10-31 23:01:18,2025-11-30 23:01:18,CUST1024,17606.4,0,440.16,440.16,880.32,18486.72,OVERDUE,2025-10-31 23:01:18
INV13025,B2BORD4025,INV-200024,2025-10-19 23:08:20,2025-11-18 23:08:20,CUST1025,55954.81,0,1398.87,1398.87,2797.74,58752.55,ISSUED,2025-10-19 23:08:20
INV13026,B2BORD4026,INV-200025,2025-10-07 14:07:32,2025-10-22 14:07:32,CUST1026,44752.51,0,1118.82,1118.82,2237.63,46990.14,ISSUED,2025-10-07 14:07:32
INV13027,B2BORD4027,INV-200026,2025-11-07 08:17:29,2025-12-07 08:17:29,CUST1027,16039.28,0,400.98,400.98,801.96,16841.24,PAID,2025-11-07 08:17:29
INV13028,B2BORD4028,INV-200027,2025-11-30 09:21:26,2025-12-07 09:21:26,CUST1028,15294.04,0,382.35,382.35,764.7,16058.74,ISSUED,2025-11-30 09:21:26
INV13029,B2BORD4029,INV-200028,2025-11-13 19:50:03,2025-12-13 19:50:03,CUST1029,22649.59,0,566.24,566.24,1132.48,23782.07,ISSUED,2025-11-13 19:50:03
INV13030,B2BORD4030,INV-200029,2025-10-28 16:54:43,2025-11-04 16:54:43,CUST1030,55370.91,0,1384.28,1384.28,2768.55,58139.46000000001,OVERDUE,2025-10-28 16:54:43
INV13031,B2BORD4031,INV-200030,2025-10-17 16:39:39,2025-11-16 16:39:39,CUST1031,30574.56,0,764.37,764.37,1528.73,32103.29,ISSUED,2025-10-17 16:39:39
INV13032,B2BORD4032,INV-200031,2025-11-07 22:44:12,2025-12-07 22:44:12,CUST1032,57563.6,0,1439.09,1439.09,2878.18,60441.78,PAID,2025-11-07 22:44:12
INV13033,B2BORD4033,INV-200032,2025-10-31 10:44:23,2025-11-15 10:44:23,CUST1033,37998.71,0,949.97,949.97,1899.94,39898.65,PAID,2025-10-31 10:44:23
INV13034,B2BORD4034,INV-200033,2025-12-01 01:28:27,2025-12-31 01:28:27,CUST1034,52388.59,0,1309.71,1309.71,2619.43,55008.02,PAID,2025-12-01 01:28:27
INV13035,B2BORD4035,INV-200034,2025-11-16 01:42:41,2025-11-23 01:42:41,CUST1035,59094.89,0,1477.37,1477.37,2954.74,62049.63,OVERDUE,2025-11-16 01:42:41
INV13036,B2BORD4036,INV-200035,2025-11-24 01:57:52,2025-12-09 01:57:52,CUST1036,25077.01,0,626.92,626.92,1253.85,26330.86,OVERDUE,2025-11-24 01:57:52
INV13037,B2BORD4037,INV-200036,2025-10-08 11:56:39,2025-10-15 11:56:39,CUST1037,5140.59,0,128.51,128.51,257.03,5397.62,PAID,2025-10-08 11:56:39
INV13038,B2BORD4038,INV-200037,2025-11-08 20:13:18,2025-11-23 20:13:18,CUST1038,56499.96,0,1412.5,1412.5,2825.0,59324.96,ISSUED,2025-11-08 20:13:18
INV13039,B2BORD4039,INV-200038,2025-10-29 18:45:09,2025-11-28 18:45:09,CUST1039,22142.76,0,553.57,553.57,1107.14,23249.9,OVERDUE,2025-10-29 18:45:09
INV13040,B2BORD4040,INV-200039,2025-10-25 15:56:52,2025-11-01 15:56:52,CUST1040,28517.37,0,712.93,712.93,1425.87,29943.24,ISSUED,2025-10-25 15:56:52
INV13041,B2BORD4041,INV-200040,2025-11-19 05:11:21,2025-12-19 05:11:21,CUST1041,32055.9,0,801.4,801.4,1602.8,33658.7,PAID,2025-11-19 05:11:21
INV13042,B2BORD4042,INV-200041,2025-10-11 11:01:57,2025-11-10 11:01:57,CUST1042,2488.28,0,62.2,62.2,124.41,2612.69,OVERDUE,2025-10-11 11:01:57
INV13043,B2BORD4043,INV-200042,2025-12-02 07:59:32,2025-12-09 07:59:32,CUST1043,24006.82,0,600.17,600.17,1200.34,25207.16,ISSUED,2025-12-02 07:59:32
INV13044,B2BORD4044,INV-200043,2025-11-11 01:09:33,2025-11-26 01:09:33,CUST1044,22972.93,0,574.33,574.33,1148.65,24121.58,PAID,2025-11-11 01:09:33
INV13045,B2BORD4045,INV-200044,2025-10-07 06:35:27,2025-10-14 06:35:27,CUST1045,33816.68,0,845.41,845.41,1690.83,35507.51,ISSUED,2025-10-07 06:35:27
INV13046,B2BORD4046,INV-200045,2025-10-21 17:53:07,2025-11-05 17:53:07,CUST1046,29338.03,0,733.45,733.45,1466.9,30804.93,OVERDUE,2025-10-21 17:53:07
INV13047,B2BORD4047,INV-200046,2025-10-31 13:14:49,2025-11-15 13:14:49,CUST1047,23223.6,0,580.59,580.59,1161.18,24384.78,PAID,2025-10-31 13:14:49
INV13048,B2BORD4048,INV-200047,2025-11-22 01:26:25,2025-12-07 01:26:25,CUST1048,14210.88,0,355.27,355.27,710.54,14921.42,OVERDUE,2025-11-22 01:26:25
INV13049,B2BORD4049,INV-200048,2025-11-19 13:25:11,2025-12-04 13:25:11,CUST1049,23174.52,0,579.37,579.37,1158.73,24333.25,PAID,2025-11-19 13:25:11
INV13050,B2BORD4050,INV-200049,2025-10-24 22:56:41,2025-11-08 22:56:41,CUST1050,28142.28,0,703.55,703.55,1407.11,29549.39,OVERDUE,2025-10-24 22:56:41
