coupon_id,coupon_code,description,discount_type,discount_value,max_discount_amount,valid_from,valid_to,min_order_amount,usage_limit,active_flag,created_at,updated_at
COUP01025,VEG59,Flat Discount,FLAT,20,50,2025-10-22 23:14:49,2025-12-16 23:14:49,300,1,True,2025-10-22 23:14:49,2025-11-14 14:36:02
COUP01036,VEG60,Percentage Discount,PERCENT,10,75,2025-09-14 00:58:05,2025-10-19 00:58:05,200,1,True,2025-09-14 00:58:05,2025-11-19 09:24:29
COUP01027,VEG61,Flat Discount,FLAT,10,100,2025-10-29 09:43:08,2026-01-23 09:43:08,300,10,True,2025-10-29 09:43:08,2025-11-09 02:15:05
COUP01037,VEG62,Percentage Discount,PERCENT,30,150,2025-08-08 07:02:13,2025-09-11 07:02:13,300,1,True,2025-08-08 07:02:13,2025-11-17 22:02:50
COUP01029,VEG63,Percentage Discount,PERCENT,20,50,2025-09-27 17:59:15,2025-10-16 17:59:15,0,5,True,2025-09-27 17:59:15,2025-11-21 14:10:30
COUP01059,VEG64,Percentage Discount,PERCENT,10,100,2025-09-30 19:20:34,2025-12-09 19:20:34,300,10,True,2025-09-30 19:20:34,2025-11-18 13:51:58
COUP01022,WELCOME501,Flat Discount,FLAT,30,50,2025-10-01 12:42:16,2025-11-13 12:42:16,200,5,True,2025-10-01 12:42:16,2025-11-27 02:32:37
COUP01033,WELCOME502,Percentage Discount,PERCENT,20,75,2025-08-07 13:09:42,2025-09-19 13:09:42,200,1,True,2025-08-07 13:09:42,2025-11-05 15:28:47
COUP01034,WELCOME503,Percentage Discount,PERCENT,20,75,2025-11-22 09:15:15,2025-12-23 09:15:15,200,5,True,2025-11-22 09:15:15,2025-11-28 11:55:02
COUP01035,WELCOME504,Percentage Discount,PERCENT,50,100,2025-11-08 12:24:45,2026-01-17 12:24:45,0,5,True,2025-11-08 12:24:45,2025-11-28 08:37:47
COUP01046,WELCOME505,Percentage Discount,PERCENT,20,150,2025-11-09 10:17:06,2026-02-07 10:17:06,300,2,True,2025-11-09 10:17:06,2025-11-11 18:48:58
COUP01007,WELCOME506,Flat Discount,FLAT,50,100,2025-10-08 04:59:50,2025-11-30 04:59:50,0,5,True,2025-10-08 04:59:50,2025-11-09 19:08:31
COUP01008,WELCOME507,Flat Discount,FLAT,50,100,2025-10-22 03:24:59,2025-11-05 03:24:59,300,5,True,2025-10-22 03:24:59,2025-11-29 04:39:29
COUP01049,WELCOME508,Flat Discount,FLAT,30,75,2025-08-08 13:26:14,2025-10-30 13:26:14,0,1,True,2025-08-08 13:26:14,2025-11-19 00:19:53
COUP01030,WELCOME509,Flat Discount,FLAT,20,50,2025-09-14 02:20:10,2025-11-22 02:20:10,200,5,True,2025-09-14 02:20:10,2025-11-05 15:32:02
COUP01032,WELCOME510,Percentage Discount,PERCENT,30,50,2025-10-18 10:02:54,2025-12-17 10:02:54,200,2,True,2025-10-18 10:02:54,2025-11-24 11:50:05
COUP01053,WELCOME511,Flat Discount,FLAT,30,75,2025-08-25 16:28:35,2025-11-04 16:28:35,300,10,True,2025-08-25 16:28:35,2025-11-29 10:17:22
COUP01054,WELCOME512,Flat Discount,FLAT,10,100,2025-10-18 02:09:11,2025-10-31 02:09:11,200,5,True,2025-10-18 02:09:11,2025-11-08 17:11:15
COUP01047,WELCOME513,Percentage Discount,PERCENT,20,100,2025-09-23 02:28:31,2025-10-27 02:28:31,300,10,True,2025-09-23 02:28:31,2025-11-07 10:14:10
COUP01018,WELCOME514,Flat Discount,FLAT,30,100,2025-10-31 02:44:51,2025-11-28 02:44:51,300,2,True,2025-10-31 02:44:51,2025-11-20 03:37:47
COUP01048,WELCOME515,Flat Discount,FLAT,10,50,2025-09-19 05:30:55,2025-12-07 05:30:55,300,2,True,2025-09-19 05:30:55,2025-11-19 18:48:21
COUP01050,WELCOME516,Flat Discount,FLAT,10,100,2025-09-27 10:49:10,2025-11-05 10:49:10,300,2,True,2025-09-27 10:49:10,2025-11-02 17:11:22
