order_item_id,order_id,sku,product_name,variant_id,qty_units,qty_kg,unit_price,line_total,tax_amount,discount_amount,batch_id,picked_at,created_at
EOL3011,EORDR5011,BTR006,Bitter Gourd (1kg),BTR006-VAR,3,3,70,210,10.5,0,BATCH3291,2025-11-12 01:06:29,2025-11-14 07:36:57
EOL3012,EORDR5012,ONI003,Onion - Red Nashik (1kg),ONI003-VAR,11,11,28,308,15.4,0,BATCH4952,2025-11-14 22:54:49,2025-11-10 03:51:20
EOL3013,EORDR5013,TOM001,Tomato - Local (1kg),TOM001-VAR,13,13,32,416,20.8,0,BATCH3583,2025-11-23 06:14:20,2025-11-28 20:45:19
EOL3014,EORDR5014,BTR006,Bitter Gourd (1kg),BTR006-VAR,16,16,70,1120,56.0,0,BATCH5904,2025-11-13 05:12:16,2025-11-17 13:20:42
EOL3015,EORDR5015,LIM008,Lemon - Khatta (500g),LIM008-VAR,18,18,20,360,18.0,0,BATCH9168,2025-11-05 09:29:21,2025-11-13 18:53:27
EOL3016,EORDR5016,ONI003,Onion - Red Nashik (1kg),ONI003-VAR,9,9,28,252,12.6,0,BATCH7433,2025-11-25 11:52:27,2025-11-04 06:41:47
EOL3017,EORDR5017,CAR004,Carrot - Orange (1kg),CAR004-VAR,1,1,48,48,2.4,0,BATCH7183,2025-11-23 12:13:50,2025-11-01 09:12:57
EOL3018,EORDR5018,TOM001,Tomato - Local (1kg),TOM001-VAR,10,10,32,320,16.0,0,BATCH1611,2025-11-16 12:13:02,2025-10-05 15:05:13
EOL3019,EORDR5019,POT002,Potato - Jyoti (1kg),POT002-VAR,1,1,22,22,1.1,0,BATCH2148,2025-11-12 15:04:49,2025-10-11 18:54:05
EOL3020,EORDR5020,CAR004,Carrot - Orange (1kg),CAR004-VAR,17,17,48,816,40.8,0,BATCH4520,2025-11-15 09:53:30,2025-11-22 09:52:46
EOL3021,EORDR5021,ONI003,Onion - Red Nashik (1kg),ONI003-VAR,16,16,28,448,22.4,0,BATCH6401,2025-11-10 22:15:03,2025-10-21 05:19:49
EOL3022,EORDR5022,TOM001,Tomato - Local (1kg),TOM001-VAR,1,1,32,32,1.6,0,BATCH7207,2025-11-08 05:02:49,2025-10-10 14:19:26
EOL3023,EORDR5023,GUR010,Ginger - Fresh (250g),GUR010-VAR,14,14,60,840,42.0,0,BATCH8051,2025-11-15 01:08:38,2025-11-04 11:52:27
EOL3024,EORDR5024,COW005,Cucumber - Slicing (1kg),COW005-VAR,14,14,24,336,16.8,0,BATCH9737,2025-11-26 09:05:34,2025-10-20 22:29:23
EOL3025,EORDR5025,APP009,Apple - Kinnaur (1kg),APP009-VAR,19,19,180,3420,171.0,0,BATCH4981,2025-11-03 07:42:36,2025-11-06 02:22:25
EOL3026,EORDR5026,BRN007,Brinjal - Long (1kg),BRN007-VAR,1,1,30,30,1.5,0,BATCH7291,2025-11-20 14:40:37,2025-11-03 12:04:18
EOL3027,EORDR5027,POT002,Potato - Jyoti (1kg),POT002-VAR,7,7,22,154,7.7,0,BATCH5780,2025-11-13 10:23:02,2025-10-19 04:58:19
EOL3028,EORDR5028,TOM001,Tomato - Local (1kg),TOM001-VAR,6,6,32,192,9.6,0,BATCH9712,2025-11-07 07:15:53,2025-11-10 22:03:17
EOL3029,EORDR5029,ONI003,Onion - Red Nashik (1kg),ONI003-VAR,15,15,28,420,21.0,0,BATCH5423,2025-11-29 04:26:44,2025-11-03 21:38:15
EOL3030,EORDR5030,LIM008,Lemon - Khatta (500g),LIM008-VAR,10,10,20,200,10.0,0,BATCH2929,2025-11-19 11:39:44,2025-11-03 04:56:59
EOL3031,EORDR5031,POT002,Potato - Jyoti (1kg),POT002-VAR,11,11,22,242,12.1,0,BATCH3474,2025-11-02 10:43:29,2025-10-18 08:56:43
EOL3032,EORDR5032,TOM001,Tomato - Local (1kg),TOM001-VAR,16,16,32,512,25.6,0,BATCH2219,2025-11-21 05:16:33,2025-11-30 06:05:35
EOL3033,EORDR5033,GUR010,Ginger - Fresh (250g),GUR010-VAR,16,16,60,960,48.0,0,BATCH9478,2025-11-16 06:00:31,2025-11-08 01:52:17
EOL3034,EORDR5034,BRN007,Brinjal - Long (1kg),BRN007-VAR,10,10,30,300,15.0,0,BATCH5320,2025-11-03 01:48:26,2025-11-06 15:30:34
EOL3035,EORDR5035,COW005,Cucumber - Slicing (1kg),COW005-VAR,6,6,24,144,7.2,0,BATCH3625,2025-11-27 18:58:01,2025-10-23 15:45:31
EOL3036,EORDR5036,COW005,Cucumber - Slicing (1kg),COW005-VAR,6,6,24,144,7.2,0,BATCH5318,2025-11-21 10:17:30,2025-10-08 15:06:57
EOL3037,EORDR5037,CAR004,Carrot - Orange (1kg),CAR004-VAR,2,2,48,96,4.8,0,BATCH1323,2025-11-24 20:44:30,2025-10-18 20:14:32
EOL3038,EORDR5038,POT002,Potato - Jyoti (1kg),POT002-VAR,19,19,22,418,20.9,0,BATCH1648,2025-11-09 15:09:17,2025-11-26 19:56:56
EOL3039,EORDR5039,CAR004,Carrot - Orange (1kg),CAR004-VAR,6,6,48,288,14.4,0,BATCH1220,2025-11-26 19:42:29,2025-10-30 18:43:54
EOL3040,EORDR5040,BTR006,Bitter Gourd (1kg),BTR006-VAR,4,4,70,280,14.0,0,BATCH6601,2025-11-30 11:28:42,2025-11-28 09:22:51
EOL3041,EORDR5041,ONI003,Onion - Red Nashik (1kg),ONI003-VAR,11,11,28,308,15.4,0,BATCH4682,2025-11-12 01:59:57,2025-11-28 17:13:22
EOL3042,EORDR5042,APP009,Apple - Kinnaur (1kg),APP009-VAR,12,12,180,2160,108.0,0,BATCH6002,2025-11-09 16:18:08,2025-11-24 01:37:16
EOL3043,EORDR5043,POT002,Potato - Jyoti (1kg),POT002-VAR,17,17,22,374,18.7,0,BATCH7986,2025-11-29 13:07:58,2025-11-11 20:34:16
EOL3044,EORDR5044,CAR004,Carrot - Orange (1kg),CAR004-VAR,4,4,48,192,9.6,0,BATCH1414,2025-11-21 06:00:42,2025-11-21 11:33:12
EOL3045,EORDR5045,BRN007,Brinjal - Long (1kg),BRN007-VAR,3,3,30,90,4.5,0,BATCH9702,2025-11-30 11:47:32,2025-11-23 17:06:22
EOL3046,EORDR5046,APP009,Apple - Kinnaur (1kg),APP009-VAR,6,6,180,1080,54.0,0,BATCH8382,2025-11-03 02:43:59,2025-10-12 22:03:06
EOL3047,EORDR5047,ONI003,Onion - Red Nashik (1kg),ONI003-VAR,12,12,28,336,16.8,0,BATCH5230,2025-11-03 22:04:41,2025-11-11 05:40:04
EOL3048,EORDR5048,BTR006,Bitter Gourd (1kg),BTR006-VAR,17,17,70,1190,59.5,0,BATCH3401,2025-11-18 22:31:29,2025-10-20 21:17:01
EOL3049,EORDR5049,BRN007,Brinjal - Long (1kg),BRN007-VAR,5,5,30,150,7.5,0,BATCH1727,2025-11-28 03:33:51,2025-11-05 20:30:01
EOL3050,EORDR5050,CAR004,Carrot - Orange (1kg),CAR004-VAR,19,19,48,912,45.6,0,BATCH9815,2025-11-16 05:57:24,2025-11-02 15:58:01
EOL3051,EORDR5051,APP009,Apple - Kinnaur (1kg),APP009-VAR,18,18,180,3240,162.0,0,BATCH6871,2025-11-11 21:45:53,2025-10-06 12:20:04
EOL3052,EORDR5052,LIM008,Lemon - Khatta (500g),LIM008-VAR,4,4,20,80,4.0,0,BATCH6194,2025-11-17 15:38:38,2025-10-20 08:49:58
EOL3053,EORDR5053,APP009,Apple - Kinnaur (1kg),APP009-VAR,4,4,180,720,36.0,0,BATCH8426,2025-11-12 15:59:23,2025-11-13 16:41:35
EOL3054,EORDR5054,TOM001,Tomato - Local (1kg),TOM001-VAR,2,2,32,64,3.2,0,BATCH1466,2025-11-07 10:03:11,2025-10-28 03:01:24
EOL3055,EORDR5055,ONI003,Onion - Red Nashik (1kg),ONI003-VAR,1,1,28,28,1.4,0,BATCH4755,2025-11-07 01:10:28,2025-11-14 08:49:23
EOL3056,EORDR5056,TOM001,Tomato - Local (1kg),TOM001-VAR,4,4,32,128,6.4,0,BATCH5219,2025-11-13 17:54:25,2025-11-15 15:06:37
EOL3057,EORDR5057,BTR006,Bitter Gourd (1kg),BTR006-VAR,12,12,70,840,42.0,0,BATCH9228,2025-11-03 06:36:18,2025-11-17 02:50:41
EOL3058,EORDR5058,COW005,Cucumber - Slicing (1kg),COW005-VAR,5,5,24,120,6.0,0,BATCH8680,2025-11-10 06:22:58,2025-11-20 14:57:37
EOL3059,EORDR5059,LIM008,Lemon - Khatta (500g),LIM008-VAR,19,19,20,380,19.0,0,BATCH2082,2025-11-15 01:31:56,2025-10-16 22:23:33
EOL3060,EORDR5060,GUR010,Ginger - Fresh (250g),GUR010-VAR,12,12,60,720,36.0,0,BATCH7270,2025-11-03 19:53:46,2025-10-07 18:50:36
EOL3061,EORDR5061,LIM008,Lemon - Khatta (500g),LIM008-VAR,15,15,20,300,15.0,0,BATCH3159,2025-11-19 09:02:12,2025-10-08 13:09:47
EOL3062,EORDR5062,ONI003,Onion - Red Nashik (1kg),ONI003-VAR,4,4,28,112,5.6,0,BATCH5077,2025-11-11 07:14:40,2025-10-31 22:24:15
EOL3063,EORDR5063,GUR010,Ginger - Fresh (250g),GUR010-VAR,4,4,60,240,12.0,0,BATCH8424,2025-11-02 15:13:24,2025-11-15 09:00:21
EOL3064,EORDR5064,COW005,Cucumber - Slicing (1kg),COW005-VAR,13,13,24,312,15.6,0,BATCH9297,2025-11-30 02:02:16,2025-12-01 23:58:10
EOL3065,EORDR5065,GUR010,Ginger - Fresh (250g),GUR010-VAR,16,16,60,960,48.0,0,BATCH9419,2025-11-13 10:01:39,2025-11-30 20:47:39
EOL3066,EORDR5066,ONI003,Onion - Red Nashik (1kg),ONI003-VAR,10,10,28,280,14.0,0,BATCH5899,2025-11-23 21:44:43,2025-11-18 09:33:47
EOL3067,EORDR5067,APP009,Apple - Kinnaur (1kg),APP009-VAR,8,8,180,1440,72.0,0,BATCH8568,2025-11-29 15:20:48,2025-11-22 04:14:16
EOL3068,EORDR5068,BTR006,Bitter Gourd (1kg),BTR006-VAR,19,19,70,1330,66.5,0,BATCH4725,2025-11-06 10:51:42,2025-10-07 23:39:42
EOL3069,EORDR5069,CAR004,Carrot - Orange (1kg),CAR004-VAR,18,18,48,864,43.2,0,BATCH6371,2025-11-15 03:43:46,2025-11-21 17:05:43
EOL3070,EORDR5070,ONI003,Onion - Red Nashik (1kg),ONI003-VAR,10,10,28,280,14.0,0,BATCH6681,2025-11-20 08:13:46,2025-11-29 06:34:15
EOL3071,EORDR5071,TOM001,Tomato - Local (1kg),TOM001-VAR,8,8,32,256,12.8,0,BATCH5700,2025-11-07 06:39:06,2025-11-06 04:51:43
EOL3072,EORDR5072,TOM001,Tomato - Local (1kg),TOM001-VAR,20,20,32,640,32.0,0,BATCH3973,2025-12-01 10:00:54,2025-10-05 19:24:58
EOL3073,EORDR5073,CAR004,Carrot - Orange (1kg),CAR004-VAR,5,5,48,240,12.0,0,BATCH5446,2025-11-19 19:48:14,2025-10-29 03:50:35
EOL3074,EORDR5074,ONI003,Onion - Red Nashik (1kg),ONI003-VAR,12,12,28,336,16.8,0,BATCH7894,2025-11-10 16:37:34,2025-11-01 03:19:23
EOL3075,EORDR5075,CAR004,Carrot - Orange (1kg),CAR004-VAR,6,6,48,288,14.4,0,BATCH6662,2025-11-29 09:43:58,2025-11-15 19:39:05
EOL3076,EORDR5076,BRN007,Brinjal - Long (1kg),BRN007-VAR,20,20,30,600,30.0,0,BATCH8258,2025-11-27 18:48:01,2025-10-30 20:15:39
EOL3077,EORDR5077,GUR010,Ginger - Fresh (250g),GUR010-VAR,16,16,60,960,48.0,0,BATCH3299,2025-11-04 13:06:41,2025-11-02 08:13:07
EOL3078,EORDR5078,TOM001,Tomato - Local (1kg),TOM001-VAR,1,1,32,32,1.6,0,BATCH5276,2025-11-07 11:50:13,2025-11-02 05:51:09
EOL3079,EORDR5079,COW005,Cucumber - Slicing (1kg),COW005-VAR,2,2,24,48,2.4,0,BATCH2887,2025-11-26 15:40:44,2025-10-13 13:11:27
EOL3080,EORDR5080,BTR006,Bitter Gourd (1kg),BTR006-VAR,19,19,70,1330,66.5,0,BATCH2581,2025-11-15 01:02:24,2025-10-04 00:35:08
EOL3081,EORDR5081,COW005,Cucumber - Slicing (1kg),COW005-VAR,3,3,24,72,3.6,0,BATCH3585,2025-11-27 06:35:21,2025-11-22 17:15:58
EOL3082,EORDR5082,BTR006,Bitter Gourd (1kg),BTR006-VAR,16,16,70,1120,56.0,0,BATCH3847,2025-11-24 21:10:09,2025-11-19 18:49:38
EOL3083,EORDR5083,POT002,Potato - Jyoti (1kg),POT002-VAR,9,9,22,198,9.9,0,BATCH6728,2025-11-30 09:19:52,2025-11-06 07:38:54
EOL3084,EORDR5084,POT002,Potato - Jyoti (1kg),POT002-VAR,11,11,22,242,12.1,0,BATCH2111,2025-11-06 04:07:04,2025-11-03 19:03:57
EOL3085,EORDR5085,ONI003,Onion - Red Nashik (1kg),ONI003-VAR,12,12,28,336,16.8,0,BATCH3577,2025-11-21 20:30:24,2025-12-01 14:54:30
EOL3086,EORDR5086,ONI003,Onion - Red Nashik (1kg),ONI003-VAR,4,4,28,112,5.6,0,BATCH1644,2025-11-30 23:46:39,2025-10-19 00:00:47
EOL3087,EORDR5087,APP009,Apple - Kinnaur (1kg),APP009-VAR,14,14,180,2520,126.0,0,BATCH3075,2025-11-08 21:41:03,2025-11-29 20:10:11
EOL3088,EORDR5088,LIM008,Lemon - Khatta (500g),LIM008-VAR,9,9,20,180,9.0,0,BATCH4841,2025-11-07 23:21:22,2025-10-22 18:43:51
EOL3089,EORDR5089,LIM008,Lemon - Khatta (500g),LIM008-VAR,4,4,20,80,4.0,0,BATCH3665,2025-11-24 13:11:41,2025-11-28 22:41:54
EOL3090,EORDR5090,LIM008,Lemon - Khatta (500g),LIM008-VAR,10,10,20,200,10.0,0,BATCH8568,2025-11-04 01:15:25,2025-10-09 12:44:59
EOL3091,EORDR5091,APP009,Apple - Kinnaur (1kg),APP009-VAR,1,1,180,180,9.0,0,BATCH4874,2025-11-21 17:27:27,2025-11-26 06:16:49
EOL3092,EORDR5092,ONI003,Onion - Red Nashik (1kg),ONI003-VAR,7,7,28,196,9.8,0,BATCH6249,2025-11-27 19:42:54,2025-10-30 18:47:27
EOL3093,EORDR5093,ONI003,Onion - Red Nashik (1kg),ONI003-VAR,8,8,28,224,11.2,0,BATCH2983,2025-11-03 01:51:48,2025-11-02 07:50:33
EOL3094,EORDR5094,BRN007,Brinjal - Long (1kg),BRN007-VAR,2,2,30,60,3.0,0,BATCH9857,2025-11-25 14:20:31,2025-11-11 14:42:01
EOL3095,EORDR5095,APP009,Apple - Kinnaur (1kg),APP009-VAR,5,5,180,900,45.0,0,BATCH4503,2025-11-13 20:19:36,2025-10-25 17:10:06
EOL3096,EORDR5096,POT002,Potato - Jyoti (1kg),POT002-VAR,4,4,22,88,4.4,0,BATCH9207,2025-11-02 23:09:17,2025-11-28 21:27:45
EOL3097,EORDR5097,LIM008,Lemon - Khatta (500g),LIM008-VAR,15,15,20,300,15.0,0,BATCH2212,2025-11-17 10:48:55,2025-11-18 03:10:51
EOL3098,EORDR5098,BRN007,Brinjal - Long (1kg),BRN007-VAR,12,12,30,360,18.0,0,BATCH1851,2025-12-01 08:37:01,2025-10-13 02:57:01
EOL3099,EORDR5099,POT002,Potato - Jyoti (1kg),POT002-VAR,6,6,22,132,6.6,0,BATCH1141,2025-11-17 04:52:31,2025-10-13 08:34:44
EOL3100,EORDR5100,BRN007,Brinjal - Long (1kg),BRN007-VAR,5,5,30,150,7.5,0,BATCH8602,2025-11-17 16:08:58,2025-11-28 08:59:54
EOL3101,EORDR5101,POT002,Potato - Jyoti (1kg),POT002-VAR,15,15,22,330,16.5,0,BATCH2189,2025-11-11 10:28:06,2025-11-21 01:52:10
EOL3102,EORDR5102,POT002,Potato - Jyoti (1kg),POT002-VAR,2,2,22,44,2.2,0,BATCH7411,2025-11-17 01:37:32,2025-10-16 20:43:29
EOL3103,EORDR5103,GUR010,Ginger - Fresh (250g),GUR010-VAR,2,2,60,120,6.0,0,BATCH9441,2025-11-25 02:12:08,2025-11-09 07:22:51
EOL3104,EORDR5104,GUR010,Ginger - Fresh (250g),GUR010-VAR,18,18,60,1080,54.0,0,BATCH1886,2025-11-26 05:04:25,2025-11-16 18:02:21
EOL3105,EORDR5105,GUR010,Ginger - Fresh (250g),GUR010-VAR,18,18,60,1080,54.0,0,BATCH3830,2025-11-15 21:52:43,2025-10-13 08:33:17
EOL3106,EORDR5106,ONI003,Onion - Red Nashik (1kg),ONI003-VAR,1,1,28,28,1.4,0,BATCH8500,2025-11-23 10:46:18,2025-11-05 01:01:31
EOL3107,EORDR5107,BTR006,Bitter Gourd (1kg),BTR006-VAR,16,16,70,1120,56.0,0,BATCH7597,2025-11-14 03:45:31,2025-11-15 13:48:08
EOL3108,EORDR5108,BRN007,Brinjal - Long (1kg),BRN007-VAR,8,8,30,240,12.0,0,BATCH1047,2025-11-15 23:55:51,2025-11-12 00:47:26
EOL3109,EORDR5109,ONI003,Onion - Red Nashik (1kg),ONI003-VAR,17,17,28,476,23.8,0,BATCH6680,2025-11-20 14:47:19,2025-11-15 04:50:29
EOL3110,EORDR5110,APP009,Apple - Kinnaur (1kg),APP009-VAR,3,3,180,540,27.0,0,BATCH8771,2025-11-29 09:21:42,2025-11-05 18:17:05
EOL3111,EORDR5111,APP009,Apple - Kinnaur (1kg),APP009-VAR,7,7,180,1260,63.0,0,BATCH1286,2025-11-22 18:09:06,2025-10-23 09:45:13
EOL3112,EORDR5112,GUR010,Ginger - Fresh (250g),GUR010-VAR,11,11,60,660,33.0,0,BATCH5198,2025-11-23 22:14:59,2025-10-13 05:54:34
EOL3113,EORDR5113,POT002,Potato - Jyoti (1kg),POT002-VAR,12,12,22,264,13.2,0,BATCH6062,2025-11-20 18:05:38,2025-11-01 04:47:31
EOL3114,EORDR5114,LIM008,Lemon - Khatta (500g),LIM008-VAR,17,17,20,340,17.0,0,BATCH2421,2025-11-13 21:23:58,2025-11-10 23:02:00
EOL3115,EORDR5115,TOM001,Tomato - Local (1kg),TOM001-VAR,7,7,32,224,11.2,0,BATCH5480,2025-11-05 17:05:44,2025-10-14 10:20:44
EOL3116,EORDR5116,POT002,Potato - Jyoti (1kg),POT002-VAR,16,16,22,352,17.6,0,BATCH2407,2025-11-06 23:46:10,2025-11-11 17:05:56
EOL3117,EORDR5117,GUR010,Ginger - Fresh (250g),GUR010-VAR,19,19,60,1140,57.0,0,BATCH7527,2025-11-27 13:13:08,2025-11-08 05:45:11
EOL3118,EORDR5118,BRN007,Brinjal - Long (1kg),BRN007-VAR,6,6,30,180,9.0,0,BATCH7232,2025-11-30 22:27:43,2025-11-08 11:30:51
EOL3119,EORDR5119,ONI003,Onion - Red Nashik (1kg),ONI003-VAR,6,6,28,168,8.4,0,BATCH7796,2025-11-09 02:52:42,2025-11-02 13:48:17
EOL3120,EORDR5120,APP009,Apple - Kinnaur (1kg),APP009-VAR,12,12,180,2160,108.0,0,BATCH1239,2025-11-05 20:21:39,2025-11-20 09:23:59
EOL3121,EORDR5121,TOM001,Tomato - Local (1kg),TOM001-VAR,8,8,32,256,12.8,0,BATCH5246,2025-11-08 02:53:21,2025-11-14 04:24:50
EOL3122,EORDR5122,BTR006,Bitter Gourd (1kg),BTR006-VAR,14,14,70,980,49.0,0,BATCH7635,2025-11-27 18:08:53,2025-11-20 08:43:38
EOL3123,EORDR5123,APP009,Apple - Kinnaur (1kg),APP009-VAR,11,11,180,1980,99.0,0,BATCH3175,2025-11-17 00:15:23,2025-11-20 01:11:08
EOL3124,EORDR5124,BTR006,Bitter Gourd (1kg),BTR006-VAR,7,7,70,490,24.5,0,BATCH7950,2025-11-28 23:50:25,2025-10-19 07:47:54
EOL3125,EORDR5125,CAR004,Carrot - Orange (1kg),CAR004-VAR,2,2,48,96,4.8,0,BATCH5230,2025-11-17 16:13:20,2025-11-11 21:38:10
EOL3126,EORDR5126,LIM008,Lemon - Khatta (500g),LIM008-VAR,15,15,20,300,15.0,0,BATCH8602,2025-11-14 10:45:33,2025-10-29 21:39:11
EOL3127,EORDR5127,BTR006,Bitter Gourd (1kg),BTR006-VAR,7,7,70,490,24.5,0,BATCH2813,2025-11-12 07:29:43,2025-10-20 05:35:06
EOL3128,EORDR5128,APP009,Apple - Kinnaur (1kg),APP009-VAR,20,20,180,3600,180.0,0,BATCH9630,2025-11-18 04:02:10,2025-10-11 22:23:33
EOL3129,EORDR5129,GUR010,Ginger - Fresh (250g),GUR010-VAR,18,18,60,1080,54.0,0,BATCH9057,2025-11-02 21:31:31,2025-10-15 07:22:42
EOL3130,EORDR5130,TOM001,Tomato - Local (1kg),TOM001-VAR,10,10,32,320,16.0,0,BATCH1742,2025-11-06 09:11:55,2025-10-06 00:52:19
EOL3131,EORDR5131,LIM008,Lemon - Khatta (500g),LIM008-VAR,15,15,20,300,15.0,0,BATCH5449,2025-11-10 10:39:09,2025-11-26 10:56:17
EOL3132,EORDR5132,TOM001,Tomato - Local (1kg),TOM001-VAR,11,11,32,352,17.6,0,BATCH3789,2025-11-27 19:38:30,2025-10-23 03:04:56
EOL3133,EORDR5133,CAR004,Carrot - Orange (1kg),CAR004-VAR,15,15,48,720,36.0,0,BATCH1311,2025-11-08 02:22:11,2025-10-29 10:07:39
EOL3134,EORDR5134,LIM008,Lemon - Khatta (500g),LIM008-VAR,18,18,20,360,18.0,0,BATCH1895,2025-11-30 03:46:17,2025-10-09 23:21:34
EOL3135,EORDR5135,COW005,Cucumber - Slicing (1kg),COW005-VAR,17,17,24,408,20.4,0,BATCH9407,2025-11-15 12:12:17,2025-10-10 20:12:00
EOL3136,EORDR5136,LIM008,Lemon - Khatta (500g),LIM008-VAR,11,11,20,220,11.0,0,BATCH6215,2025-11-04 23:48:29,2025-10-11 15:28:56
EOL3137,EORDR5137,ONI003,Onion - Red Nashik (1kg),ONI003-VAR,19,19,28,532,26.6,0,BATCH1110,2025-11-06 18:21:18,2025-10-15 22:56:41
EOL3138,EORDR5138,TOM001,Tomato - Local (1kg),TOM001-VAR,20,20,32,640,32.0,0,BATCH7784,2025-11-04 14:44:36,2025-10-11 08:05:24
EOL3139,EORDR5139,GUR010,Ginger - Fresh (250g),GUR010-VAR,11,11,60,660,33.0,0,BATCH1150,2025-11-24 09:59:51,2025-11-02 01:40:16
EOL3140,EORDR5140,TOM001,Tomato - Local (1kg),TOM001-VAR,18,18,32,576,28.8,0,BATCH6886,2025-11-25 02:22:24,2025-10-28 11:27:32
EOL3141,EORDR5141,GUR010,Ginger - Fresh (250g),GUR010-VAR,4,4,60,240,12.0,0,BATCH9267,2025-11-29 14:21:24,2025-10-12 11:04:08
EOL3142,EORDR5142,LIM008,Lemon - Khatta (500g),LIM008-VAR,16,16,20,320,16.0,0,BATCH9015,2025-11-17 14:50:01,2025-11-18 12:47:57
EOL3143,EORDR5143,APP009,Apple - Kinnaur (1kg),APP009-VAR,20,20,180,3600,180.0,0,BATCH2936,2025-11-30 00:20:11,2025-11-14 18:11:51
EOL3144,EORDR5144,BRN007,Brinjal - Long (1kg),BRN007-VAR,16,16,30,480,24.0,0,BATCH7924,2025-11-07 02:11:45,2025-11-29 12:01:53
EOL3145,EORDR5145,CAR004,Carrot - Orange (1kg),CAR004-VAR,8,8,48,384,19.2,0,BATCH6756,2025-11-15 17:08:05,2025-10-15 23:27:20
EOL3146,EORDR5146,BRN007,Brinjal - Long (1kg),BRN007-VAR,10,10,30,300,15.0,0,BATCH6747,2025-11-11 13:47:05,2025-11-21 00:23:30
EOL3147,EORDR5147,POT002,Potato - Jyoti (1kg),POT002-VAR,12,12,22,264,13.2,0,BATCH6929,2025-11-05 03:36:56,2025-10-21 11:26:05
EOL3148,EORDR5148,ONI003,Onion - Red Nashik (1kg),ONI003-VAR,9,9,28,252,12.6,0,BATCH7045,2025-11-05 16:42:57,2025-10-20 04:28:42
EOL3149,EORDR5149,LIM008,Lemon - Khatta (500g),LIM008-VAR,5,5,20,100,5.0,0,BATCH6472,2025-11-14 21:51:57,2025-11-03 16:22:24
EOL3150,EORDR5150,CAR004,Carrot - Orange (1kg),CAR004-VAR,18,18,48,864,43.2,0,BATCH1003,2025-11-28 13:48:14,2025-10-18 08:54:16
EOL3151,EORDR5151,GUR010,Ginger - Fresh (250g),GUR010-VAR,13,13,60,780,39.0,0,BATCH1069,2025-11-15 03:48:14,2025-11-18 19:14:12
EOL3152,EORDR5152,LIM008,Lemon - Khatta (500g),LIM008-VAR,14,14,20,280,14.0,0,BATCH3004,2025-11-02 19:59:17,2025-11-21 19:40:28
EOL3153,EORDR5153,LIM008,Lemon - Khatta (500g),LIM008-VAR,3,3,20,60,3.0,0,BATCH2376,2025-11-03 15:00:36,2025-11-20 18:20:23
EOL3154,EORDR5154,LIM008,Lemon - Khatta (500g),LIM008-VAR,11,11,20,220,11.0,0,BATCH1947,2025-11-04 12:07:35,2025-11-29 04:09:42
EOL3155,EORDR5155,APP009,Apple - Kinnaur (1kg),APP009-VAR,9,9,180,1620,81.0,0,BATCH6315,2025-11-11 04:01:28,2025-11-17 04:48:05
EOL3156,EORDR5156,TOM001,Tomato - Local (1kg),TOM001-VAR,14,14,32,448,22.4,0,BATCH7714,2025-11-27 12:36:32,2025-11-07 15:43:42
EOL3157,EORDR5157,COW005,Cucumber - Slicing (1kg),COW005-VAR,20,20,24,480,24.0,0,BATCH8429,2025-11-24 04:28:07,2025-10-29 13:08:06
EOL3158,EORDR5158,BTR006,Bitter Gourd (1kg),BTR006-VAR,20,20,70,1400,70.0,0,BATCH8331,2025-11-11 18:44:42,2025-11-12 04:30:55
