date,store_id,total_bills,total_qty_kg,gross_sales,discount_amount,tax_amount,net_sales,created_at,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
2024-01-19,STORE_SUR_002,96,467.45,17351.43,241.47,855.5,17109.96,2025-12-02 10:42:54,,,,
2024-01-19,STORE_VDR_003,123,549.69,20184.92,984.21,960.04,19200.71,2025-12-02 10:42:54,,,,
2024-01-20,STORE_AHD_001,136,484.94,11311.82,332.86,548.95,10978.96,2025-12-02 10:42:54,,,,
2024-01-20,STORE_SUR_002,67,491.8,18712.43,310.35,920.1,18402.08,2025-12-02 10:42:54,,,,
2024-01-20,STORE_VDR_003,40,543.68,13757.31,569.04,659.41,13188.27,2025-12-02 10:42:54,,,,
2024-01-21,STORE_AHD_001,98,242.66,8233.9,322.94,395.55,7910.96,2025-12-02 10:42:54,,,,
2024-01-21,STORE_SUR_002,140,358.98,12337.48,199.77,606.89,12137.71,2025-12-02 10:42:54,,,,
2024-01-21,STORE_VDR_003,77,213.61,4522.05,178.3,217.19,4343.75,2025-12-02 10:42:54,,,,
2024-01-22,STORE_AHD_001,47,441.63,9337.52,311.57,451.3,9025.95,2025-12-02 10:42:54,,,,
2024-01-22,STORE_SUR_002,104,515.34,15781.01,193.71,779.37,15587.300000000001,2025-12-02 10:42:54,,,,
2024-01-22,STORE_VDR_003,105,154.45,3663.01,123.81,176.96,3539.2000000000003,2025-12-02 10:42:54,,,,
2024-01-23,STORE_AHD_001,126,490.58,13773.28,656.49,655.84,13116.79,2025-12-02 10:42:54,,,,
2024-01-23,STORE_SUR_002,112,225.87,7203.08,250.49,347.63,6952.59,2025-12-02 10:42:54,,,,
2024-01-23,STORE_VDR_003,93,402.67,12605.4,285.57,615.99,12319.83,2025-12-02 10:42:54,,,,
2024-01-24,STORE_AHD_001,73,207.83,7133.52,139.44,349.7,6994.080000000001,2025-12-02 10:42:54,,,,
2024-01-24,STORE_SUR_002,90,176.28,5801.38,164.12,281.86,5637.26,2025-12-02 10:42:54,,,,
2024-01-24,STORE_VDR_003,136,522.37,10544.72,367.45,508.86,10177.269999999999,2025-12-02 10:42:54,,,,
2024-01-25,STORE_AHD_001,112,548.32,11769.81,218.05,577.59,11551.76,2025-12-02 10:42:54,,,,
2024-01-25,STORE_SUR_002,73,176.96,4774.41,60.88,235.68,4713.53,2025-12-02 10:42:54,,,,
2024-01-25,STORE_VDR_003,71,278.9,6457.91,279.95,308.9,6177.96,2025-12-02 10:42:54,,,,
2024-01-26,STORE_AHD_001,130,250.08,9922.44,419.56,475.14,9502.880000000001,2025-12-02 10:42:54,,,,
2024-01-26,STORE_SUR_002,107,123.36,4483.16,98.52,219.23,4384.639999999999,2025-12-02 10:42:54,,,,
2024-01-26,STORE_VDR_003,124,164.54,6180.54,127.19,302.67,6053.35,2025-12-02 10:42:54,,,,
2024-01-27,STORE_AHD_001,53,439.24,10150.38,215.9,496.72,9934.48,2025-12-02 10:42:54,,,,
2024-01-27,STORE_SUR_002,66,428.57,10316.51,364.89,497.58,9951.62,2025-12-02 10:42:54,,,,
2024-01-27,STORE_VDR_003,73,337.33,8440.81,391.03,402.49,8049.78,2025-12-02 10:42:54,,,,
2024-01-28,STORE_AHD_001,46,159.69,4546.62,95.78,222.54,4450.84,2025-12-02 10:42:54,,,,
2024-01-28,STORE_SUR_002,40,263.43,5957.84,293.08,283.24,5664.76,2025-12-02 10:42:54,,,,
2024-01-28,STORE_VDR_003,60,438.73,13615.38,369.08,662.32,13246.3,2025-12-02 10:42:54,,,,
2024-01-29,STORE_AHD_001,41,168.11,6539.65,246.16,314.67,6293.49,2025-12-02 10:42:54,,,,
2024-01-29,STORE_SUR_002,59,354.6,13010.95,433.27,628.88,12577.68,2025-12-02 10:42:54,,,,
2024-01-29,STORE_VDR_003,58,304.81,6351.2,156.15,309.75,6195.05,2025-12-02 10:42:54,,,,
2024-01-30,STORE_AHD_001,141,538.04,11190.1,272.06,545.9,10918.04,2025-12-02 10:42:54,,,,
2024-01-30,STORE_SUR_002,127,227.3,5013.3,206.57,240.34,4806.7300000000005,2025-12-02 10:42:54,,,,
2024-01-30,STORE_VDR_003,92,538.75,18850.62,886.56,898.2,17964.059999999998,2025-12-02 10:42:54,,,,
2024-01-31,STORE_AHD_001,70,491.78,19437.17,824.74,930.62,18612.429999999997,2025-12-02 10:42:54,,,,
2024-01-31,STORE_SUR_002,92,130.66,4537.99,105.68,221.62,4432.3099999999995,2025-12-02 10:42:54,,,,
2024-01-31,STORE_VDR_003,92,464.96,17334.3,735.49,829.94,16598.809999999998,2025-12-02 10:42:54,,,,
2024-02-01,STORE_AHD_001,74,188.46,6412.46,162.25,312.51,6250.21,2025-12-02 10:42:54,,,,
2024-02-01,STORE_SUR_002,44,489.2,11960.29,510.27,572.5,11450.02,2025-12-02 10:42:54,,,,
2024-02-01,STORE_VDR_003,98,270.35,9843.64,441.52,470.11,9402.119999999999,2025-12-02 10:42:54,,,,
2024-02-02,STORE_AHD_001,68,130.18,3106.43,71.85,151.73,3034.58,2025-12-02 10:42:54,,,,
2024-02-02,STORE_SUR_002,150,149.85,5314.66,127.8,259.34,5186.86,2025-12-02 10:42:54,,,,
2024-02-02,STORE_VDR_003,105,291.86,11564.37,363.68,560.03,11200.69,2025-12-02 10:42:54,,,,
2024-02-03,STORE_AHD_001,43,169.6,6683.6,114.58,328.45,6569.02,2025-12-02 10:42:54,,,,
2024-02-03,STORE_SUR_002,73,136.45,4357.04,103.82,212.66,4253.22,2025-12-02 10:42:54,,,,
2024-02-03,STORE_VDR_003,140,254.88,8187.81,249.38,396.92,7938.43,2025-12-02 10:42:54,,,,
2024-02-04,STORE_AHD_001,89,506.79,12062.4,142.04,596.02,11920.359999999999,2025-12-02 10:42:54,,,,
2024-02-04,STORE_SUR_002,95,120.73,4649.49,146.64,225.14,4502.849999999999,2025-12-02 10:42:54,,,,
2024-02-04,STORE_VDR_003,132,524.31,18214.92,325.71,894.46,17889.21,2025-12-02 10:42:54,,,,
2024-02-05,STORE_AHD_001,95,150.09,4995.71,115.94,243.99,4879.77,2025-12-02 10:42:54,,,,
2024-02-05,STORE_SUR_002,80,405.26,9115.31,419.32,434.8,8695.99,2025-12-02 10:42:54,,,,
2024-02-05,STORE_VDR_003,104,252.99,7126.19,185.97,347.01,6940.219999999999,2025-12-02 10:42:54,,,,
2024-02-06,STORE_AHD_001,77,358.4,8543.11,312.65,411.52,8230.460000000001,2025-12-02 10:42:54,,,,
2024-02-06,STORE_SUR_002,88,411.25,15650.58,541.83,755.44,15108.75,2025-12-02 10:42:54,,,,
2024-02-06,STORE_VDR_003,78,294.61,10804.68,239.38,528.27,10565.300000000001,2025-12-02 10:42:54,,,,
2024-02-07,STORE_AHD_001,66,304.85,9633.17,348.61,464.23,9284.56,2025-12-02 10:42:54,,,,
2024-02-07,STORE_SUR_002,99,309.97,10387.88,316.28,503.58,10071.599999999999,2025-12-02 10:42:54,,,,
2024-02-07,STORE_VDR_003,141,507.51,18230.01,306.04,896.2,17923.969999999998,2025-12-02 10:42:54,,,,
2024-02-08,STORE_AHD_001,50,242.03,8054.05,280.04,388.7,7774.01,2025-12-02 10:42:54,,,,
2024-02-08,STORE_SUR_002,51,471.92,16527.94,610.08,795.89,15917.859999999999,2025-12-02 10:42:54,,,,
2024-02-08,STORE_VDR_003,68,466.82,10712.16,126.92,529.26,10585.24,2025-12-02 10:42:54,,,,
2024-02-09,STORE_AHD_001,100,382.85,13541.32,382.09,657.96,13159.23,2025-12-02 10:42:54,,,,
2024-02-09,STORE_SUR_002,120,367.54,12631.22,320.32,615.55,12310.9,2025-12-02 10:42:54,,,,
2024-02-09,STORE_VDR_003,91,224.91,7449.28,76.14,368.66,7373.139999999999,2025-12-02 10:42:54,,,,
2024-02-10,STORE_AHD_001,136,489.99,18477.18,760.09,885.85,17717.09,2025-12-02 10:42:54,,,,
2024-02-10,STORE_SUR_002,68,195.63,7660.74,235.32,371.27,7425.42,2025-12-02 10:42:54,,,,
2024-02-10,STORE_VDR_003,46,359.68,13793.51,204.89,679.43,13588.62,2025-12-02 10:42:54,,,,
2024-02-11,STORE_AHD_001,57,464.61,15495.47,767.27,736.41,14728.199999999999,2025-12-02 10:42:54,,,,
2024-02-11,STORE_SUR_002,116,256.44,9002.33,249.39,437.65,8752.94,2025-12-02 10:42:54,,,,
2024-02-11,STORE_VDR_003,144,429.29,12919.72,558.43,618.06,12361.289999999999,2025-12-02 10:42:54,,,,
2024-02-12,STORE_AHD_001,110,311.74,7227.12,321.32,345.29,6905.8,2025-12-02 10:42:54,,,,
2024-02-12,STORE_SUR_002,97,231.45,5773.47,205.0,278.42,5568.47,2025-12-02 10:42:54,,,,
2024-02-12,STORE_VDR_003,138,454.4,13492.02,264.04,661.4,13227.98,2025-12-02 10:42:54,,,,
2024-02-13,STORE_AHD_001,96,153.32,3942.56,82.28,193.01,3860.2799999999997,2025-12-02 10:42:54,,,,
2024-02-13,STORE_SUR_002,80,504.0,10892.22,174.64,535.88,10717.58,2025-12-02 10:42:54,,,,
2024-02-13,STORE_VDR_003,89,418.4,14279.32,179.48,704.99,14099.84,2025-12-02 10:42:54,,,,
2024-02-14,STORE_AHD_001,92,262.28,7689.65,96.05,379.68,7593.599999999999,2025-12-02 10:42:54,,,,
2024-02-14,STORE_SUR_002,146,300.66,11454.17,382.15,553.6,11072.02,2025-12-02 10:42:54,,,,
2024-02-14,STORE_VDR_003,129,128.4,4829.53,159.51,233.5,4670.0199999999995,2025-12-02 10:42:54,,,,
2024-02-15,STORE_AHD_001,101,122.54,3312.89,132.98,159.0,3179.91,2025-12-02 10:42:54,,,,
2024-02-15,STORE_SUR_002,149,503.41,18482.48,582.73,894.99,17899.75,2025-12-02 10:42:54,,,,
2024-02-15,STORE_VDR_003,134,354.84,11377.96,214.15,558.19,11163.81,2025-12-02 10:42:54,,,,
2024-02-16,STORE_AHD_001,68,237.36,7052.64,180.23,343.62,6872.410000000001,2025-12-02 10:42:54,,,,
2024-02-16,STORE_SUR_002,125,412.03,11572.41,192.12,569.01,11380.289999999999,2025-12-02 10:42:54,,,,
2024-02-16,STORE_VDR_003,99,515.4,20417.28,640.39,988.84,19776.89,2025-12-02 10:42:54,,,,
2024-02-17,STORE_AHD_001,90,374.51,12456.2,166.39,614.49,12289.810000000001,2025-12-02 10:42:54,,,,
2024-02-17,STORE_SUR_002,94,178.35,5213.88,62.63,257.56,5151.25,2025-12-02 10:42:54,,,,
2024-02-17,STORE_VDR_003,88,260.76,7586.55,178.28,370.41,7408.27,2025-12-02 10:42:54,,,,
2024-02-18,STORE_AHD_001,88,239.65,9352.12,251.22,455.05,9100.900000000001,2025-12-02 10:42:54,,,,
2024-02-18,STORE_SUR_002,146,155.22,3164.57,99.93,153.23,3064.6400000000003,2025-12-02 10:42:54,,,,
2024-02-18,STORE_VDR_003,84,216.42,4625.41,223.37,220.1,4402.04,2025-12-02 10:42:54,,,,
2024-02-19,STORE_AHD_001,45,444.32,17325.03,311.41,850.68,17013.62,2025-12-02 10:42:54,,,,
2024-02-19,STORE_SUR_002,42,387.17,9590.55,277.57,465.65,9312.98,2025-12-02 10:42:54,,,,
2024-02-19,STORE_VDR_003,54,362.51,8830.49,335.37,424.76,8495.119999999999,2025-12-02 10:42:54,,,,
2024-02-20,STORE_AHD_001,138,278.62,8948.68,434.45,425.71,8514.23,2025-12-02 10:42:54,,,,
2024-02-20,STORE_SUR_002,131,169.25,6158.33,299.23,292.96,5859.1,2025-12-02 10:42:54,,,,
2024-02-20,STORE_VDR_003,53,368.83,14228.63,470.0,687.93,13758.63,2025-12-02 10:42:54,,,,
2024-02-21,STORE_AHD_001,88,290.56,9966.29,129.96,491.82,9836.330000000002,2025-12-02 10:42:54,,,,
2024-02-21,STORE_SUR_002,128,477.15,11860.51,449.37,570.56,11411.14,2025-12-02 10:42:54,,,,
2024-02-21,STORE_VDR_003,78,485.63,15544.16,230.71,765.67,15313.45,2025-12-02 10:42:54,,,,
2024-02-22,STORE_AHD_001,112,456.53,12300.78,333.78,598.35,11967.0,2025-12-02 10:42:54,,,,
2024-02-22,STORE_SUR_002,87,149.65,4931.1,51.81,243.96,4879.29,2025-12-02 10:42:54,,,,
2024-02-22,STORE_VDR_003,93,473.6,10471.66,507.16,498.23,9964.5,2025-12-02 10:42:54,,,,
2024-02-23,STORE_AHD_001,121,503.38,14696.07,236.9,722.96,14459.17,2025-12-02 10:42:54,,,,
2024-02-23,STORE_SUR_002,62,435.53,17120.46,356.16,838.22,16764.3,2025-12-02 10:42:54,,,,
2024-02-23,STORE_VDR_003,143,515.44,18294.42,523.13,888.56,17771.289999999997,2025-12-02 10:42:54,,,,
2024-02-24,STORE_AHD_001,145,434.34,11018.3,485.56,526.64,10532.74,2025-12-02 10:42:54,,,,
2024-02-24,STORE_SUR_002,146,521.89,13349.2,374.21,648.75,12974.990000000002,2025-12-02 10:42:54,,,,
2024-02-24,STORE_VDR_003,136,319.82,10300.33,259.15,502.06,10041.18,2025-12-02 10:42:54,,,,
2024-02-25,STORE_AHD_001,43,332.55,8812.67,259.99,427.63,8552.68,2025-12-02 10:42:54,,,,
2024-02-25,STORE_SUR_002,85,463.07,12413.41,561.25,592.61,11852.16,2025-12-02 10:42:54,,,,
2024-02-25,STORE_VDR_003,129,498.45,15509.68,475.61,751.7,15034.07,2025-12-02 10:42:54,,,,
2024-02-26,STORE_AHD_001,64,156.81,5394.5,159.37,261.76,5235.13,2025-12-02 10:42:54,,,,
2024-02-26,STORE_SUR_002,137,223.34,6593.41,253.67,316.99,6339.74,2025-12-02 10:42:54,,,,
2024-02-26,STORE_VDR_003,97,460.96,10077.08,190.09,494.35,9886.99,2025-12-02 10:42:54,,,,
2024-02-27,STORE_AHD_001,128,224.62,7475.17,185.09,364.5,7290.08,2025-12-02 10:42:54,,,,
2024-02-27,STORE_SUR_002,110,348.3,9930.06,395.59,476.72,9534.47,2025-12-02 10:42:54,,,,
2024-02-27,STORE_VDR_003,82,271.28,7887.44,175.61,385.59,7711.83,2025-12-02 10:42:54,,,,
2024-02-28,STORE_AHD_001,69,171.88,4099.63,60.6,201.95,4039.03,2025-12-02 10:42:54,,,,
2024-02-28,STORE_SUR_002,108,528.88,17877.87,315.75,878.11,17562.12,2025-12-02 10:42:54,,,,
2024-02-28,STORE_VDR_003,134,328.21,11320.52,555.43,538.25,10765.09,2025-12-02 10:42:54,,,,
2024-02-29,STORE_AHD_001,107,376.62,14918.0,646.03,713.6,14271.97,2025-12-02 10:42:54,,,,
2024-02-29,STORE_SUR_002,77,217.82,5138.12,54.29,254.19,5083.83,2025-12-02 10:42:54,,,,
2024-02-29,STORE_VDR_003,108,174.43,3647.39,44.43,180.15,3602.96,2025-12-02 10:42:54,,,,
2024-03-01,STORE_AHD_001,77,419.89,9458.27,423.15,451.76,9035.12,2025-12-02 10:42:54,,,,
2024-03-01,STORE_SUR_002,102,164.11,3322.46,71.01,162.57,3251.45,2025-12-02 10:42:54,,,,
2024-03-01,STORE_VDR_003,101,309.4,7328.84,88.35,362.02,7240.49,2025-12-02 10:42:54,,,,
2024-03-02,STORE_AHD_001,150,325.42,11859.06,308.67,577.52,11550.39,2025-12-02 10:42:54,,,,
2024-03-02,STORE_SUR_002,49,368.12,12416.33,199.52,610.84,12216.81,2025-12-02 10:42:54,,,,
2024-03-02,STORE_VDR_003,143,362.02,9440.29,469.72,448.53,8970.570000000002,2025-12-02 10:42:54,,,,
2024-03-03,STORE_AHD_001,55,359.97,10195.6,345.07,492.53,9850.53,2025-12-02 10:42:54,,,,
2024-03-03,STORE_SUR_002,119,217.05,6609.49,185.2,321.21,6424.29,2025-12-02 10:42:54,,,,
2024-03-03,STORE_VDR_003,96,247.86,7874.64,213.82,383.04,7660.820000000001,2025-12-02 10:42:54,,,,
2024-03-04,STORE_AHD_001,112,387.04,12459.83,493.45,598.32,11966.38,2025-12-02 10:42:54,,,,
2024-03-04,STORE_SUR_002,137,209.35,5070.56,184.66,244.3,4885.900000000001,2025-12-02 10:42:54,,,,
2024-03-04,STORE_VDR_003,60,223.14,6926.23,112.63,340.68,6813.599999999999,2025-12-02 10:42:54,,,,
2024-03-05,STORE_AHD_001,92,313.72,10000.21,216.51,489.18,9783.699999999999,2025-12-02 10:42:54,,,,
2024-03-05,STORE_SUR_002,69,243.89,6256.84,277.71,298.96,5979.13,2025-12-02 10:42:54,,,,
2024-03-05,STORE_VDR_003,49,415.58,15990.78,663.83,766.35,15326.95,2025-12-02 10:42:54,,,,
2024-03-06,STORE_AHD_001,120,373.61,13479.14,241.45,661.88,13237.689999999999,2025-12-02 10:42:54,,,,
2024-03-06,STORE_SUR_002,54,354.16,11670.53,540.77,556.49,11129.76,2025-12-02 10:42:54,,,,
2024-03-06,STORE_VDR_003,145,181.16,3839.28,160.12,183.96,3679.1600000000003,2025-12-02 10:42:54,,,,
2024-03-07,STORE_AHD_001,116,442.05,13873.36,298.89,678.72,13574.470000000001,2025-12-02 10:42:54,,,,
2024-03-07,STORE_SUR_002,55,321.54,8386.35,218.89,408.37,8167.46,2025-12-02 10:42:54,,,,
2024-03-07,STORE_VDR_003,74,335.2,10014.4,132.37,494.1,9882.029999999999,2025-12-02 10:42:54,,,,
2024-03-08,STORE_AHD_001,45,502.45,17430.33,595.22,841.76,16835.11,2025-12-02 10:42:54,,,,
2024-03-08,STORE_SUR_002,43,159.27,6249.47,271.47,298.9,5978.0,2025-12-02 10:42:54,,,,
2024-03-08,STORE_VDR_003,113,372.46,7603.74,308.64,364.75,7295.099999999999,2025-12-02 10:42:54,,,,
2024-03-09,STORE_AHD_001,145,235.89,4907.6,197.53,235.5,4710.070000000001,2025-12-02 10:42:54,,,,
2024-03-09,STORE_SUR_002,100,343.15,9898.02,209.11,484.45,9688.91,2025-12-02 10:42:54,,,,
2024-03-09,STORE_VDR_003,114,307.43,11155.07,543.95,530.56,10611.119999999999,2025-12-02 10:42:54,,,,
2024-03-10,STORE_AHD_001,100,269.62,7189.73,264.62,346.26,6925.11,2025-12-02 10:42:54,,,,
2024-03-10,STORE_SUR_002,149,189.15,5340.25,159.24,259.05,5181.01,2025-12-02 10:42:54,,,,
2024-03-10,STORE_VDR_003,124,526.43,19094.31,611.09,924.16,18483.22,2025-12-02 10:42:54,,,,
2024-03-11,STORE_AHD_001,98,157.87,3954.32,57.88,194.82,3896.44,2025-12-02 10:42:54,,,,
2024-03-11,STORE_SUR_002,138,293.8,8899.77,440.76,422.95,8459.01,2025-12-02 10:42:54,,,,
2024-03-11,STORE_VDR_003,124,493.83,14439.36,175.7,713.18,14263.66,2025-12-02 10:42:54,,,,
2024-03-12,STORE_AHD_001,106,275.57,9680.46,338.97,467.07,9341.49,2025-12-02 10:42:54,,,,
2024-03-12,STORE_SUR_002,137,142.19,3603.25,54.92,177.42,3548.33,2025-12-02 10:42:54,,,,
2024-03-12,STORE_VDR_003,76,308.39,10474.47,155.62,515.94,10318.849999999999,2025-12-02 10:42:54,,,,
2024-03-13,STORE_AHD_001,120,381.81,9463.52,154.59,465.45,9308.93,2025-12-02 10:42:54,,,,
2024-03-13,STORE_SUR_002,110,125.88,3544.76,67.31,173.87,3477.4500000000003,2025-12-02 10:42:54,,,,
2024-03-13,STORE_VDR_003,147,512.56,14981.59,220.21,738.07,14761.380000000001,2025-12-02 10:42:54,,,,
2024-03-14,STORE_AHD_001,146,186.21,7197.59,156.0,352.08,7041.59,2025-12-02 10:42:54,,,,
2024-03-14,STORE_SUR_002,130,237.57,8717.51,428.99,414.43,8288.52,2025-12-02 10:42:54,,,,
2024-03-14,STORE_VDR_003,71,316.42,7243.75,127.67,355.8,7116.08,2025-12-02 10:42:54,,,,
2024-03-15,STORE_AHD_001,116,338.54,12724.54,567.02,607.88,12157.52,2025-12-02 10:42:54,,,,
2024-03-15,STORE_SUR_002,75,452.25,16773.16,395.76,818.87,16377.4,2025-12-02 10:42:54,,,,
2024-03-15,STORE_VDR_003,140,338.33,12318.93,262.56,602.82,12056.37,2025-12-02 10:42:54,,,,
2024-03-16,STORE_AHD_001,78,480.11,15170.74,552.18,730.93,14618.56,2025-12-02 10:42:54,,,,
2024-03-16,STORE_SUR_002,150,183.9,5658.9,134.71,276.21,5524.19,2025-12-02 10:42:54,,,,
2024-03-16,STORE_VDR_003,110,448.04,12340.9,583.9,587.85,11757.0,2025-12-02 10:42:54,,,,
2024-03-17,STORE_AHD_001,64,541.73,13421.96,339.83,654.11,13082.13,2025-12-02 10:42:54,,,,
2024-03-17,STORE_SUR_002,149,453.48,9465.46,376.61,454.44,9088.849999999999,2025-12-02 10:42:54,,,,
2024-03-17,STORE_VDR_003,130,512.77,14165.08,701.69,673.17,13463.39,2025-12-02 10:42:54,,,,
2024-03-18,STORE_AHD_001,141,472.92,18735.37,558.56,908.84,18176.809999999998,2025-12-02 10:42:54,,,,
2024-03-18,STORE_SUR_002,44,174.29,6850.83,159.49,334.57,6691.34,2025-12-02 10:42:54,,,,
2024-03-18,STORE_VDR_003,52,495.9,14284.96,443.38,692.08,13841.58,2025-12-02 10:42:54,,,,
