refund_id,order_id,payment_id,refund_ts,refund_amount,refund_mode,gateway_ref_no,status,processed_by,processed_at,reason,notes
ERF7024,EORDR5082,EPAY6082,2025-11-14 09:28:47,3121.65,PG_REFUND,RPG1896347,COMPLETED,finance_team,2025-11-14 18:28:47,Quality Issue,
ERF7025,EORDR5068,EPAY6068,2025-11-13 10:25:25,2703.44,PG_REFUND,RPG7235423,FAILED,finance_team,2025-11-15 08:25:25,Customer Return,
ERF7026,EORDR5054,EPAY6054,2025-11-14 23:25:21,311.09,PG_REFUND,RPG6860511,FAILED,finance_team,2025-11-16 14:25:21,Quality Issue,
ERF7027,EORDR5055,EPAY6055,2025-11-20 17:38:06,541.72,ACCOUNT_CREDIT,RPG7190364,INITIATED,finance_team,2025-11-22 11:38:06,Order Cancelled,
ERF7028,EORDR5093,EPAY6093,2025-11-18 18:50:32,4440.4,PG_REFUND,RPG3451123,INITIATED,finance_team,2025-11-18 22:50:32,Quality Issue,
ERF7029,EORDR5070,EPAY6070,2025-11-28 15:27:30,4879.26,ACCOUNT_CREDIT,RPG7701245,COMPLETED,finance_team,2025-11-29 16:27:30,Quality Issue,
ERF7030,EORDR5010,EPAY6010,2025-11-16 10:46:31,3561.37,PG_REFUND,RPG7702260,FAILED,finance_team,2025-11-17 20:46:31,Order Cancelled,
ERF7031,EORDR5081,EPAY6081,2025-11-23 02:19:05,868.54,PG_REFUND,RPG2226623,FAILED,finance_team,2025-11-23 21:19:05,Quality Issue,
ERF7032,EORDR5035,EPAY6035,2025-12-01 07:07:46,1977.97,ACCOUNT_CREDIT,RPG7056381,INITIATED,finance_team,2025-12-02 23:07:46,Order Cancelled,
ERF7033,EORDR5037,EPAY6037,2025-11-16 15:54:23,4420.42,ACCOUNT_CREDIT,RPG7639520,FAILED,finance_team,2025-11-17 12:54:23,Order Cancelled,
ERF7034,EORDR5004,EPAY6004,2025-11-20 05:54:53,2635.94,ACCOUNT_CREDIT,RPG2640120,FAILED,finance_team,2025-11-21 01:54:53,Quality Issue,
ERF7035,EORDR5028,EPAY6028,2025-11-20 12:30:13,1685.26,ACCOUNT_CREDIT,RPG8084861,COMPLETED,finance_team,2025-11-22 05:30:13,Quality Issue,
ERF7036,EORDR5081,EPAY6081,2025-11-23 13:23:58,2754.18,PG_REFUND,RPG2596759,FAILED,finance_team,2025-11-25 13:23:58,Order Cancelled,
ERF7037,EORDR5063,EPAY6063,2025-11-17 22:56:16,1692.21,ACCOUNT_CREDIT,RPG4310837,FAILED,finance_team,2025-11-18 04:56:16,Quality Issue,
ERF7038,EORDR5099,EPAY6099,2025-11-12 18:22:39,1044.88,ACCOUNT_CREDIT,RPG1118706,COMPLETED,finance_team,2025-11-14 12:22:39,Order Cancelled,
ERF7039,EORDR5079,EPAY6079,2025-11-30 06:51:44,3095.25,ACCOUNT_CREDIT,RPG8205545,COMPLETED,finance_team,2025-12-01 04:51:44,Customer Return,
ERF7040,EORDR5048,EPAY6048,2025-11-14 21:29:32,3602.7,PG_REFUND,RPG3517334,FAILED,finance_team,2025-11-15 14:29:32,Customer Return,
ERF7041,EORDR5017,EPAY6017,2025-11-24 15:27:23,1719.26,ACCOUNT_CREDIT,RPG4931908,COMPLETED,finance_team,2025-11-26 10:27:23,Customer Return,
ERF7042,EORDR5026,EPAY6026,2025-11-30 12:53:30,2757.06,ACCOUNT_CREDIT,RPG1770428,INITIATED,finance_team,2025-12-02 04:53:30,Customer Return,
ERF7043,EORDR5002,EPAY6002,2025-11-13 12:51:43,1042.73,PG_REFUND,RPG2594022,COMPLETED,finance_team,2025-11-15 01:51:43,Quality Issue,
ERF7044,EORDR5019,EPAY6019,2025-11-25 03:52:45,874.91,PG_REFUND,RPG8565902,COMPLETED,finance_team,2025-11-27 00:52:45,Order Cancelled,
ERF7045,EORDR5036,EPAY6036,2025-11-24 09:45:44,2289.03,ACCOUNT_CREDIT,RPG2949195,COMPLETED,finance_team,2025-11-25 08:45:44,Customer Return,
ERF7046,EORDR5037,EPAY6037,2025-11-15 16:46:16,1725.87,PG_REFUND,RPG1768691,INITIATED,finance_team,2025-11-16 03:46:16,Customer Return,
ERF7047,EORDR5099,EPAY6099,2025-11-20 14:22:53,1345.45,ACCOUNT_CREDIT,RPG4688235,COMPLETED,finance_team,2025-11-21 05:22:53,Order Cancelled,
ERF7048,EORDR5058,EPAY6058,2025-11-24 14:54:27,1003.06,PG_REFUND,RPG9503079,COMPLETED,finance_team,2025-11-25 08:54:27,Order Cancelled,
ERF7049,EORDR5046,EPAY6046,2025-11-19 17:23:15,3917.59,PG_REFUND,RPG9354428,FAILED,finance_team,2025-11-21 05:23:15,Quality Issue,
ERF7050,EORDR5048,EPAY6048,2025-11-16 15:58:54,4155.29,ACCOUNT_CREDIT,RPG3167217,COMPLETED,finance_team,2025-11-18 05:58:54,Order Cancelled,
